gid	name	is.spike	NTC	sgRNA	FC
1	1	A1BG	FALSE	0.134840065395233	0.312536382803655	1.50555393189769
2	100	ADA	FALSE	1.67834038123324	1.53608121109986	0.720677278532843
3	100009613	ANO1-AS2	FALSE	0.109234099373862	-0.314934220922653	0.376557827501402
4	100009676	ZBTB11-AS1	FALSE	0.957955414906097	0.826279552927593	0.738455174493072
5	10001	MED6	FALSE	1.64768870149207	1.5762747509833	0.848371458962177
6	10003	NAALAD2	FALSE	-0.227915625443168	-0.036422568044442	1.55415044603245
7	100037417	DDTL	FALSE	0.955436010781959	0.850965445633843	0.786193474588828
8	100048912	CDKN2B-AS1	FALSE	-0.385952159294931	-0.259210484804207	1.33888006261833
9	100049716	LOC100049716	FALSE	0.140575233928165	0.191004067266379	1.12312691082582
10	10005	ACOT8	FALSE	1.56100290330234	1.50804537597748	0.885202175669543
11	10006	ABI1	FALSE	1.7293561914133	1.75551741654492	1.06208976847587
12	10007	GNPDA1	FALSE	1.84350013667603	1.75137984601375	0.808871827245355
13	10009	ZBTB33	FALSE	1.66587978682699	1.58224394926763	0.824829457000286
14	100093630	SNHG8	FALSE	2.38123379809632	2.22211827488376	0.693241377876722
15	1001	CDH3	FALSE	2.23705540177631	2.14305543397038	0.805378500901434
16	10010	TANK	FALSE	2.04040103803511	1.76626833228578	0.531945689764508
17	100101267	POM121C	FALSE	1.43071774964723	1.39491930304322	0.920876845874062
18	100101467	ZSCAN30	FALSE	0.768055754529265	0.807300087265892	1.09457199591062
19	100101490	MCTS2P	FALSE	1.45183231026799	1.18464612447047	0.540522546580014
20	10011	SRA1	FALSE	1.84919833870109	1.72919375913769	0.758569575996421
21	100113386	UCKL1-AS1	FALSE	0.416714288550333	0.41369539912441	0.993072854263854
22	100113407	TMEM170B	FALSE	-0.292263618131152	-0.516592723514923	0.596583028713541
23	100124533	SCARNA27	FALSE	0.57039619069547	0.367109724874661	0.626200678978629
24	100125288	ZGLP1	FALSE	0.70406354041112	0.637409730472249	0.857721289947183
25	100125556	FAM86JP	FALSE	0.958941234127922	0.771934911397607	0.650120225417905
26	100126299	VTRNA2-1	FALSE	0.0128527566411405	-0.376962743170162	0.407553380868744
27	100126780	SNAR-G1	FALSE	-0.0908213420427413	-1.17441505605441	0.0824909463607502
28	100126793	GHRLOS	FALSE	0.225817194686375	0.275517475464388	1.12124438394887
29	100127888	SLCO4A1-AS1	FALSE	0.751039188464414	0.609018841944853	0.721073696382615
30	100127983	C8orf88	FALSE	-0.465723314140323	-0.0933257003158259	2.35720641224618
31	100128025	WWTR1-AS1	FALSE	-0.168999737429223	-0.0581537962999573	1.29076131590709
32	100128055	SMARCA5-AS1	FALSE	0.051667068057441	-0.0204354466215645	0.84702745075163
33	100128071	FAM229A	FALSE	1.33824815467579	1.59783072611197	1.81795266650416
34	100128076	LOC100128076	FALSE	0.0377047240046489	0.258676145346238	1.66330319344675
35	100128098	ST8SIA6-AS1	FALSE	-0.355841237918334	-0.75546468399107	0.398452498050415
36	100128191	TMPO-AS1	FALSE	0.358030267707183	0.548168447150846	1.54930948418656
37	100128285	DNM1P35	FALSE	0.00576164165674242	0.111662580052726	1.27614768916521
38	100128288	LOC100128288	FALSE	0.232669063227873	0.0904276941635758	0.720706818601785
39	100128292	DLG5-AS1	FALSE	-0.00247752593572625	-0.0363807523288577	0.924904246895922
40	100128338	FAM83H-AS1	FALSE	1.35298733820282	1.18946708705154	0.686245878020744
41	100128361	LOC100128361	FALSE	0.159238045613685	-0.0295971106431026	0.647388296188421
42	100128494	LOC100128494	FALSE	0.177359831425029	0.273446879348974	1.24763355893007
43	100128511	NEBL-AS1	FALSE	0.50911951862768	0.540367872389155	1.074603754916
44	100128568	LOC100128568	FALSE	-0.277590107982648	0.0724648581634469	2.23900449851357
45	100128569	C19orf71	FALSE	2.11424565253465	2.24723537075811	1.35828128935148
46	100128573	LOC100128573	FALSE	-0.285167822378606	-0.170796474657101	1.30128177610898
47	100128627	CDC42P3	FALSE	0.284849757478886	0.318568242914073	1.08073318080315
48	100128640	ACVR2B-AS1	FALSE	0.222244393594725	0.329884607229089	1.28126869026384
49	100128731	OST4	FALSE	2.57736848899464	2.5506471972701	0.94032657109885
50	100128750	RBPMS-AS1	FALSE	-0.012116550631584	-0.106403198290442	0.804847042151285
51	100128770	LOC100128770	FALSE	0.72668745179375	0.612236775016476	0.768332710975186
52	100128782	LINC00476	FALSE	0.436336280146352	0.917841058609464	3.03043364091452
53	100128788	SRRM2-AS1	FALSE	0.492114513578494	0.4112104138161	0.830034034114462
54	100128822	LINC01003	FALSE	0.805401104631953	0.830022592323236	1.05833092758432
55	100128881	VPS9D1-AS1	FALSE	2.11270634453896	1.86495952947036	0.565266417704424
56	100128893	GATA6-AS1	FALSE	-0.278968379699123	-0.482572269569326	0.625743158699834
57	100128927	ZBTB42	FALSE	1.22549905833008	0.943299121413395	0.522155747894531
58	100129034	LOC100129034	FALSE	1.21338770735805	1.10941086973156	0.787087766591991
59	100129046	LOC100129046	FALSE	-0.0664440835471707	-0.128273139582367	0.867303190413315
60	100129075	KTN1-AS1	FALSE	0.670293535023114	0.290982108668392	0.417530853874211
61	100129128	KHDC1L	FALSE	1.19594930868465	1.14504995249356	0.88940720603421
62	100129138	LOC100129138	FALSE	-0.0871659016897145	-0.211499515497443	0.751045738423947
63	100129148	LOC100129148	FALSE	0.336686754022356	0.17961335706784	0.696508792273704
64	100129195	ZSCAN16-AS1	FALSE	0.577350900999824	0.569618055548548	0.982352047207183
