Gene,Eject,Decay
A1BG,6.321300411206788e-7,0.0008314616993851869
A1CF,9.400841150475868e-6,0.0013732191848658012
A4GALT,0.000421858882193055,0.004225013092782216
AADAC,1.3491757889450015e-5,0.002047633779572677
AADAT,0.00022097445937480518,0.001079954456214642
AAED1,0.0018047501598640818,0.002714696679620929
AAGAB,0.00011782852555337394,0.0001766755597443561
AAK1,0.0014298543232525095,0.00365006174596096
AAMP,0.0004941453116876704,0.00033464755676402137
AANAT,7.976559931000298e-6,0.0019672192100487983
AAR2,0.0008616078694430077,0.004438517796473043
AARS2,0.00013111110329572473,0.0018153137435947442
AARSD1,0.00048498106895918417,0.0017781132604744914
AARS,0.0012050571894315278,0.0014081647551199823
AASDHPPT,0.0038129849208465476,0.0019145429005598534
AASDH,0.001279341068362892,0.0040835324328151006
AASS,9.995484981780445e-6,0.00043343060259623463
AATF,0.004065916797139862,0.001687981933373848
AATK,0.0006748497037496021,0.008164439280865335
ABAT,4.163604895673037e-5,0.0009774558374555488
ABCA10,3.640803427386388e-6,0.0026937395222520403
ABCA12,1.1133739368566518e-6,0.0021955738211967956
ABCA1,2.3276022726860733e-5,0.004592358994537306
ABCA2,0.00011381812469996997,0.0007271816164291377
ABCA3,2.303459273096417e-5,0.0008334718931284715
ABCA4,2.2637326565472857e-6,0.000812062578316931
ABCA5,8.911452449383455e-5,0.0009590343188287289
ABCA7,0.001666219780963899,0.0016938033485480474
ABCB10,6.549137540848034e-5,0.0004737009139041613
ABCB1,0.0001345341767477106,0.0014569607671392206
ABCB6,1.0447912060259562e-5,0.0016490985069047
ABCB7,0.00037964494005587255,0.0011470867208061392
ABCB8,0.00019830964378887331,0.00043597170440177037
ABCC10,0.00014837977213630525,0.0018127138444746927
ABCC1,0.0003892894580353319,0.0015134346973084435
ABCC3,0.0005618926540974787,0.0008720703963624788
ABCC4,0.0003724875180422247,0.0013051962554854663
ABCC5-AS1,1.3477489605609386e-5,0.05318217870176201
ABCC5,0.00020511797063846722,0.0015170263315875479
ABCC6,4.794018123599904e-5,0.0030511606353712884
ABCD1,5.396911184775444e-5,0.0010750211099862367
ABCD3,0.0010059313739349685,0.0011029728413630643
ABCD4,0.0006934622681315141,0.0020394730118057877
ABCE1,0.006233782229323099,0.0013353974614808558
ABCF2,0.0012604772555941692,0.0007823514815352256
ABCF3,0.0008750502849966093,0.0023967974152533426
ABCG1,9.851242644377092e-6,0.0020459476319415974
ABCG2,6.340461017473405e-5,0.0013977351564365133
ABHD10,0.004648257536881609,0.0021247940957788898
ABHD11,0.001668374218580914,0.0014305537432364745
ABHD12B,2.620399694206595e-5,0.0017827753732785401
ABHD12,0.00013792818352517672,0.00030751201718610103
ABHD13,0.0013219140614758498,0.005754557478521201
ABHD14B,2.577174924836944e-5,3.615025178952451e-5
ABHD15,0.00023500863953856253,0.004139928912534749
ABHD16B,0.0,0.008941776372277466
ABHD17A,0.0014286236849135698,0.0009540292283505367
ABHD17B,0.0013797977042914454,0.011633935423581857
ABHD17C,0.0008415321126457128,0.004369749922593915
ABHD2,0.00031573148816901316,0.0017376240403447795
ABHD3,0.0002874877423339121,0.0006037702147944968
ABHD4,4.862430485979607e-5,0.002228802356748117
ABHD5,0.001329688527317481,0.002993317067278065
ABHD6,0.00032183350040580365,0.002906075453221914
ABHD8,0.00012296429735563833,0.0022768600530052694
ABI1,0.0009237466099850226,0.0022015774473908008
ABI2,0.002414549629761812,0.0020057451162386265
ABL1,0.0005601258922703853,0.0044787347952694205
ABL2,0.004112888200397407,0.008250918869515315
ABLIM1,0.0012963652466791214,0.0014215315684462141
ABLIM2,7.999137092401083e-5,0.0026290497169937452
ABLIM3,0.00012923634146718175,0.0019998689721259593
ABRACL,0.0008081911299375762,0.00046421479652816933
ABR,0.00015418779082637963,0.0010668713265563601
ABT1,0.006368532321959386,0.0055788342490928015
ABTB1,8.151288976972936e-5,0.0008554517775756973
ACAA1,0.0001744484519029014,0.00018055575539603082
ACAA2,2.999695478667182e-5,8.581131836726726e-5
ACACA,0.001460181560369295,0.001492815567416587
ACACB,7.057833372053825e-5,0.0021589310197999284
ACAD11,1.4240202385328834e-5,0.0011467721949389904
ACAD9,0.00047718561355927216,0.0007546191016093624
ACADSB,6.297549477740435e-5,0.0002772612359371215
ACADVL,0.0004784335961412808,0.00024457425969070303
ACAP1,0.00033499261380262504,0.004128784002378788
ACAP2,0.0025320021151418602,0.0030633330027769012
ACAP3,0.00026504662944885346,0.002034774322065532
ACAT2,0.0015250436117423569,0.0008395755204371897
ACBD3,0.008007282396406577,0.005506320198244363
ACBD4,3.538376965464934e-5,0.0013425418223375297
ACBD5,0.000858136259882398,0.0015785864737373188
ACBD6,0.0038181634422602413,0.0021676462256005557
ACD,0.0016627165001710585,0.002207244931758241
ACER2,1.3473979169597828e-5,0.003323020108149177
ACE,6.716080561781183e-6,0.0010743913365768968
ACHE,2.5261025987798276e-5,0.0010718280858158695
ACIN1,0.005176896248858666,0.0020860612452571186
ACKR2,4.735181520252502e-6,0.006228341379728988
ACKR4,2.4464411474658113e-5,0.006891974783422939
ACLY,0.0009659268764649384,0.0008475841336332564
ACMSD,8.43922921518114e-7,0.00333011834338892
ACN9,0.0015195596886098766,0.0014025062764348457
ACOT11,0.0001982135614483412,0.0023324115225070966
ACOT13,0.0022610105137809817,0.0013346006709856518
ACOT8,0.00019101635305822934,0.0008189384405783783
ACOT9,0.00139006070479325,0.000953322747089491
ACOX1,0.00032480927280438484,0.0013325739570464253
ACOX2,0.00021503211719268577,0.0005761458295453837
ACOX3,0.00023342606191384423,0.0016423190742798739
ACOXL,3.0933277197173456e-5,0.0011407730388080643
ACP5,0.0,0.004350860915323804
ACP6,0.0003058054569851699,0.002255529562373163
ACPT,5.319732921393028e-6,0.010495835557978462
ACRBP,0.0,0.0007285670023930059
ACRC,8.474454441966262e-5,0.010133392983553672
ACR,3.6208103479388586e-6,0.0015875241572953496
ACSBG1,8.266790372732018e-6,0.0011650269381245936
ACSBG2,1.1453935523458841e-5,0.002510957244813018
ACSF2,7.587131968482934e-5,0.0012794368734747644
ACSF3,0.0009517003269959288,0.001510915314766697
ACSL1,5.578421078420415e-5,0.0009483315712973588
ACSL3,0.005859314801181665,0.0020428210797351336
ACSL4,0.0009884983444076064,0.0010608406611209778
ACSM3,4.387094695615379e-5,0.0005495706733010768
ACTA1,2.758187623220708e-6,0.0015548297955145422
ACTA2,6.384001440107389e-5,0.0016768643938101676
ACTBL2,4.070104546926553e-6,0.008030315668882746
ACTB,0.029659593054274933,0.0006019692809830109
ACTG1,0.05154664125425294,0.0008493323492234528
ACTG2,1.1370745788086734e-5,0.0018666973861275055
ACTL6A,0.0006186573381791059,0.00048813316441240136
ACTN1,0.001699363039930447,0.0010066127586833755
ACTN4,0.0013998405085006939,0.0003565048312959513
ACTR10,0.0005696773750277797,0.0005667973034304681
ACTR1A,0.0007969907831766603,0.001238946957656792
ACTR1B,7.649374273849667e-5,0.0004024590741523933
ACTR2,0.0010923631543198495,0.00041256543735523687
ACTR3B,0.00022595494969625377,0.0012593477638275707
ACTR3C,1.567152181185262e-5,0.0008829783534669899
ACTR3,0.001822081577078423,0.0005136315129234654
ACTR5,0.00054950270892387,0.0024336000987735117
ACTR8,0.0009756832688055695,0.003208841487535952
ACTRT3,0.00031180417659630024,0.005295295213616302
ACVR1C,2.0830668603326087e-5,0.001442066998837618
ACVR1,0.00032497917415141473,0.0037043869236911393
ACVR2A,0.0006807526080584919,0.007106481044625093
ACVR2B-AS1,2.601875852517819e-6,0.003422334355404698
ACVR2B,0.0008596110918863643,0.006460207072324747
ACYP1,0.001719380733215317,0.0010913002541684308
ACYP2,0.0003003004897511392,0.0010347766890167864
ADAL,0.00024090628208518294,0.001889893013832627
ADAM10,0.0010404186731114114,0.0018094637729263584
ADAM11,2.195577328296338e-5,0.0006716083652728924
ADAM17,0.0005412673865948094,0.0012250063312987884
ADAM19,9.24375426027357e-5,0.0005687797434897168
ADAM21,3.457987476421823e-5,0.0032488615434837827
ADAM22,0.0001730990953913166,0.001573845713098453
ADAM32,4.298607439936926e-5,0.0020436512531633332
ADAM8,7.0816128497299395e-6,0.001996003018197337
ADAMTS10,1.3898557219192792e-5,0.0015669630817015422
ADAMTS13,1.8469314866511992e-5,0.0010264777235293304
ADAMTS14,6.716909277378919e-5,0.0016445997583809133
ADAMTS16,8.45327708939347e-5,0.004018871233961661
ADAMTS17,4.5935860087649254e-5,0.005331262293546172
