"","Gene"
"175","ENSMUSG00000002249"
"176","ENSMUSG00000002250"
"177","ENSMUSG00000002257"
"178","ENSMUSG00000002279"
"179","ENSMUSG00000002280"
"180","ENSMUSG00000002289"
"181","ENSMUSG00000002297"
"182","ENSMUSG00000002307"
"183","ENSMUSG00000002308"
"184","ENSMUSG00000002319"
"185","ENSMUSG00000002320"
"186","ENSMUSG00000002326"
"187","ENSMUSG00000002329"
"188","ENSMUSG00000002332"
"189","ENSMUSG00000002342"
"190","ENSMUSG00000002343"
"191","ENSMUSG00000002345"
"192","ENSMUSG00000002365"
"193","ENSMUSG00000002372"
"194","ENSMUSG00000002393"
"195","ENSMUSG00000002395"
"196","ENSMUSG00000002396"
"197","ENSMUSG00000002416"
"198","ENSMUSG00000002455"
"199","ENSMUSG00000002458"
"200","ENSMUSG00000002477"
"201","ENSMUSG00000002489"
"202","ENSMUSG00000002496"
"203","ENSMUSG00000002504"
"204","ENSMUSG00000002524"
"205","ENSMUSG00000002546"
"206","ENSMUSG00000002550"
"207","ENSMUSG00000002580"
"208","ENSMUSG00000002602"
"209","ENSMUSG00000002608"
"210","ENSMUSG00000002635"
"211","ENSMUSG00000002658"
"212","ENSMUSG00000002660"
"213","ENSMUSG00000002679"
"214","ENSMUSG00000002718"
"215","ENSMUSG00000002728"
"216","ENSMUSG00000002731"
"217","ENSMUSG00000002732"
"218","ENSMUSG00000002741"
"219","ENSMUSG00000002748"
"220","ENSMUSG00000002767"
"221","ENSMUSG00000002768"
"222","ENSMUSG00000002778"
"223","ENSMUSG00000002781"
"224","ENSMUSG00000002797"
"225","ENSMUSG00000002804"
"226","ENSMUSG00000002808"
"227","ENSMUSG00000002812"
"228","ENSMUSG00000002825"
"229","ENSMUSG00000002833"
"230","ENSMUSG00000002835"
"231","ENSMUSG00000002847"
"232","ENSMUSG00000002870"
"233","ENSMUSG00000002871"
"234","ENSMUSG00000002881"
"235","ENSMUSG00000002885"
"236","ENSMUSG00000002897"
"237","ENSMUSG00000002900"
"238","ENSMUSG00000002948"
"239","ENSMUSG00000002949"
"240","ENSMUSG00000002957"
"241","ENSMUSG00000002963"
"242","ENSMUSG00000002968"
"243","ENSMUSG00000002981"
"244","ENSMUSG00000002983"
"245","ENSMUSG00000002984"
"246","ENSMUSG00000002985"
"247","ENSMUSG00000002996"
"248","ENSMUSG00000002997"
"249","ENSMUSG00000003032"
"250","ENSMUSG00000003033"
"251","ENSMUSG00000003037"
"252","ENSMUSG00000003039"
"253","ENSMUSG00000003062"
"254","ENSMUSG00000003068"
"255","ENSMUSG00000003072"
"256","ENSMUSG00000003099"
"257","ENSMUSG00000003131"
"258","ENSMUSG00000003161"
"259","ENSMUSG00000003166"
"260","ENSMUSG00000003184"
"261","ENSMUSG00000003199"
"262","ENSMUSG00000003200"
"263","ENSMUSG00000003208"
"264","ENSMUSG00000003226"
"265","ENSMUSG00000003228"
"266","ENSMUSG00000003234"
"267","ENSMUSG00000003235"
"268","ENSMUSG00000003269"
"269","ENSMUSG00000003283"
"270","ENSMUSG00000003299"
"271","ENSMUSG00000003308"
"272","ENSMUSG00000003345"
"273","ENSMUSG00000003346"
"274","ENSMUSG00000003348"
"275","ENSMUSG00000003352"
"276","ENSMUSG00000003355"
"277","ENSMUSG00000003363"
"278","ENSMUSG00000003380"
"279","ENSMUSG00000003402"
"280","ENSMUSG00000003411"
"281","ENSMUSG00000003420"
"282","ENSMUSG00000003421"
"283","ENSMUSG00000003423"
"284","ENSMUSG00000003435"
"285","ENSMUSG00000003437"
"286","ENSMUSG00000003438"
"287","ENSMUSG00000003444"
"288","ENSMUSG00000003458"
"289","ENSMUSG00000003464"
"290","ENSMUSG00000003500"
"291","ENSMUSG00000003518"
"292","ENSMUSG00000003527"
"293","ENSMUSG00000003528"
"294","ENSMUSG00000003531"
"295","ENSMUSG00000003534"
"296","ENSMUSG00000003545"
"297","ENSMUSG00000003546"
"298","ENSMUSG00000003549"
"299","ENSMUSG00000003559"
"300","ENSMUSG00000003573"
"301","ENSMUSG00000003623"
"302","ENSMUSG00000003660"
"303","ENSMUSG00000003662"
"304","ENSMUSG00000003665"
"305","ENSMUSG00000003680"
"306","ENSMUSG00000003721"
"307","ENSMUSG00000003731"
"308","ENSMUSG00000003746"
"309","ENSMUSG00000003752"
"310","ENSMUSG00000003762"
"311","ENSMUSG00000003778"
"312","ENSMUSG00000003779"
"313","ENSMUSG00000003808"
"314","ENSMUSG00000003809"
"315","ENSMUSG00000003810"
"316","ENSMUSG00000003812"
"317","ENSMUSG00000003824"
"318","ENSMUSG00000003847"
"319","ENSMUSG00000003848"
"320","ENSMUSG00000003849"
"321","ENSMUSG00000003865"
"322","ENSMUSG00000003868"
"323","ENSMUSG00000003873"
"324","ENSMUSG00000003923"
"325","ENSMUSG00000003948"
"326","ENSMUSG00000003955"
"327","ENSMUSG00000003992"
"328","ENSMUSG00000004032"
"329","ENSMUSG00000004040"
"330","ENSMUSG00000004043"
"331","ENSMUSG00000004044"
"332","ENSMUSG00000004056"
"333","ENSMUSG00000004069"
"334","ENSMUSG00000004071"
"335","ENSMUSG00000004085"
"336","ENSMUSG00000004096"
"337","ENSMUSG00000004098"
"338","ENSMUSG00000004099"
"339","ENSMUSG00000004100"
"340","ENSMUSG00000004105"
"341","ENSMUSG00000004127"
"342","ENSMUSG00000004263"
"343","ENSMUSG00000004264"
"344","ENSMUSG00000004267"
"345","ENSMUSG00000004268"
"346","ENSMUSG00000004285"
"347","ENSMUSG00000004356"
"348","ENSMUSG00000004364"
"349","ENSMUSG00000004371"
"350","ENSMUSG00000004383"
"351","ENSMUSG00000004393"
"352","ENSMUSG00000004394"
"353","ENSMUSG00000004446"
"354","ENSMUSG00000004451"
"355","ENSMUSG00000004460"
"356","ENSMUSG00000004530"
"357","ENSMUSG00000004535"
"358","ENSMUSG00000004562"
"359","ENSMUSG00000004565"
"360","ENSMUSG00000004567"
"361","ENSMUSG00000004568"
"362","ENSMUSG00000004591"
"363","ENSMUSG00000004610"
"364","ENSMUSG00000004626"
"365","ENSMUSG00000004637"
"366","ENSMUSG00000004642"
"367","ENSMUSG00000004655"
"368","ENSMUSG00000004667"
"369","ENSMUSG00000004677"
"370","ENSMUSG00000004768"
"371","ENSMUSG00000004771"
"372","ENSMUSG00000004788"
