"","Gene"
"1768","ENSMUSG00000022568"
"1769","ENSMUSG00000022570"
"1770","ENSMUSG00000022571"
"1771","ENSMUSG00000022574"
"1772","ENSMUSG00000022575"
"1773","ENSMUSG00000022587"
"1774","ENSMUSG00000022594"
"1775","ENSMUSG00000022602"
"1776","ENSMUSG00000022607"
"1777","ENSMUSG00000022617"
"1778","ENSMUSG00000022621"
"1779","ENSMUSG00000022634"
"1780","ENSMUSG00000022635"
"1781","ENSMUSG00000022636"
"1782","ENSMUSG00000022637"
"1783","ENSMUSG00000022641"
"1784","ENSMUSG00000022665"
"1785","ENSMUSG00000022668"
"1786","ENSMUSG00000022671"
"1787","ENSMUSG00000022672"
"1788","ENSMUSG00000022673"
"1789","ENSMUSG00000022676"
"1790","ENSMUSG00000022677"
"1791","ENSMUSG00000022678"
"1792","ENSMUSG00000022680"
"1793","ENSMUSG00000022681"
"1794","ENSMUSG00000022684"
"1795","ENSMUSG00000022685"
"1796","ENSMUSG00000022687"
"1797","ENSMUSG00000022698"
"1798","ENSMUSG00000022706"
"1799","ENSMUSG00000022708"
"1800","ENSMUSG00000022710"
"1801","ENSMUSG00000022711"
"1802","ENSMUSG00000022718"
"1803","ENSMUSG00000022721"
"1804","ENSMUSG00000022722"
"1805","ENSMUSG00000022723"
"1806","ENSMUSG00000022724"
"1807","ENSMUSG00000022742"
"1808","ENSMUSG00000022744"
"1809","ENSMUSG00000022748"
"1810","ENSMUSG00000022749"
"1811","ENSMUSG00000022750"
"1812","ENSMUSG00000022751"
"1813","ENSMUSG00000022752"
"1814","ENSMUSG00000022754"
"1815","ENSMUSG00000022760"
"1816","ENSMUSG00000022761"
"1817","ENSMUSG00000022765"
"1818","ENSMUSG00000022770"
"1819","ENSMUSG00000022771"
"1820","ENSMUSG00000022774"
"1821","ENSMUSG00000022779"
"1822","ENSMUSG00000022781"
"1823","ENSMUSG00000022789"
"1824","ENSMUSG00000022791"
"1825","ENSMUSG00000022797"
"1826","ENSMUSG00000022800"
"1827","ENSMUSG00000022801"
"1828","ENSMUSG00000022808"
"1829","ENSMUSG00000022811"
"1830","ENSMUSG00000022812"
"1831","ENSMUSG00000022814"
"1832","ENSMUSG00000022816"
"1833","ENSMUSG00000022817"
"1834","ENSMUSG00000022822"
"1835","ENSMUSG00000022828"
"1836","ENSMUSG00000022836"
"1837","ENSMUSG00000022841"
"1838","ENSMUSG00000022844"
"1839","ENSMUSG00000022849"
"1840","ENSMUSG00000022855"
"1841","ENSMUSG00000022856"
"1842","ENSMUSG00000022858"
"1843","ENSMUSG00000022867"
"1844","ENSMUSG00000022881"
"1845","ENSMUSG00000022884"
"1846","ENSMUSG00000022885"
"1847","ENSMUSG00000022889"
"1848","ENSMUSG00000022892"
"1849","ENSMUSG00000022893"
"1850","ENSMUSG00000022894"
"1851","ENSMUSG00000022895"
"1852","ENSMUSG00000022898"
"1853","ENSMUSG00000022905"
"1854","ENSMUSG00000022911"
"1855","ENSMUSG00000022912"
"1856","ENSMUSG00000022913"
"1857","ENSMUSG00000022914"
"1858","ENSMUSG00000022940"
"1859","ENSMUSG00000022945"
"1860","ENSMUSG00000022947"
"1861","ENSMUSG00000022951"
"1862","ENSMUSG00000022952"
"1863","ENSMUSG00000022956"
"1864","ENSMUSG00000022957"
"1865","ENSMUSG00000022961"
"1866","ENSMUSG00000022962"
"1867","ENSMUSG00000022964"
"1868","ENSMUSG00000022965"
"1869","ENSMUSG00000022967"
"1870","ENSMUSG00000022969"
"1871","ENSMUSG00000022971"
"1872","ENSMUSG00000022972"
"1873","ENSMUSG00000022974"
"1874","ENSMUSG00000022978"
"1875","ENSMUSG00000022982"
"1876","ENSMUSG00000022992"
"1877","ENSMUSG00000022994"
"1878","ENSMUSG00000022995"
"1879","ENSMUSG00000022999"
"1880","ENSMUSG00000023007"
"1881","ENSMUSG00000023008"
"1882","ENSMUSG00000023010"
"1883","ENSMUSG00000023015"
"1884","ENSMUSG00000023020"
"1885","ENSMUSG00000023021"
"1886","ENSMUSG00000023022"
"1887","ENSMUSG00000023025"
"1888","ENSMUSG00000023027"
"1889","ENSMUSG00000023030"
"1890","ENSMUSG00000023034"
"1891","ENSMUSG00000023044"
"1892","ENSMUSG00000023046"
"1893","ENSMUSG00000023047"
"1894","ENSMUSG00000023048"
"1895","ENSMUSG00000023050"
"1896","ENSMUSG00000023051"
"1897","ENSMUSG00000023055"
"1898","ENSMUSG00000023067"
"1899","ENSMUSG00000023068"
"1900","ENSMUSG00000023072"
"1901","ENSMUSG00000023075"
"1902","ENSMUSG00000023087"
"1903","ENSMUSG00000023088"
"1904","ENSMUSG00000023089"
"1905","ENSMUSG00000023094"
"1906","ENSMUSG00000023104"
"1907","ENSMUSG00000023110"
"1908","ENSMUSG00000023143"
"1909","ENSMUSG00000023147"
"1910","ENSMUSG00000023150"
"1911","ENSMUSG00000023156"
"1912","ENSMUSG00000023169"
"1913","ENSMUSG00000023170"
"1914","ENSMUSG00000023191"
"1915","ENSMUSG00000023206"
"1916","ENSMUSG00000023232"
"1917","ENSMUSG00000023249"
"1918","ENSMUSG00000023262"
"1919","ENSMUSG00000023272"
"1920","ENSMUSG00000023277"
"1921","ENSMUSG00000023286"
"1922","ENSMUSG00000023330"
"1923","ENSMUSG00000023345"
"1924","ENSMUSG00000023348"
"1925","ENSMUSG00000023411"
"1926","ENSMUSG00000023452"
"1927","ENSMUSG00000023484"
"1928","ENSMUSG00000023495"
"1929","ENSMUSG00000023571"
"1930","ENSMUSG00000023572"
"1931","ENSMUSG00000023723"
"1932","ENSMUSG00000023764"
"1933","ENSMUSG00000023791"
"1934","ENSMUSG00000023805"
"1935","ENSMUSG00000023827"
"1936","ENSMUSG00000023832"
"1937","ENSMUSG00000023852"
"1938","ENSMUSG00000023861"
"1939","ENSMUSG00000023883"
"1940","ENSMUSG00000023885"
"1941","ENSMUSG00000023886"
"1942","ENSMUSG00000023904"
"1943","ENSMUSG00000023905"
"1944","ENSMUSG00000023919"
"1945","ENSMUSG00000023921"
"1946","ENSMUSG00000023932"
"1947","ENSMUSG00000023939"
"1948","ENSMUSG00000023940"
"1949","ENSMUSG00000023942"
"1950","ENSMUSG00000023951"
"1951","ENSMUSG00000023952"
"1952","ENSMUSG00000023967"
"1953","ENSMUSG00000023971"
"1954","ENSMUSG00000023972"
"1955","ENSMUSG00000023973"
"1956","ENSMUSG00000023977"
"1957","ENSMUSG00000023988"
"1958","ENSMUSG00000023994"
"1959","ENSMUSG00000024002"
"1960","ENSMUSG00000024006"
"1961","ENSMUSG00000024007"
"1962","ENSMUSG00000024012"
"1963","ENSMUSG00000024014"
"1964","ENSMUSG00000024026"
"1965","ENSMUSG00000024033"
"1966","ENSMUSG00000024037"
"1967","ENSMUSG00000024038"
"1968","ENSMUSG00000024043"
"1969","ENSMUSG00000024044"
"1970","ENSMUSG00000024045"
"1971","ENSMUSG00000024053"
"1972","ENSMUSG00000024054"
"1973","ENSMUSG00000024055"
"1974","ENSMUSG00000024056"
"1975","ENSMUSG00000024063"
"1976","ENSMUSG00000024066"
"1977","ENSMUSG00000024067"
"1978","ENSMUSG00000024069"
"1979","ENSMUSG00000024073"
"1980","ENSMUSG00000024074"
"1981","ENSMUSG00000024076"
"1982","ENSMUSG00000024078"
"1983","ENSMUSG00000024081"
"1984","ENSMUSG00000024082"
"1985","ENSMUSG00000024083"
"1986","ENSMUSG00000024084"
"1987","ENSMUSG00000024085"
"1988","ENSMUSG00000024087"
"1989","ENSMUSG00000024091"
"1990","ENSMUSG00000024095"
"1991","ENSMUSG00000024096"
"1992","ENSMUSG00000024097"
"1993","ENSMUSG00000024098"
"1994","ENSMUSG00000024099"
"1995","ENSMUSG00000024101"
"1996","ENSMUSG00000024104"
"1997","ENSMUSG00000024118"
"1998","ENSMUSG00000024120"
"1999","ENSMUSG00000024127"
"2000","ENSMUSG00000024130"
"2001","ENSMUSG00000024132"
"2002","ENSMUSG00000024135"
"2003","ENSMUSG00000024140"
"2004","ENSMUSG00000024143"
"2005","ENSMUSG00000024145"
"2006","ENSMUSG00000024146"
"2007","ENSMUSG00000024150"
"2008","ENSMUSG00000024151"
"2009","ENSMUSG00000024158"
"2010","ENSMUSG00000024160"
"2011","ENSMUSG00000024163"
"2012","ENSMUSG00000024165"
"2013","ENSMUSG00000024170"
"2014","ENSMUSG00000024177"
"2015","ENSMUSG00000024181"
"2016","ENSMUSG00000024182"
"2017","ENSMUSG00000024187"
"2018","ENSMUSG00000024188"
"2019","ENSMUSG00000024190"
"2020","ENSMUSG00000024191"
"2021","ENSMUSG00000024194"
"2022","ENSMUSG00000024197"
"2023","ENSMUSG00000024212"
"2024","ENSMUSG00000024213"
"2025","ENSMUSG00000024218"
"2026","ENSMUSG00000024222"
"2027","ENSMUSG00000024231"
"2028","ENSMUSG00000024232"
"2029","ENSMUSG00000024234"
"2030","ENSMUSG00000024236"
"2031","ENSMUSG00000024238"
"2032","ENSMUSG00000024240"
"2033","ENSMUSG00000024242"
"2034","ENSMUSG00000024247"
"2035","ENSMUSG00000024248"
"2036","ENSMUSG00000024253"
"2037","ENSMUSG00000024258"
"2038","ENSMUSG00000024259"
"2039","ENSMUSG00000024260"
"2040","ENSMUSG00000024268"
"2041","ENSMUSG00000024270"
"2042","ENSMUSG00000024271"
"2043","ENSMUSG00000024273"
"2044","ENSMUSG00000024277"
"2045","ENSMUSG00000024283"
"2046","ENSMUSG00000024286"
"2047","ENSMUSG00000024287"
"2048","ENSMUSG00000024290"
"2049","ENSMUSG00000024294"
"2050","ENSMUSG00000024299"
"2051","ENSMUSG00000024301"
"2052","ENSMUSG00000024304"
"2053","ENSMUSG00000024308"
"2054","ENSMUSG00000024309"
"2055","ENSMUSG00000024312"
"2056","ENSMUSG00000024317"
"2057","ENSMUSG00000024319"
"2058","ENSMUSG00000024335"
"2059","ENSMUSG00000024338"
"2060","ENSMUSG00000024339"
"2061","ENSMUSG00000024346"
"2062","ENSMUSG00000024349"
"2063","ENSMUSG00000024350"
"2064","ENSMUSG00000024352"
"2065","ENSMUSG00000024357"
"2066","ENSMUSG00000024359"
"2067","ENSMUSG00000024360"
"2068","ENSMUSG00000024369"
"2069","ENSMUSG00000024370"
"2070","ENSMUSG00000024376"
"2071","ENSMUSG00000024378"
"2072","ENSMUSG00000024379"
"2073","ENSMUSG00000024381"
"2074","ENSMUSG00000024382"
"2075","ENSMUSG00000024383"
"2076","ENSMUSG00000024384"
"2077","ENSMUSG00000024392"
"2078","ENSMUSG00000024393"
"2079","ENSMUSG00000024395"
"2080","ENSMUSG00000024400"
"2081","ENSMUSG00000024404"
"2082","ENSMUSG00000024410"
"2083","ENSMUSG00000024413"
"2084","ENSMUSG00000024414"
"2085","ENSMUSG00000024420"
"2086","ENSMUSG00000024422"
"2087","ENSMUSG00000024425"
"2088","ENSMUSG00000024426"
"2089","ENSMUSG00000024427"
"2090","ENSMUSG00000024429"
"2091","ENSMUSG00000024431"
"2092","ENSMUSG00000024436"
"2093","ENSMUSG00000024442"
"2094","ENSMUSG00000024446"
"2095","ENSMUSG00000024454"
"2096","ENSMUSG00000024456"
"2097","ENSMUSG00000024457"
"2098","ENSMUSG00000024462"
"2099","ENSMUSG00000024474"
"2100","ENSMUSG00000024477"
"2101","ENSMUSG00000024483"
"2102","ENSMUSG00000024486"
"2103","ENSMUSG00000024487"
"2104","ENSMUSG00000024491"
"2105","ENSMUSG00000024493"
"2106","ENSMUSG00000024498"
"2107","ENSMUSG00000024500"
"2108","ENSMUSG00000024501"
"2109","ENSMUSG00000024507"
"2110","ENSMUSG00000024513"
"2111","ENSMUSG00000024515"
"2112","ENSMUSG00000024516"
"2113","ENSMUSG00000024521"
"2114","ENSMUSG00000024525"
"2115","ENSMUSG00000024527"
"2116","ENSMUSG00000024528"
"2117","ENSMUSG00000024533"
"2118","ENSMUSG00000024535"
"2119","ENSMUSG00000024537"
"2120","ENSMUSG00000024538"
"2121","ENSMUSG00000024539"
"2122","ENSMUSG00000024542"
"2123","ENSMUSG00000024544"
"2124","ENSMUSG00000024556"
"2125","ENSMUSG00000024560"
"2126","ENSMUSG00000024561"
"2127","ENSMUSG00000024563"
"2128","ENSMUSG00000024566"
"2129","ENSMUSG00000024570"
"2130","ENSMUSG00000024571"
"2131","ENSMUSG00000024576"
"2132","ENSMUSG00000024580"
"2133","ENSMUSG00000024581"
"2134","ENSMUSG00000024583"
"2135","ENSMUSG00000024588"
"2136","ENSMUSG00000024589"
"2137","ENSMUSG00000024590"
"2138","ENSMUSG00000024594"
"2139","ENSMUSG00000024603"
"2140","ENSMUSG00000024604"
"2141","ENSMUSG00000024613"
"2142","ENSMUSG00000024614"
"2143","ENSMUSG00000024620"
"2144","ENSMUSG00000024622"
"2145","ENSMUSG00000024639"
"2146","ENSMUSG00000024640"
"2147","ENSMUSG00000024644"
"2148","ENSMUSG00000024645"
"2149","ENSMUSG00000024654"
"2150","ENSMUSG00000024660"
"2151","ENSMUSG00000024664"
"2152","ENSMUSG00000024665"
"2153","ENSMUSG00000024666"
"2154","ENSMUSG00000024668"
"2155","ENSMUSG00000024683"
"2156","ENSMUSG00000024691"
"2157","ENSMUSG00000024695"
"2158","ENSMUSG00000024712"
"2159","ENSMUSG00000024725"
"2160","ENSMUSG00000024732"
"2161","ENSMUSG00000024735"
"2162","ENSMUSG00000024736"
"2163","ENSMUSG00000024740"
"2164","ENSMUSG00000024742"
"2165","ENSMUSG00000024754"
"2166","ENSMUSG00000024758"
"2167","ENSMUSG00000024759"
"2168","ENSMUSG00000024764"
"2169","ENSMUSG00000024766"
"2170","ENSMUSG00000024767"
"2171","ENSMUSG00000024769"
"2172","ENSMUSG00000024772"
"2173","ENSMUSG00000024773"
"2174","ENSMUSG00000024776"
"2175","ENSMUSG00000024777"
"2176","ENSMUSG00000024778"
"2177","ENSMUSG00000024780"
"2178","ENSMUSG00000024781"
"2179","ENSMUSG00000024782"
"2180","ENSMUSG00000024785"
"2181","ENSMUSG00000024787"
"2182","ENSMUSG00000024789"
"2183","ENSMUSG00000024791"
"2184","ENSMUSG00000024792"
"2185","ENSMUSG00000024795"
"2186","ENSMUSG00000024797"
"2187","ENSMUSG00000024799"
"2188","ENSMUSG00000024800"
"2189","ENSMUSG00000024803"
"2190","ENSMUSG00000024805"
"2191","ENSMUSG00000024807"
"2192","ENSMUSG00000024811"
"2193","ENSMUSG00000024812"
"2194","ENSMUSG00000024816"
"2195","ENSMUSG00000024817"
"2196","ENSMUSG00000024824"
"2197","ENSMUSG00000024826"
"2198","ENSMUSG00000024833"
"2199","ENSMUSG00000024835"
"2200","ENSMUSG00000024841"
"2201","ENSMUSG00000024843"
"2202","ENSMUSG00000024844"
"2203","ENSMUSG00000024845"
"2204","ENSMUSG00000024846"
"2205","ENSMUSG00000024847"
"2206","ENSMUSG00000024851"
"2207","ENSMUSG00000024853"
"2208","ENSMUSG00000024854"
"2209","ENSMUSG00000024856"
"2210","ENSMUSG00000024858"
"2211","ENSMUSG00000024870"
"2212","ENSMUSG00000024883"
"2213","ENSMUSG00000024885"
"2214","ENSMUSG00000024889"
"2215","ENSMUSG00000024899"
"2216","ENSMUSG00000024900"
"2217","ENSMUSG00000024902"
"2218","ENSMUSG00000024906"
"2219","ENSMUSG00000024908"
"2220","ENSMUSG00000024909"
"2221","ENSMUSG00000024911"
"2222","ENSMUSG00000024912"
"2223","ENSMUSG00000024914"
"2224","ENSMUSG00000024921"
"2225","ENSMUSG00000024924"
"2226","ENSMUSG00000024925"
"2227","ENSMUSG00000024926"
"2228","ENSMUSG00000024927"
"2229","ENSMUSG00000024937"
"2230","ENSMUSG00000024940"
"2231","ENSMUSG00000024941"
"2232","ENSMUSG00000024942"
"2233","ENSMUSG00000024943"
"2234","ENSMUSG00000024944"
"2235","ENSMUSG00000024947"
"2236","ENSMUSG00000024949"
"2237","ENSMUSG00000024953"
"2238","ENSMUSG00000024955"
"2239","ENSMUSG00000024959"
"2240","ENSMUSG00000024960"
"2241","ENSMUSG00000024963"
"2242","ENSMUSG00000024966"
"2243","ENSMUSG00000024969"
"2244","ENSMUSG00000024974"
"2245","ENSMUSG00000024975"
"2246","ENSMUSG00000024976"
"2247","ENSMUSG00000024981"
"2248","ENSMUSG00000024982"
"2249","ENSMUSG00000024983"
"2250","ENSMUSG00000024985"
"2251","ENSMUSG00000024989"
"2252","ENSMUSG00000024991"
"2253","ENSMUSG00000024993"
"2254","ENSMUSG00000024997"
"2255","ENSMUSG00000024998"
"2256","ENSMUSG00000024999"
"2257","ENSMUSG00000025001"
"2258","ENSMUSG00000025006"
"2259","ENSMUSG00000025007"
"2260","ENSMUSG00000025016"
"2261","ENSMUSG00000025024"
"2262","ENSMUSG00000025027"
"2263","ENSMUSG00000025034"
"2264","ENSMUSG00000025035"
"2265","ENSMUSG00000025036"
"2266","ENSMUSG00000025041"
"2267","ENSMUSG00000025047"
"2268","ENSMUSG00000025060"
"2269","ENSMUSG00000025066"
"2270","ENSMUSG00000025068"
"2271","ENSMUSG00000025078"
"2272","ENSMUSG00000025085"
"2273","ENSMUSG00000025086"
"2274","ENSMUSG00000025089"
"2275","ENSMUSG00000025092"
"2276","ENSMUSG00000025102"
"2277","ENSMUSG00000025103"
"2278","ENSMUSG00000025104"
"2279","ENSMUSG00000025133"
"2280","ENSMUSG00000025134"
"2281","ENSMUSG00000025135"
"2282","ENSMUSG00000025137"
"2283","ENSMUSG00000025138"
"2284","ENSMUSG00000025139"
"2285","ENSMUSG00000025140"
"2286","ENSMUSG00000025142"
"2287","ENSMUSG00000025147"
"2288","ENSMUSG00000025153"
"2289","ENSMUSG00000025155"
"2290","ENSMUSG00000025157"
"2291","ENSMUSG00000025159"
"2292","ENSMUSG00000025161"
"2293","ENSMUSG00000025162"
"2294","ENSMUSG00000025171"
"2295","ENSMUSG00000025173"
"2296","ENSMUSG00000025178"
"2297","ENSMUSG00000025185"
"2298","ENSMUSG00000025190"
"2299","ENSMUSG00000025196"
"2300","ENSMUSG00000025198"
"2301","ENSMUSG00000025203"
"2302","ENSMUSG00000025204"
"2303","ENSMUSG00000025208"
"2304","ENSMUSG00000025212"
"2305","ENSMUSG00000025213"
"2306","ENSMUSG00000025217"
"2307","ENSMUSG00000025220"
"2308","ENSMUSG00000025223"
"2309","ENSMUSG00000025224"
"2310","ENSMUSG00000025225"
"2311","ENSMUSG00000025228"
"2312","ENSMUSG00000025231"
"2313","ENSMUSG00000025232"
"2314","ENSMUSG00000025234"
"2315","ENSMUSG00000025236"
"2316","ENSMUSG00000025237"
"2317","ENSMUSG00000025239"
"2318","ENSMUSG00000025240"
"2319","ENSMUSG00000025241"
"2320","ENSMUSG00000025278"
"2321","ENSMUSG00000025280"
"2322","ENSMUSG00000025316"
"2323","ENSMUSG00000025337"
"2324","ENSMUSG00000025340"
"2325","ENSMUSG00000025350"
"2326","ENSMUSG00000025353"
"2327","ENSMUSG00000025354"
"2328","ENSMUSG00000025355"
"2329","ENSMUSG00000025358"
"2330","ENSMUSG00000025364"
"2331","ENSMUSG00000025366"
"2332","ENSMUSG00000025369"
"2333","ENSMUSG00000025371"
"2334","ENSMUSG00000025372"
"2335","ENSMUSG00000025373"
"2336","ENSMUSG00000025374"
"2337","ENSMUSG00000025381"
"2338","ENSMUSG00000025395"
"2339","ENSMUSG00000025402"
"2340","ENSMUSG00000025403"
"2341","ENSMUSG00000025404"
"2342","ENSMUSG00000025409"
"2343","ENSMUSG00000025410"
"2344","ENSMUSG00000025413"
"2345","ENSMUSG00000025417"
"2346","ENSMUSG00000025421"
"2347","ENSMUSG00000025423"
"2348","ENSMUSG00000025437"
"2349","ENSMUSG00000025439"
"2350","ENSMUSG00000025451"
"2351","ENSMUSG00000025453"
"2352","ENSMUSG00000025465"
"2353","ENSMUSG00000025466"
"2354","ENSMUSG00000025470"
"2355","ENSMUSG00000025473"
"2356","ENSMUSG00000025474"
"2357","ENSMUSG00000025477"
"2358","ENSMUSG00000025484"
"2359","ENSMUSG00000025485"
"2360","ENSMUSG00000025487"
"2361","ENSMUSG00000025495"
"2362","ENSMUSG00000025499"
"2363","ENSMUSG00000025503"
"2364","ENSMUSG00000025504"
"2365","ENSMUSG00000025505"
"2366","ENSMUSG00000025507"
"2367","ENSMUSG00000025509"
"2368","ENSMUSG00000025510"
"2369","ENSMUSG00000025511"
"2370","ENSMUSG00000025512"
"2371","ENSMUSG00000025532"
"2372","ENSMUSG00000025533"
"2373","ENSMUSG00000025534"
"2374","ENSMUSG00000025538"
"2375","ENSMUSG00000025544"
"2376","ENSMUSG00000025545"
"2377","ENSMUSG00000025555"
"2378","ENSMUSG00000025571"
"2379","ENSMUSG00000025572"
"2380","ENSMUSG00000025574"
"2381","ENSMUSG00000025575"
"2382","ENSMUSG00000025578"
"2383","ENSMUSG00000025579"
"2384","ENSMUSG00000025580"
"2385","ENSMUSG00000025586"
"2386","ENSMUSG00000025591"
"2387","ENSMUSG00000025609"
"2388","ENSMUSG00000025612"
"2389","ENSMUSG00000025613"
"2390","ENSMUSG00000025616"
"2391","ENSMUSG00000025647"
"2392","ENSMUSG00000025650"
"2393","ENSMUSG00000025651"
"2394","ENSMUSG00000025702"
"2395","ENSMUSG00000025722"
"2396","ENSMUSG00000025724"
"2397","ENSMUSG00000025728"
"2398","ENSMUSG00000025730"
"2399","ENSMUSG00000025731"
"2400","ENSMUSG00000025736"
"2401","ENSMUSG00000025743"
"2402","ENSMUSG00000025745"
"2403","ENSMUSG00000025747"
"2404","ENSMUSG00000025757"
"2405","ENSMUSG00000025758"
"2406","ENSMUSG00000025762"
"2407","ENSMUSG00000025764"
"2408","ENSMUSG00000025781"
"2409","ENSMUSG00000025785"
"2410","ENSMUSG00000025786"
"2411","ENSMUSG00000025790"
"2412","ENSMUSG00000025791"
"2413","ENSMUSG00000025792"
"2414","ENSMUSG00000025793"
"2415","ENSMUSG00000025809"
"2416","ENSMUSG00000025810"
"2417","ENSMUSG00000025812"
"2418","ENSMUSG00000025816"
"2419","ENSMUSG00000025817"
"2420","ENSMUSG00000025823"
"2421","ENSMUSG00000025825"
"2422","ENSMUSG00000025854"
"2423","ENSMUSG00000025855"
"2424","ENSMUSG00000025856"
"2425","ENSMUSG00000025858"
"2426","ENSMUSG00000025868"
"2427","ENSMUSG00000025869"
"2428","ENSMUSG00000025871"
"2429","ENSMUSG00000025872"
"2430","ENSMUSG00000025873"
"2431","ENSMUSG00000025875"
"2432","ENSMUSG00000025878"
"2433","ENSMUSG00000025880"
"2434","ENSMUSG00000025887"
"2435","ENSMUSG00000025894"
"2436","ENSMUSG00000025898"
"2437","ENSMUSG00000025899"
"2438","ENSMUSG00000025907"
"2439","ENSMUSG00000025917"
"2440","ENSMUSG00000025920"
"2441","ENSMUSG00000025925"
"2442","ENSMUSG00000025934"
"2443","ENSMUSG00000025935"
"2444","ENSMUSG00000025937"
"2445","ENSMUSG00000025939"
"2446","ENSMUSG00000025940"
"2447","ENSMUSG00000025949"
"2448","ENSMUSG00000025950"
"2449","ENSMUSG00000025956"
"2450","ENSMUSG00000025958"
"2451","ENSMUSG00000025959"
"2452","ENSMUSG00000025962"
"2453","ENSMUSG00000025964"
"2454","ENSMUSG00000025968"
"2455","ENSMUSG00000025969"
"2456","ENSMUSG00000025971"
"2457","ENSMUSG00000025979"
"2458","ENSMUSG00000025981"
"2459","ENSMUSG00000025982"
"2460","ENSMUSG00000025986"
"2461","ENSMUSG00000025995"
"2462","ENSMUSG00000026000"
"2463","ENSMUSG00000026003"
"2464","ENSMUSG00000026005"
"2465","ENSMUSG00000026014"
"2466","ENSMUSG00000026019"
"2467","ENSMUSG00000026020"
"2468","ENSMUSG00000026024"
"2469","ENSMUSG00000026029"
"2470","ENSMUSG00000026031"
"2471","ENSMUSG00000026032"
"2472","ENSMUSG00000026034"
"2473","ENSMUSG00000026035"
"2474","ENSMUSG00000026036"
"2475","ENSMUSG00000026037"
"2476","ENSMUSG00000026039"
"2477","ENSMUSG00000026043"
"2478","ENSMUSG00000026047"
"2479","ENSMUSG00000026048"
"2480","ENSMUSG00000026049"
"2481","ENSMUSG00000026064"
"2482","ENSMUSG00000026072"
"2483","ENSMUSG00000026074"
"2484","ENSMUSG00000026078"
"2485","ENSMUSG00000026094"
"2486","ENSMUSG00000026097"
"2487","ENSMUSG00000026103"
"2488","ENSMUSG00000026104"
"2489","ENSMUSG00000026107"
"2490","ENSMUSG00000026112"
"2491","ENSMUSG00000026116"
"2492","ENSMUSG00000026123"
"2493","ENSMUSG00000026127"
"2494","ENSMUSG00000026131"
"2495","ENSMUSG00000026134"
"2496","ENSMUSG00000026142"
"2497","ENSMUSG00000026150"
"2498","ENSMUSG00000026154"
"2499","ENSMUSG00000026159"
"2500","ENSMUSG00000026171"
"2501","ENSMUSG00000026172"
"2502","ENSMUSG00000026174"
"2503","ENSMUSG00000026176"
"2504","ENSMUSG00000026181"
"2505","ENSMUSG00000026187"
"2506","ENSMUSG00000026189"
"2507","ENSMUSG00000026192"
"2508","ENSMUSG00000026197"
"2509","ENSMUSG00000026201"
"2510","ENSMUSG00000026203"
"2511","ENSMUSG00000026204"
"2512","ENSMUSG00000026207"
"2513","ENSMUSG00000026209"
"2514","ENSMUSG00000026211"
"2515","ENSMUSG00000026219"
"2516","ENSMUSG00000026223"
"2517","ENSMUSG00000026229"
"2518","ENSMUSG00000026234"
"2519","ENSMUSG00000026235"
"2520","ENSMUSG00000026240"
"2521","ENSMUSG00000026245"
"2522","ENSMUSG00000026248"
"2523","ENSMUSG00000026249"
"2524","ENSMUSG00000026254"
"2525","ENSMUSG00000026255"
"2526","ENSMUSG00000026260"
"2527","ENSMUSG00000026269"
"2528","ENSMUSG00000026273"
"2529","ENSMUSG00000026275"
"2530","ENSMUSG00000026276"
"2531","ENSMUSG00000026277"
"2532","ENSMUSG00000026278"
"2533","ENSMUSG00000026279"
"2534","ENSMUSG00000026280"
"2535","ENSMUSG00000026281"
"2536","ENSMUSG00000026283"
"2537","ENSMUSG00000026305"
"2538","ENSMUSG00000026309"
"2539","ENSMUSG00000026313"
"2540","ENSMUSG00000026315"
"2541","ENSMUSG00000026317"
"2542","ENSMUSG00000026335"
"2543","ENSMUSG00000026339"
"2544","ENSMUSG00000026341"
"2545","ENSMUSG00000026342"
"2546","ENSMUSG00000026343"
"2547","ENSMUSG00000026349"
"2548","ENSMUSG00000026353"
"2549","ENSMUSG00000026356"
"2550","ENSMUSG00000026360"
"2551","ENSMUSG00000026361"
"2552","ENSMUSG00000026374"
"2553","ENSMUSG00000026377"
"2554","ENSMUSG00000026385"
"2555","ENSMUSG00000026388"
"2556","ENSMUSG00000026389"
"2557","ENSMUSG00000026393"
"2558","ENSMUSG00000026399"
"2559","ENSMUSG00000026404"
"2560","ENSMUSG00000026411"
"2561","ENSMUSG00000026421"
"2562","ENSMUSG00000026425"
"2563","ENSMUSG00000026426"
"2564","ENSMUSG00000026427"
"2565","ENSMUSG00000026429"
"2566","ENSMUSG00000026433"
"2567","ENSMUSG00000026434"
"2568","ENSMUSG00000026455"
"2569","ENSMUSG00000026456"
"2570","ENSMUSG00000026457"
"2571","ENSMUSG00000026466"
"2572","ENSMUSG00000026469"
"2573","ENSMUSG00000026470"
"2574","ENSMUSG00000026473"
"2575","ENSMUSG00000026478"
"2576","ENSMUSG00000026479"
"2577","ENSMUSG00000026482"
"2578","ENSMUSG00000026483"
"2579","ENSMUSG00000026484"
"2580","ENSMUSG00000026490"
"2581","ENSMUSG00000026491"
"2582","ENSMUSG00000026492"
"2583","ENSMUSG00000026494"
"2584","ENSMUSG00000026496"
"2585","ENSMUSG00000026499"
"2586","ENSMUSG00000026500"
"2587","ENSMUSG00000026502"
"2588","ENSMUSG00000026509"
"2589","ENSMUSG00000026511"
"2590","ENSMUSG00000026516"
