"","Gene","Rate01.x","Rate10.x","Eject.x","Decay.x","Rate01Mean.x","Rate10Mean.x","EjectMean.x","Rate01SD.x","Rate10SD.x","EjectSD.x","Rate01Median.x","Rate10Median.x","EjectMedian.x","Rate01MAD.x","Rate10MAD.x","EjectMAD.x","Model.x","Condition.x","Expression.x","Variance.x","ThirdMoment.x","BurstMean.x","BurstSD.x","BurstMedian.x","BurstMAD.x","Rate01.y","Rate10.y","Eject.y","Decay.y","Rate01Mean.y","Rate10Mean.y","EjectMean.y","Rate01SD.y","Rate10SD.y","EjectSD.y","Rate01Median.y","Rate10Median.y","EjectMedian.y","Rate01MAD.y","Rate10MAD.y","EjectMAD.y","Model.y","Condition.y","Expression.y","Variance.y","ThirdMoment.y","BurstMean.y","BurstSD.y","BurstMedian.y","BurstMAD.y","cat_IAA_120_bulk","LFC_exp","LFC_off","LFC_BS","Expr_WT","OFF_time_WT","OFF_time_KO","BS_WT","BS_KO","Expr_KO","BS"
"1","ABHD10",0.00405733341227314,10.2471017854977,9.25037646308701,0.00221763202943002,0.00378435520005308,0.133940849447271,0.12887884773854,0.000230083212576118,0.251350174172084,0.22631369878477,0.0037970774826651,0.079104403461521,0.0795249234637831,0.000151340902761218,0.0384990308574136,0.0348202505596682,2,"HCTDMSOr2",3.29986613119143,6.26706379287789,16.8804878881834,1.02749018763786,0.0986194234759685,1.00964798497642,0.0869096274804979,0.00386061846365986,0.0410652374989561,0.0230372875011543,0.00221763202943002,0.0036468687407336,0.0628121044515472,0.0327259262575412,0.000515323480864287,0.170529087179878,0.0771580722447167,0.00367775782730189,0.0290379775997444,0.017487463763676,0.000353984852076607,0.016424822799317,0.00762616035405339,2,"HCTJQ1r2",1.78507348730674,2.57682625438202,4.55555122395478,0.646931921407641,0.16638309996217,0.605613514282941,0.133357470087729,"down",-0.88642403061344,0.0460629542913632,-0.737383078648019,3.29986613119143,263.360440908917,271.904798237797,1.00964798497642,0.605613514282941,1.78507348730674,-0.737383078648019
"2","ABI2",0.0024991276018158,0.0230107026836075,0.0278267630191319,0.00151180348632693,0.00250711867214828,0.0408534252889306,0.0447992747547453,0.000208393732300628,0.0527282814347903,0.0502907332923825,0.00251302474205413,0.0244069401944379,0.0291684358687546,0.00014672404549223,0.0107127257937717,0.0103327255496744,2,"HCTDMSOr2",3.60568621613575,6.93010758954207,17.4106044113004,1.22073202121045,0.170944052514831,1.1960166344923,0.16938211825385,0.00149379111471184,0.00481488110984084,0.00897618050587619,0.00151180348632693,0.00153928300101699,0.00600828623659092,0.0101294951450764,0.000170719984324774,0.00374435341304906,0.00360208566736935,0.00152929220620895,0.00523910985846099,0.0094029306219056,0.00011157503039912,0.00127917402395971,0.0013051385667436,2,"HCTJQ1r2",2.81121960559066,5.2429374939905,11.4098694642954,1.81814442675413,0.305541910687826,1.7955518790299,0.297975757927229,"down",-0.359077694164883,0.71656078250211,0.586189882481127,3.60568621613575,397.926842209522,653.897270868174,1.1960166344923,1.7955518790299,2.81121960559066,0.586189882481127
"3","ABL2",0.00694543068016946,0.0497074597180727,0.191319889871694,0.00756148406418846,0.00695772459801782,0.0534406739625656,0.201877236732199,0.000318974491208461,0.0174725552045328,0.0495643901569744,0.00694592168931703,0.0498183873902662,0.191668942866156,0.000211922469366747,0.0081772897964474,0.0232738309757153,2,"HCTDMSOr2",6.20152034580414,22.3394760012629,109.550481444446,3.85139581067528,0.266983343966058,3.8476161735707,0.264451005104114,0.00519998611430341,0.0193404347579059,0.074943165913939,0.00756148406418846,0.00521113656058669,0.01995818920476,0.076226902934488,0.00032202727376233,0.00420147835693215,0.00920017968993835,0.00520156242064511,0.0193682205790734,0.0750076278300783,0.00021533514474394,0.00255857583704171,0.00565796106708676,2,"HCTJQ1r2",4.19969366264599,11.8860270935976,41.4283034520772,3.88783977432385,0.348656262831924,3.87302739683692,0.345259909977073,"down",-0.562337848040507,0.417221107134054,0.00949681923166438,6.20152034580414,143.969374365107,192.249927835333,3.8476161735707,3.87302739683692,4.19969366264599,0.00949681923166438
"4","ACOT11",0.00169094599770054,0.0410840540931177,0.017210362354848,0.00217305862364187,0.00158459268394307,0.0557747108286716,0.0225724042623749,0.000223720807338507,0.144969677611023,0.0539585189181216,0.00160051186359185,0.0247754512841455,0.0110881283272511,0.000143144795199925,0.0148455065844862,0.00558114959506835,2,"HCTDMSOr2",0.625965537730244,0.853562273322156,1.41058854606514,0.479436523702978,0.115050540044251,0.45196609316708,0.0785274213855507,0.000191865048261474,0.000627052883886452,0.00127676056252302,0.00217305862364187,0.000423725779071105,0.0079760431576365,0.00395709014986548,0.000212400142954035,0.0312393458518541,0.0111615484510287,0.000408827632996048,0.00218938035140303,0.00190000302762645,0.00015797748921003,0.00153003168393434,0.000610982365948244,2,"HCTJQ1r2",0.275290531529815,0.363727411304899,0.551863693101459,1.38373983642948,1.92200057968026,0.868361459142093,0.531003525842247,"down",-1.18512824231009,1.96896875308923,0.942081150979526,0.625965537730244,624.80011722988,2446.01861344746,0.45196609316708,0.868361459142093,0.275290531529815,0.942081150979526
"5","ADAM19",0.00045933193027293,5.46776036317643,11.72362604815,0.0011828330338629,0.000449642167559145,0.0899541676889159,0.195531959831872,3.14908198426026e-05,0.183016202330153,0.39271811259423,0.0004496181607765,0.0481748231480407,0.105873322509497,1.06102648239354e-05,0.0251087379356509,0.0537628631902092,2,"HCTDMSOr2",1.65409836065574,5.06172314382742,23.0759286331936,2.21612539108233,0.0981055234567987,2.21008764544414,0.0940214582906666,0.000452694495191656,0.00756921243677231,0.00854804073071826,0.0011828330338629,0.000470432264547542,0.0290385899000112,0.0283544022939179,5.29355528577675e-05,0.0856703486901526,0.0790152377243362,0.000472344421081674,0.0113916440763107,0.0120653152174561,2.9951212180233e-05,0.00598988104629977,0.00552994307736852,2,"HCTJQ1r2",0.814899713467049,1.51702728220622,3.73528143263606,1.08609245273952,0.136491197841738,1.06351705199268,0.128475067521406,"down",-1.02135059813371,-0.0711389090144242,-1.05526041864756,1.65409836065574,2224.10944938919,2117.09920847586,2.21008764544414,1.06351705199268,0.814899713467049,-1.05526041864756
"6","ADAMTS14",0.000519875569310181,0.0090107523412593,0.0186666920151199,0.00163891518530692,0.000531478537882884,0.0158145589834783,0.0303579657544059,4.4454932727866e-05,0.0219564761315863,0.0378746822673912,0.000530460113268538,0.0106342372476853,0.0214352212547271,2.22958231454315e-05,0.00322892528327234,0.00551544836932261,2,"HCTDMSOr2",1.24038032981726,3.16491823300485,11.0432319838954,2.0215619654335,0.158832876299269,2.0156306669985,0.163750552550327,0.000298391451540678,0.00314765907045079,0.00291084600842021,0.00163891518530692,0.000341101297737328,0.0141212657999974,0.0091323098330556,7.89093927511087e-05,0.0361833738728287,0.0205880368005942,0.000344906475949249,0.00543021582433968,0.0042035098376827,5.05008439811829e-05,0.00307625975354351,0.00176249398840321,2,"HCTJQ1r2",0.307398932112891,0.463476911028608,0.842925469771443,0.847553310680119,0.310127478395609,0.777216841754637,0.195506717919182,"down",-2.01259849441119,0.62103905804042,-1.37484224301959,1.24038032981726,1885.15587692032,2899.33668901927,2.0156306669985,0.777216841754637,0.307398932112891,-1.37484224301959
"7","ADCY3",0.000138535597941186,0.00150729996597013,0.00261416853346111,0.000269892948959714,0.000146792485054614,0.00553441925586062,0.00800528499847417,3.40929334484146e-05,0.0148104026761795,0.01979452612549,0.000146454253348147,0.00229755700607015,0.00367304160038218,7.76958414726661e-06,0.000920368459607499,0.00123476182136125,2,"HCTDMSOr2",1.62933730454207,3.63550566656816,10.7745773041851,1.61024316273357,0.169817908395611,1.59849558998707,0.179521741131816,0.000120262166987024,0.00123627336734557,0.00149030964651192,0.000269892948959714,0.000134687294061969,0.0134472289000025,0.0123582813685552,3.47768784926373e-05,0.0461032874499989,0.0411316784716967,0.000135769753717383,0.003424548397083,0.00343938933222741,9.38163299615594e-06,0.00225309797219414,0.00201014180080028,2,"HCTJQ1r2",0.978385615914308,1.78013725604405,4.13590652664875,1.047346029529,0.153897352853394,1.01157648600035,0.137528613392341,"down",-0.735810201905206,0.109287975686547,-0.660109356747769,1.62933730454207,6828.0707261047,7365.41072381695,1.59849558998707,1.01157648600035,0.978385615914308,-0.660109356747769
"8","AGO4",0.000527840620994452,0.00962596329272854,0.00843608406807062,0.00141183997990729,0.000545250134637718,0.0304336112065247,0.0234116522261432,6.03597237759373e-05,0.0560769710048861,0.04042692002352,0.000548094399971777,0.0140067052951078,0.0115815262497508,3.56013763685505e-05,0.00740237715323713,0.00534302816978025,2,"HCTDMSOr2",0.620807361234788,1.04336046422601,2.27363221871147,0.851350926813885,0.112246755786154,0.831334508650159,0.100696060508139,0.000172337766289255,0.00169701159793444,0.00205867594806936,0.00141183997990729,0.000208579291173323,0.0102120259220418,0.00746574275811502,6.44321050061699e-05,0.0382856278315784,0.0243283923503222,0.000208934622256222,0.00290912841388935,0.00282777430863917,3.90386461121854e-05,0.00156568502953441,0.00100742136793573,2,"HCTJQ1r2",0.268753578927276,0.417941393561824,0.789638832801042,1.09522064999099,0.534407269133009,0.973926628597867,0.301576569262463,"down",-1.20786169755404,1.39137281521932,0.228383991047084,0.620807361234788,1824.50322435605,4786.18617250364,0.831334508650159,0.973926628597867,0.268753578927276,0.228383991047084
"9","AGPAT5",0.0018964515291457,2.7648924485846,7.85845637515109,0.0014797449652288,0.0018122608176102,0.0873054062575951,0.259706760483611,7.24430705729252e-05,0.132395113777414,0.37585268146885,0.00181493578763965,0.0531797425347123,0.162823095377699,4.45134102248891e-05,0.0227918606094434,0.0647638526929397,2,"HCTDMSOr2",7.27208955223881,27.4514896636222,157.342662891492,3.08955467466578,0.172927001625006,3.0677448660383,0.167239266844454,0.0022544101311451,4.73589454766326,6.47264191339921,0.0014797449652288,0.00214919356783208,0.111967753022297,0.159910747825766,0.000105792658860103,0.149954935028053,0.204772414887873,0.00215209377335319,0.0689954007728155,0.101233835724595,6.84127461995569e-05,0.0330938359652791,0.0452286855279515,2,"HCTJQ1r2",4.1579957765406,9.87501813705262,36.4494213756938,1.48928382683489,0.103006752690752,1.47490939923891,0.0942342114807188,"down",-0.806481672939599,-0.245822435302616,-1.05655216846489,7.27208955223881,550.983680420184,464.663767156342,3.0677448660383,1.47490939923891,4.1579957765406,-1.05655216846489
"10","AK4",0.00265018102471737,0.0192038356662042,0.0195425060193745,0.00275349685550189,0.00268886382312891,0.0331586067495125,0.0296422719545409,0.000289154736804853,0.0508424704528782,0.0368735363676554,0.00268788255292888,0.0209442064402313,0.0208170759117946,0.000201181729195202,0.00829252548921593,0.00614845571015507,2,"HCTDMSOr2",1.72094404037405,2.9124795600272,6.27679746301419,1.01678873811371,0.171501242863824,0.994641582887124,0.166148401251163,0.00182122136322182,0.0084123340479789,0.00723565261435288,0.00275349685550189,0.00194212721201067,0.0219790390914643,0.0137804091567182,0.000387220098428589,0.046169154342923,0.0221552476497999,0.00193649046276462,0.0106149100039065,0.00833391701630019,0.000272773578182814,0.00526850315352743,0.00268608512466212,2,"HCTJQ1r2",0.935280641466208,1.35682705946106,2.32842937252806,0.843084662524538,0.277585967897598,0.786401201590068,0.232564404131116,"down",-0.879728954354976,0.473025704815099,-0.338911220956015,1.72094404037405,372.040065110114,516.398102251613,0.994641582887124,0.786401201590068,0.935280641466208,-0.338911220956015
