Gene,BurstMean,BurstSD,BurstMedian,BurstMAD
TBC1D14,0.2800275967358426,0.5563603024672356,0.14113143222992686,0.08278990943408364
TBC1D15,0.5479559943607812,3.7865750048063425,0.07142511135880189,0.07516168772936184
TBC1D16,0.13771030625399935,0.3795113527467068,0.08033553830437179,0.04957133568069238
TBC1D17,0.44377627810144776,1.3337988367511755,0.12401791487039476,0.09743077897126282
TBC1D19,0.5020715029703654,0.3340169849770176,0.42057530005277305,0.11495066174411421
TBC1D1,0.17582973711150768,0.44734657399063593,0.0814749095687815,0.05585677393862751
TBC1D20,1.0855952993651719,4.428443902542492,0.3048129334774005,0.25496253044858447
TBC1D22A,0.4418925438636893,2.161621154140123,0.07025335893734892,0.06968328271170685
TBC1D22B,0.49577211258813125,2.3544960567976645,0.08677354070422515,0.08710013123676381
TBC1D23,0.6329752126243371,2.4785065972154934,0.10407077149961452,0.11428028595286063
TBC1D24,0.09570266696154577,0.2609154082602101,0.04580216653287388,0.04105031802648549
TBC1D25,0.44818557028515954,1.7617481162560895,0.0996410487389953,0.09742718582317887
TBC1D2B,0.0584208230624178,0.26049271391074785,0.017201552932457224,0.017778524102897895
TBC1D2,0.23241496947295015,1.669622237869165,0.039244072243698754,0.04094275750269651
TBC1D30,0.7121524770995726,1.9242065708953597,0.1986519957453057,0.1865508910695845
TBC1D31,0.25217027872846354,0.7429682123989705,0.1331812464760253,0.08524188449750243
TBC1D32,0.02478904275010023,0.02434307116650114,0.018363550681256335,0.017787698705377653
TBC1D4,0.47628078645216404,2.010418364311354,0.1018975233243973,0.09638031116561228
TBC1D5,0.0933175178433167,0.10437778643777781,0.07711467969899966,0.039806041007590866
TBC1D7,0.9599445843380428,4.294629308966424,0.12642257220562653,0.1546273702980373
TBC1D8B,0.07742341073856615,0.17979451468161553,0.041242877264967684,0.03385815015416281
TBC1D8,0.3716298190556036,1.5454402977821458,0.07642070774931253,0.07535657032701851
TBC1D9,0.139244360623247,0.6829857985628532,0.04722042533530732,0.04174422646254933
TBCA,4.350333272147046,0.7284565808907638,4.315205130931975,0.7099005027888058
TBCCD1,0.5909749500858406,2.813001684452398,0.07710569089861052,0.09452279264390297
TBCC,6.358473583614427,18.571179550242718,1.4296378728413899,1.7432531273566212
TBCEL,0.19463396882830603,1.1179918051962845,0.0464732231312619,0.04685063828010002
TBCE,0.22793385229629246,0.9633096183802428,0.06447019669419779,0.05683021320424439
TBCK,0.1636137394420571,1.9525729995100338,0.044949713020466166,0.040494794416406
TBK1,0.8435047018183749,3.668357799209073,0.23391342663145315,0.2033470105125759
TBKBP1,0.043250785445943275,0.11647280288898648,0.021452115726897262,0.02121861453691816
TBL1XR1,0.6778836334185694,1.2402794008774733,0.3812869961706921,0.19757008148355523
TBL1X,1.0590139058768047,3.718318875354092,0.30360883131273303,0.264544606144439
TBL2,1.0032115066294527,2.755026734847474,0.3536602686594195,0.2641559964215318
TBL3,0.18208952520305874,0.5799331630010026,0.08748387439942286,0.05154153528774604
TBPL1,3.679849118302694,15.648320785700477,0.8134683241150539,0.8632538979549932
TBP,1.2320266427329951,7.451087080026853,0.13502004567323683,0.16847235875646946
TBRG1,0.21669938314258844,0.2705579742113687,0.16511762383180742,0.04733935665997657
TBRG4,1.6755366820029443,4.029646345907025,0.7503146930229421,0.6549261049665076
TBX18,0.7680363258106655,2.145290811890123,0.21951018096289648,0.22026414671711297
TBX19,0.10945618230315785,0.41628777886997986,0.035288026323597205,0.035397425668505976
TBX1,0.04411091028535491,0.17813711281448114,0.017395810428228395,0.01724555659370405
TBX2,0.038722967297789214,0.08383274395569679,0.015384795476869202,0.0179723580361826
TBX3,2.035009473891539,5.191959861743862,0.6788178255603652,0.5731492468417237
TBX5,0.03396587107099784,0.3459109616441296,0.0043997448033593674,0.005943741068979104
TBX6,0.036730022326075085,0.0674276531261828,0.016462751751154053,0.01851789807127575
TBXA2R,0.235203546981107,0.5546485903915114,0.10865692002778214,0.08696872978880868
TBXAS1,0.05178547644503143,0.03899914368762856,0.044231571434230496,0.03614833303465784
TC2N,0.11394670863161928,0.2825305690197262,0.0548658519994882,0.04546281223372233
TCAIM,0.47955328343724224,1.5839569843243024,0.13144912534899503,0.11564687382834617
TCAP,0.022651920032223185,0.03553479784311359,0.011820050608039364,0.012850350512553444
TCEA1,1.011945997309927,0.4814102285682777,0.8850328062675823,0.37661337471206546
TCEA2,0.2585936862347727,0.34356798872900274,0.18434964627166572,0.05335507739746232
TCEA3,0.11932904006799572,0.6914574673835304,0.05986010187627468,0.039906442241077325
TCEAL2,0.025877433920010903,1.3158170998780374,0.000856196128313047,0.0011528726817256316
TCEAL3,0.014269956264459737,0.029715244610044357,0.004530088293191543,0.005674926260030317
TCEAL4,0.4730436112686659,0.5392641551267695,0.35868725975565874,0.13174401511900372
TCEAL7,0.03957392559046307,0.09906072920735418,0.012831055665567866,0.015623261047109102
TCEAL8,0.811793421979422,0.682046552825976,0.6053948459723151,0.33478998398836424
TCEANC2,0.0924136119519369,0.222138988413805,0.0430292596100052,0.041663990064258735
TCEANC,0.31114962525162354,1.1034128352202868,0.11216568670754334,0.11386133880298117
TCEB1,3.762817460679819,0.7314413922515468,3.694521063062305,0.6953325917694141
TCEB3,1.8627673216791651,4.788723149173349,0.49494570872747196,0.49971520953078497
TCERG1L-AS1,0.04756928599303974,0.11341110155479982,0.020376319695387383,0.022909920878300426
TCERG1,0.699947464292194,1.7099317605311812,0.41327045058748973,0.20380482764299093
TCF12,0.46939807071514444,1.98879871449653,0.08624175377806062,0.08454258673320526
TCF20,1.1760677491290203,4.584991486237904,0.23104587874720234,0.2722855531558989
TCF3,0.20975567047050717,0.824948266983823,0.11973880848221716,0.05294179621575788
TCF7L1,0.2949268057659572,0.8435333580680987,0.1301342233537904,0.08831534531281456
TCF7L2,0.9382023303292714,0.3381113641993001,0.8588731405209639,0.2370006865929073
TCF7,0.1270529006330845,0.23980192455326546,0.07550091092252666,0.04787960566188709
TCFL5,0.1531311784084332,0.1662656482397209,0.12059405552007746,0.05866070297254047
TCHH,0.08358501358283628,0.22468891336909194,0.029684052780331593,0.0344755514767278
TCHP,0.2476735250201739,1.139931329419585,0.08164962239984877,0.06223065896455659
TCOF1,0.4617877041778966,0.11206075969694208,0.43979612095027504,0.07073265999313906
