Gene,Rate01,Rate10,Rate12,Rate21,Eject,Decay
A1BG-AS1,0.025025431991965455,6.212258893627645e-5,0.12556359312795998,0.2569072802794959,1.6005163450952863e-5,0.004879337003981959
A1BG,0.011069137657979266,0.0014815944081407917,0.06298508139747083,0.2867530683414128,7.349791525608341e-6,0.0008314616993851869
A1CF,0.0049266630915462154,0.0027283791621929582,0.9645550540663126,0.00021052526622431986,8.861573730845747e-6,0.0013732191848658012
A4GALT,0.06036551468112992,0.003454248188783719,0.005492697829532397,1.4275003383927987,0.11814880871852608,0.004225013092782216
AADAC,0.03472389117150506,0.006143635154637737,0.025214235516583666,0.00025790721737192925,1.560401148206551e-5,0.002047633779572677
AADAT,0.00010882884110268874,0.005701229372624415,0.00029713881821335125,2.435982577349737e-6,0.00035144971277493596,0.001079954456214642
AAED1,1.0835507056079918e-5,0.002716435554088845,0.3147949931702098,0.00011495308864641351,0.002169495379647419,0.002714696679620929
AAGAB,0.004507550606494124,0.0321299372664308,0.0018284363483726828,0.00013089518183935758,0.00019690364366753703,0.0001766755597443561
AAK1,1.1325219164025775e-5,0.013201916684223314,0.12506912161582387,1.4607490159924392e-5,0.0019894275170003776,0.00365006174596096
AAMP,0.002543248635703174,0.021459627716861877,0.0011482637110791006,2.282744512113974e-5,0.0006489823574328983,0.00033464755676402137
AANAT,0.16663973279369454,0.0146954279559502,0.16932910051073716,0.040346215349915115,6.5067595455906e-6,0.0019672192100487983
AAR2,7.64483113553664e-6,0.0003076354756220766,0.2201392995612406,0.002098627384662039,0.0013761670448850136,0.004438517796473043
AARS2,0.0006522773629667782,0.2574246973713684,0.010653774580755367,1.2983089725954996e-6,0.00012492209892777967,0.0018153137435947442
AARSD1,0.0372273668477705,0.004799279775481074,0.0002826179783898453,0.0001540127930214321,0.0008762418409068473,0.0017781132604744914
AARS,4.102526685176607e-5,3.8731099340453045e-6,0.00792943492024581,0.14400699386404017,0.026692316206223143,0.0014081647551199823
AASDHPPT,5.333670185193751e-5,3.7464422446926038e-6,0.016736989667384482,0.034588526828380775,0.012958496981916876,0.0019145429005598534
AASDH,0.4423813993318831,0.27409299986252406,0.022554765135705163,2.384548295884074,0.25270721890060704,0.0040835324328151006
AASS,0.0008703331944002217,0.0018314189158248405,9.075911537258879e-6,2.7007350155597857e-5,6.496480457454963e-5,0.00043343060259623463
AATF,0.2592376514726968,0.10286105863144088,0.008196932528230318,0.00845141249749818,0.010669721050810686,0.001687981933373848
AATK,0.0001559792352925098,0.001443830500362861,3.9572475354673735e-5,3.904216718424955e-6,0.001672756317467146,0.008164439280865335
ABAT,3.211336755593614e-6,0.00014678353409991617,0.06664552151476608,0.00207973223750529,0.00010774039426924472,0.0009774558374555488
ABCA10,0.003344415196124898,0.00021888262895915429,0.0035842776726790248,0.00012828183094266854,2.6724971987898663e-6,0.0026937395222520403
ABCA12,0.002793177165876753,0.002073787717786685,0.1747178645989782,0.00012009698723943319,3.944078193907556e-6,0.0021955738211967956
ABCA1,0.04342933181489714,0.003272601554376278,0.22184741074520697,0.0033536910989452507,1.5052594562550499e-5,0.004592358994537306
ABCA2,0.03718728530191916,0.0011358217934954577,6.0438876530749606e-6,2.210441537255316e-6,0.0001759222408677518,0.0007271816164291377
ABCA3,3.2844751129991588e-6,0.0001002097459779853,0.01014634672070325,0.00044265314709309887,7.312804679535529e-5,0.0008334718931284715
ABCA4,0.005241863872104991,0.00019172394170162817,0.05136101923140165,1.217693127829281,5.219925119545239e-5,0.000812062578316931
ABCA5,3.941958582428768e-6,0.0005673792164819473,0.0806657964891337,0.0005021526399821552,0.00018357379675902342,0.0009590343188287289
ABCA7,0.05751792927812815,0.00022504315956501102,0.002818406145628439,0.0064491839804657804,0.006485518226778951,0.0016938033485480474
ABCB10,0.0580457302932398,0.0010792495481825991,0.0009490754436694262,0.0762540589334816,0.005277831347744821,0.0004737009139041613
ABCB1,0.00020790551837289044,0.001941382136810645,1.601923010113974e-5,2.986741677449988e-6,0.0004747323540029118,0.0014569607671392206
ABCB6,0.0010550195294004446,0.013847456051005074,2.5108811859801558e-5,1.0638768925597228e-5,0.0001115486469097849,0.0016490985069047
ABCB7,6.7648831653329695e-6,0.0011793700142617256,0.044568536563790076,5.8509599917424736e-5,0.0005065785046415026,0.0011470867208061392
ABCB8,0.0038507692796271335,0.12977039773579008,0.035857594391789684,0.0012934766960577522,0.0004876341401074443,0.00043597170440177037
ABCC10,0.18385928189950643,0.09150925434005741,0.008736363883349677,1.5240881809634974,0.0441038408901141,0.0018127138444746927
ABCC1,5.8335841577345245e-6,0.0002214414518846018,0.06942778372833884,0.00031431113360608166,0.0004943101492834444,0.0015134346973084435
ABCC3,0.0007204039560743737,0.0017678384831437946,0.012563270927939343,0.17810537821690012,0.03295628090965609,0.0008720703963624788
ABCC4,0.01995633573653819,0.0013313334446193128,0.001551349280656541,0.0014420573569967668,0.0007900437724273644,0.0013051962554854663
ABCC5-AS1,5.768838761913904e-5,1.4294356812619284,6.038268207832946e-6,0.05876146470755121,9.289726611433917e-5,0.05318217870176201
ABCC5,0.02651769709362878,0.005106577924376731,0.13177264743717493,2.6332530434833876e-6,0.00023523847979100226,0.0015170263315875479
ABCC6,0.007813311313190059,0.00016144923629418897,0.7516116466509953,0.00025735071241389697,4.048194820680629e-5,0.0030511606353712884
ABCD1,7.636863525818374e-6,0.0019116412180851348,0.00706580596759108,4.0076787819984814e-5,0.0001569420736139636,0.0010750211099862367
ABCD3,0.05897447485974927,0.058499404999597965,0.005226769409996457,0.014991695311029885,0.0069361238985529245,0.0011029728413630643
ABCD4,1.2608492083548693e-5,9.515452001713859e-6,0.09731459422838816,0.05201432952668046,0.0014901727528637936,0.0020394730118057877
ABCE1,0.08882540337853087,0.031202067715590174,0.004039400066851653,0.004640596008381913,0.016858130860593047,0.0013353974614808558
ABCF2,0.068570367972424,0.09704582580193005,0.004209398184135643,0.0034234074545095943,0.0037867725043494982,0.0007823514815352256
ABCF3,4.490893982836552e-6,0.0006863081683176867,0.2812619512819484,0.0003906381555589903,0.001154890357792255,0.0023967974152533426
