Gene,BurstMean,BurstSD,BurstMedian,BurstMAD
PRKCI,1.1917140538451203,0.28699778107771634,1.1602592510631788,0.2808515565183065
PRKCQ-AS1,0.5489317720912708,1.3346683484098085,0.25905532309716295,0.14344358921808173
PRKCQ,1.005468564967885,1.0937980437099952,0.7857786480753061,0.2591510432946778
PRKCZ,0.5442471738672848,0.1018772719113141,0.5206338627155318,0.07624215008541571
PRKD2,0.7690950774794857,0.25359771175252666,0.7114073340420736,0.20089645286823626
PRKD3,0.7454120107263464,0.15514652002646911,0.7115592928844812,0.1280790519240049
PRKDC,5.85852090857777,0.4324705996492761,5.793196593459813,0.43240296915955084
PRKG1,2.4165494573410915,0.2218392223575497,2.403389758696556,0.22347976289738822
PRKG2,1.8102877743007506,2.649493679226568,1.1343847700568273,0.5923862991036148
PRKRA,0.47753609842404576,0.19321841907899276,0.41856768438230907,0.10332549167897524
PRKRIP1,1.742646697489148,0.3003200089790041,1.7191163446763222,0.2944911937048407
PRKRIR,0.9541891299014933,0.31206436876652255,0.8889240068803125,0.2705623610048228
PRKX,0.8241982656578523,0.26862029186389086,0.7597881945170996,0.21172564921326467
PRMT2,0.8199305747972928,0.15946194502163935,0.7772473580435999,0.12420143044493417
PRMT3,1.8578327007143944,0.27436556865844647,1.8408872553582363,0.2675357470699139
PRMT5,0.844787337055816,0.3777197061596447,0.7458419426393569,0.29778964042221484
PRMT6,0.3279065463719171,1.1863366951891718,0.08372245220419475,0.07293187637825169
PRMT7,2.262409376949729,3.3643992786703727,1.5331900964271887,1.0251320556784647
PROB1,0.0507260858300071,0.10662930668288277,0.018852033528641197,0.02262617140756439
PROCA1,0.03775188109948968,0.056806039720958254,0.0253253445249252,0.02399672198399616
PRODH,0.11727309101983718,0.154719619484212,0.08710131642474699,0.04799409815862141
PROK1,0.008058298268350432,0.029194611937603913,0.001562813738792661,0.0019801045910308765
PROM1,1.017353901668863,0.37163680430879137,0.9385541728971595,0.30134422018639623
PROSC,0.5455988592237058,0.6492760200473939,0.36047992633841835,0.12944259423016
PROSER1,0.6879880877419781,1.9980363283132827,0.25594956026021853,0.1650165459101485
PROSER2-AS1,0.808588019247082,2.440035892465805,0.28879424282432975,0.23024417956038531
PROSER2,2.139029911497812,0.25699766558550924,2.1216883492734344,0.2509620108605326
PROX2,0.1362615547088775,0.1684341262724374,0.0980205405057532,0.0694696272807067
PROZ,0.04303164703191896,0.13153085679121,0.018575586949639497,0.020306376357055858
PRPF18,1.1308074908125134,3.768250617642598,0.38749383587330233,0.31709916961239115
PRPF19,1.0140107837057628,0.85101596792663,0.772397825979622,0.5008526627887749
PRPF31,0.5064608956288034,0.06691505179106057,0.4937484341123981,0.04668028324660355
PRPF38A,0.6521750916306576,0.3410249380395273,0.5490731322751862,0.20880577781835313
PRPF38B,1.5996366724561943,0.3790382520374769,1.5564389057492336,0.3596731568471941
PRPF39,2.357494623873255,1.756009677395991,1.9121783407251054,0.9438791138945563
PRPF3,1.0972318969155561,0.2557383505276389,1.0614508775197367,0.24415011516840793
PRPF40A,2.178857111939262,0.2250465897552998,2.1438941470328525,0.21643217795672567
PRPF40B,1.3518539564960215,0.23180659041078253,1.3304488405737107,0.2294614811907072
PRPF4B,2.3783267402436152,0.5327088372998852,2.3273020428271605,0.5105786745610457
PRPF4,1.1176813443733298,0.3177723250507278,1.0673986691372959,0.2945067441385044
PRPF6,0.9498146401404364,0.2571979176891473,0.8868413740080745,0.22496332352541942
PRPF8,1.3152950413970887,0.2451293717860127,1.2634132528095825,0.23015391300485916
PRPH2,0.4161991054687911,1.4059225284541648,0.11170284985702883,0.12217336678310117
PRPH,0.2908583922195459,0.7839078227122186,0.10930642436701905,0.07515924934514781
PRPS1,0.5376126098788252,0.33285774342481844,0.41883567781642556,0.1254083630978421
PRPS2,0.48039688468502406,0.11006682304227054,0.4529033690865484,0.0662195221189649
PRPSAP1,1.1982423026536804,0.7881669251298009,1.000898734367708,0.45066151560302475
PRPSAP2,1.061021729375896,0.6825736822383183,0.8978345099969323,0.44810719718026487
PRR11,2.42870409904331,0.2756798925655552,2.4219154323609287,0.12414676350983798
PRR12,1.2277787433141745,2.428528479330442,0.6874633366138402,0.37383780316773146
PRR13,0.8952350512568489,0.0889338118104349,0.8785796831727933,0.073495934802103
PRR14L,1.7762549738265623,0.3146358760597915,1.7479889422508745,0.3044571655133054
PRR14,0.38205335731329226,0.9078400520162034,0.18300846560248957,0.09036065507325985
