Gene,Total_specific,B_enhancer,ES_enhancer,Type
Rae1,1,1,0,Same
Ralbp1,1,0,1,> ES cells
Ralgps2,1,0,1,> ES cells
Rasd1,1,1,0,> B cells
Rbks,1,1,0,> B cells
Rbm12,1,0,1,> ES cells
Rbm15,1,1,0,> B cells
Rbm38,1,1,0,> B cells
Rbm39,1,1,0,> B cells
Rbm4b,1,0,1,> ES cells
Rbm7,1,1,0,> B cells
Rbpjl,1,0,1,Same
Rchy1,1,0,1,> ES cells
Rcl1,1,1,0,> B cells
Rdx,1,1,0,> B cells
Recql4,1,0,1,> ES cells
Relt,1,1,0,> B cells
Reps1,1,0,1,> ES cells
Rev1,1,0,1,#N/A
Rfc4,1,1,0,> B cells
Rfx7,1,1,0,> B cells
Rg9mtd2,1,0,1,#N/A
Rhbdf2,1,0,1,> ES cells
Rhebl1,1,1,0,Same
Rhog,1,1,0,> B cells
Ribc1,1,1,0,> B cells
Rimbp3,1,0,1,> ES cells
Rltpr,1,0,1,#N/A
Rmnd1,1,0,1,> ES cells
Rnf111,1,0,1,> ES cells
Rnf149,1,0,1,> ES cells
Rnf213,1,0,1,> ES cells
Rnf34,1,1,0,> B cells
Rnf5,1,0,1,> ES cells
RP23-268N22.1,1,1,0,> B cells
RP23-278M16.2,1,1,0,Same
RP23-391M18.7,1,0,1,> ES cells
RP24-372P19.1,1,0,1,> ES cells
Rpl10a,1,0,1,> ES cells
Rpl17,1,0,1,> ES cells
Rpl28,1,0,1,> ES cells
Rpl30,1,0,1,> ES cells
Rpl35,1,0,1,> ES cells
Rpl36al,1,0,1,> ES cells
Rpl41,1,0,1,> ES cells
Rpl9,1,0,1,> ES cells
Rprd1b,1,0,1,> ES cells
Rprd2,1,0,1,> ES cells
Rps19bp1,1,0,1,> ES cells
Rps2,1,0,1,> ES cells
Rps27,1,0,1,> ES cells
Rps27a,1,1,0,> B cells
Rps28,1,1,0,> B cells
Rps3,1,1,0,> B cells
Rps6ka1,1,0,1,> ES cells
Rps6kc1,1,0,1,> ES cells
Rrm2b,1,0,1,> ES cells
Rundc1,1,0,1,> ES cells
Sac3d1,1,0,1,> ES cells
Sacs,1,0,1,Same
Sars,1,0,1,> ES cells
Scamp3,1,0,1,> ES cells
Scnm1,1,0,1,> ES cells
Scrib,1,0,1,> ES cells
Sdha,1,0,1,> ES cells
Sec23a,1,0,1,> ES cells
Sec61g,1,0,1,> ES cells
Sema7a,1,1,0,> B cells
Sep15,1,0,1,> ES cells
Sephs2,1,1,0,Same
Sept1,1,0,1,> ES cells
Serac1,1,1,0,> B cells
Sertad2,1,1,0,> ES cells
Setd4,1,0,1,> ES cells
Setd5,1,1,0,> ES cells
Sf1,1,1,0,> B cells
Sf3b3,1,0,1,> ES cells
Sfr1,1,0,1,> ES cells
Sfxn2,1,0,1,> ES cells
Sfxn5,1,0,1,> ES cells
Sh2b1,1,0,1,> ES cells
Sh2b3,1,1,0,> B cells
Sh3gl1,1,1,0,> ES cells
Sh3glb1,1,0,1,> ES cells
Sik2,1,1,0,> B cells
Sike1,1,0,1,> ES cells
Sip1,1,0,1,> ES cells
Sirt5,1,0,1,#N/A
Skil,1,1,0,Same
Slc1a5,1,0,1,> ES cells
Slc25a38,1,0,1,Same
Slc25a4,1,1,0,> B cells
Slc26a2,1,0,1,> ES cells
Slc31a2,1,1,0,> B cells
Slc38a10,1,0,1,> ES cells
Slc39a1,1,0,1,> ES cells
Slc3a2,1,0,1,> ES cells
Slc5a6,1,0,1,> ES cells
Slc7a6os,1,1,0,> B cells
Slk,1,0,1,> ES cells
Slx1b,1,0,1,> ES cells
Smap1,1,0,1,> ES cells
Smarca4,1,1,0,> B cells
Smarcd2,1,1,0,#N/A
Smarce1,1,0,1,> ES cells
Smc1a,1,1,0,> B cells
Smc3,1,0,1,> ES cells
Smcr7,1,0,1,> ES cells
Smcr8,1,1,0,> B cells
Smg5,1,0,1,> ES cells
Snhg12,1,0,1,> ES cells
Snhg9,1,0,1,> ES cells
SNORA14,1,0,1,> ES cells
Snora16a,1,0,1,> ES cells
Snora44,1,0,1,> ES cells
SNORA51,1,0,1,> ES cells
SNORA61,1,1,0,Same
Snora61,1,0,1,Same
Snora64,1,0,1,> ES cells
SNORA70,1,1,0,> B cells
Snora78,1,0,1,> ES cells
Snord110,1,0,1,> ES cells
Snord15a,1,1,0,> B cells
Snord2,1,1,0,> B cells
Snord49a,1,0,1,#N/A
Snord49b,1,0,1,#N/A
SNORD58,1,0,1,> ES cells
Snord58b,1,0,1,> ES cells
Snord65,1,0,1,#N/A
SNORD95,1,0,1,Same
Snord99,1,0,1,> ES cells
Snrnp25,1,1,0,> B cells
Snrpe,1,1,0,> B cells
Snx22,1,1,0,> B cells
Soat1,1,0,1,Same
Sod2,1,0,1,> ES cells
Sp3,1,1,0,> B cells
Spag5,1,1,0,> B cells
Spata24,1,0,1,> ES cells
Specc1l,1,1,0,> B cells
Spg11,1,0,1,> ES cells
Spna2,1,0,1,> ES cells
Spnb2,1,0,1,> ES cells
Spns1,1,0,1,> ES cells
Spop,1,0,1,> ES cells
Spred3,1,0,1,Same
Spty2d1,1,1,0,> B cells
Src,1,0,1,Same
Srcrb4d,1,0,1,> ES cells
Srd5a3,1,0,1,> ES cells
Srebf1,1,0,1,> ES cells
Srebf2,1,0,1,> ES cells
Srl,1,0,1,> ES cells
Srp68,1,1,0,> B cells
Srp9,1,0,1,> B cells
Srprb,1,1,0,> B cells
Srrm2,1,0,1,Same
Srsf10,1,1,0,#N/A
Srsf3,1,0,1,Same
Srsf5,1,0,1,> ES cells
Srsf9,1,0,1,> ES cells
Ss18,1,1,0,> B cells
Ssna1,1,0,1,> ES cells
Ssr4,1,0,1,> ES cells
St3gal3,1,1,0,> B cells
St6galnac4,1,0,1,> ES cells
St7l,1,0,1,> ES cells
Stag2,1,0,1,> ES cells
Stap2,1,0,1,> ES cells
Stard4,1,1,0,> B cells
Stat3,1,1,0,> B cells
Stim1,1,1,0,> B cells
Stk11ip,1,0,1,> ES cells
Stk4,1,1,0,> B cells
Stradb,1,1,0,> B cells
Strn4,1,1,0,> B cells
Stub1,1,0,1,> ES cells
Syngr2,1,1,0,> B cells
Syngr4,1,0,1,> ES cells
Tacc1,1,0,1,Same
Tacc3,1,1,0,> B cells
Tada3,1,0,1,> ES cells
Taf15,1,0,1,> ES cells
Taf4a,1,0,1,> ES cells
Taf5,1,0,1,> ES cells
Taf8,1,1,0,Same
Taok1,1,0,1,#N/A
Tap1,1,1,0,> B cells
Tardbp,1,0,1,> ES cells
Tatdn1,1,0,1,> ES cells
Taz,1,0,1,> ES cells
Tceb3,1,1,0,#N/A
Tctex1d4,1,0,1,> ES cells
Tec,1,1,0,> B cells
Tex2,1,0,1,> ES cells
Tex22,1,0,1,> ES cells
Tex261,1,0,1,> ES cells
Tfip11,1,0,1,> ES cells
Tgfbr1,1,1,0,Same
Thap6,1,0,1,> ES cells
Tial1,1,0,1,> ES cells
Timm17b,1,0,1,> ES cells
Tk2,1,1,0,> B cells
Tlcd2,1,1,0,> B cells
Tmbim6,1,0,1,Same
Tmc8,1,1,0,> B cells
Tmcc1,1,1,0,> B cells
Tmem109,1,1,0,> B cells
Tmem129,1,1,0,> B cells
Tmem143,1,0,1,> ES cells
Tmem165,1,0,1,> ES cells
Tmem168,1,1,0,> B cells
Tmem185b,1,0,1,> ES cells
Tmem198b,1,0,1,> ES cells
Tmem209,1,0,1,> ES cells
Tmem222,1,0,1,> ES cells
Tmem41b,1,1,0,> B cells
Tmem57,1,0,1,> ES cells
Tmem79,1,0,1,> ES cells
Tmf1,1,1,0,> B cells
Toe1,1,0,1,> ES cells
Tomm20,1,0,1,> ES cells
Tomm22,1,0,1,> ES cells
Tomm34,1,1,0,> B cells
Top3a,1,1,0,> B cells
Tpm3,1,0,1,#N/A
Traf2,1,1,0,> B cells
Traf5,1,0,1,Same
Trak2,1,1,0,> B cells
Tram1,1,1,0,Same
Trappc5,1,1,0,Same
Trappc6b,1,0,1,Same
Trim28,1,0,1,> ES cells
Trim41,1,0,1,> B cells
Trim65,1,0,1,> ES cells
Trit1,1,0,1,> ES cells
Trmt1,1,0,1,> B cells
Trnau1ap,1,0,1,> ES cells
Trp53i11,1,0,1,#N/A
Tspan1,1,1,0,> B cells
Tssk6,1,1,0,> B cells
Tst,1,0,1,> ES cells
Ttc39b,1,1,0,> B cells
Ttc7,1,0,1,> ES cells
Ttc9c,1,0,1,> ES cells
Ttf2,1,1,0,> ES cells
Tti1,1,0,1,> ES cells
Ttl,1,0,1,> ES cells
Tuba1a,1,0,1,> ES cells
Tuba4a,1,0,1,> ES cells
Tubb4b,1,0,1,Same
Tubg1,1,0,1,> ES cells
Tubgcp5,1,1,0,> B cells
Tug1,1,1,0,> B cells
Twf1,1,0,1,> ES cells
Txndc9,1,0,1,> ES cells
Txnip,1,0,1,> ES cells
Txnl4a,1,0,1,> ES cells
U4atac,1,0,1,> ES cells
Uba52,1,0,1,> ES cells
Uba7,1,1,0,> B cells
Ube2m,1,0,1,> ES cells
Ube4a,1,1,0,> B cells
Ubox5,1,0,1,> ES cells
Ubr7,1,1,0,> B cells
Ubxn2a,1,0,1,> ES cells
Upf1,1,0,1,> ES cells
Upf3a,1,0,1,> ES cells
Uros,1,0,1,> ES cells
Usp48,1,1,0,#N/A
Usp53,1,1,0,> B cells
Utp3,1,0,1,> ES cells
Vamp1,1,0,1,> ES cells
Vav2,1,1,0,> B cells
Vcp,1,1,0,> B cells
Vcpip1,1,0,1,> ES cells
Vezf1,1,1,0,> B cells
Vps29,1,0,1,> ES cells
Vps35,1,1,0,> B cells
Wars,1,1,0,Same
Wbp11,1,1,0,> B cells
Wdr18,1,1,0,> B cells
Wdr25,1,1,0,Same
Wdr47,1,1,0,> B cells
Wdr83,1,1,0,> B cells
Wdr89,1,0,1,> ES cells
Wibg,1,0,1,> ES cells
Wnk1,1,0,1,> ES cells
Wsb2,1,0,1,#N/A
Xpo1,1,0,1,> ES cells
Xrn1,1,0,1,> ES cells
Yod1,1,0,1,> ES cells
Ypel5,1,1,0,> B cells
Ywhaq,1,0,1,> ES cells
Ywhaz,1,1,0,Same
Zbtb38,1,1,0,> B cells
Zbtb43,1,0,1,> ES cells
Zbtb7b,1,0,1,> ES cells
Zc3h10,1,0,1,> ES cells
Zc3h4,1,0,1,> ES cells
Zc3hav1,1,1,0,> B cells
Zcchc9,1,1,0,Same
Zdhhc18,1,0,1,> ES cells
Zdhhc24,1,0,1,> ES cells
Zeb1,1,1,0,Same
Zer1,1,0,1,> ES cells
Zfml,1,0,1,> ES cells
Zfp119b,1,0,1,> ES cells
Zfp143,1,0,1,> ES cells
Zfp219,1,0,1,#N/A
Zfp239,1,1,0,> B cells
Zfp251,1,0,1,Same
Zfp26,1,0,1,> ES cells
Zfp318,1,0,1,> ES cells
Zfp324,1,0,1,#N/A
Zfp346,1,0,1,#N/A
Zfp407,1,0,1,> ES cells
Zfp41,1,0,1,> ES cells
Zfp51,1,1,0,Same
Zfp524,1,0,1,> ES cells
Zfp553,1,0,1,> ES cells
Zfp579,1,0,1,> ES cells
Zfp62,1,1,0,> B cells
Zfp628,1,0,1,> ES cells
Zfp651,1,1,0,> B cells
Zfp689,1,0,1,> ES cells
Zfp692,1,0,1,> ES cells
Zfp707,1,0,1,> ES cells
Zfp712,1,0,1,> ES cells
Zfp746,1,0,1,> ES cells
Zfp777,1,0,1,> ES cells
Zfpm1,1,0,1,> ES cells
Zkscan14,1,0,1,> ES cells
Zkscan5,1,0,1,> ES cells
Zkscan6,1,1,0,> B cells
Zmym3,1,0,1,> ES cells
Zmynd8,1,0,1,> ES cells
Znhit2-ps,1,1,0,> B cells
Znrd1,1,0,1,Same
Znrd1as,1,0,1,Same
Zranb3,1,0,1,> ES cells
Zscan22,1,0,1,#N/A
Zzef1,1,1,0,> B cells
