Gene,Rate01,Rate10,Eject,Decay
0610009O20Rik,3.120537268714706e-5,1.2855201615879914e-5,0.00023811973351346035,0.0013515590395635033
0610010F05Rik,0.0002623739446296703,8.14817116495558e-5,0.0007227804433730962,0.0016319949896592813
0610010K14Rik,4.9107160180224834e-5,1.9054222753192642e-5,0.0004614265213953296,0.0010839814139259629
0610012G03Rik,0.004210482099599363,0.0039611216063973,0.008639303319503569,0.002144792145165861
0610030E20Rik,0.0011156911293732652,0.00022636298451627856,0.0015794571627940595,0.006317637516535419
0610037L13Rik,0.0007680108132730465,0.0003639284143229966,0.0009475379334439883,0.002084370161569585
0610043K17Rik,0.11949858306664254,0.0010687878454995747,3.639544769652113e-6,0.0035568081341968366
1110004E09Rik,0.0008828313483473798,0.0007429809098089718,0.0020576913245246645,0.0017599667192184387
1110004F10Rik,0.006911511548364208,0.017471375942217805,0.018826579772964713,0.0019592359122430616
1110006O24Rik,3.861186582799339e-5,1.3081137696589793e-5,0.00025043267538492006,0.002876827542214838
1110008F13Rik,0.006911526037092563,0.022183586484708973,0.03147158757004101,0.0020316182675764525
1110008L16Rik,0.013143451302276846,6.548238187795722,0.21445213812950986,0.005547904087546978
1110012L19Rik,0.0012108311058033256,0.0008295690632552523,0.0015365978841931707,0.0037744680193276094
1110032A03Rik,0.004456807521786609,0.012582506464039916,0.001540049465401153,0.003038699024173043
1110038F14Rik,0.007214424650900327,0.005232585878195192,0.005943404473960367,0.00363907753349059
1110046J04Rik,1.783391818816761e-5,2.2720515089054328e-5,0.00013473954546248295,0.0019047077914413652
1110065P20Rik,0.002357008376277844,0.001551008481750609,0.0009502430156184268,0.001140588904379078
1190002N15Rik,0.0010908124149084204,0.000790214442173621,0.00453958305366878,0.0059122512605703625
1190005I06Rik,0.00010025786813180323,4.279238478801507e-5,0.00015227057856520316,0.0027045648809687376
1190007I07Rik,0.001349499753238249,0.0016633290604116167,0.0020255085394986763,0.0007320990510673214
