pos	Md	Mn	gt
1	0.349832553776627	0.541172685636504	DDMSO
2	0.349832553776627	0.515107776033301	DDMSO
3	0.349832553776627	0.49733624675839	DDMSO
4	0.349832553776627	0.495559093830899	DDMSO
5	0.236983342880941	0.486673329193443	DDMSO
6	0.236983342880941	0.479268525328897	DDMSO
7	0.349832553776627	0.503852474159191	DDMSO
8	0.349832553776627	0.506222011395845	DDMSO
9	0.349832553776627	0.498817207531299	DDMSO
10	0.349832553776627	0.482822831183879	DDMSO
11	0.349832553776627	0.481638062565552	DDMSO
12	0.349832553776627	0.481934254720133	DDMSO
13	0.349832553776627	0.481934254720133	DDMSO
14	0.349832553776627	0.491708595821335	DDMSO
15	0.349832553776627	0.525770693598248	DDMSO
16	0.349832553776627	0.539987917018177	DDMSO
17	0.349832553776627	0.553612756128942	DDMSO
18	0.349832553776627	0.545023183646068	DDMSO
19	0.349832553776627	0.548873681655632	DDMSO
20	0.349832553776627	0.540876493481922	DDMSO
21	0.349832553776627	0.558351830602252	DDMSO
22	0.349832553776627	0.583528163741709	DDMSO
23	0.349832553776627	0.599226347934547	DDMSO
24	0.349832553776627	0.616405492900295	DDMSO
25	0.349832553776627	0.619367414446113	DDMSO
26	0.349832553776627	0.627068410465242	DDMSO
27	0.349832553776627	0.632696061402297	DDMSO
28	0.462681764672313	0.639212288803098	DDMSO
29	0.462681764672313	0.698450719719468	DDMSO
30	0.462681764672313	0.707632676511506	DDMSO
31	0.462681764672313	0.711186982366488	DDMSO
32	0.462681764672313	0.704966947120269	DDMSO
33	0.462681764672313	0.731920433187218	DDMSO
34	0.462681764672313	0.768944452509949	DDMSO
35	0.462681764672313	0.835883879445448	DDMSO
36	0.462681764672313	0.886828930033527	DDMSO
37	0.575530975567999	0.958211239287754	DDMSO
38	0.575530975567999	1.00678675263918	DDMSO
39	0.688380186463685	1.08883197945835	DDMSO
40	0.688380186463685	1.20730884129109	DDMSO
41	0.688380186463685	1.29053883672859	DDMSO
42	0.914078608255057	1.49846572924505	DDMSO
43	1.02692781915074	1.85478489120702	DDMSO
44	1.3654754518378	2.43769105142411	DDMSO
45	1.59117387362917	3.21223353565566	DDMSO
46	2.38111834989898	4.5874537093792	DDMSO
47	4.07385651333427	7.08909264697753	DDMSO
48	6.44368994214368	9.93757259759122	DDMSO
49	11.2962060106582	13.0997200399071	DDMSO
50	18.0671586643993	18.1687525734209	DDMSO
51	10.8667488867572	13.2032175241464	DDMSO
52	4.52923208022271	9.64327701581168	DDMSO
53	1.47330914224924	6.59220297142547	DDMSO
54	0.881151372747138	4.68599704662879	DDMSO
55	0.738679159854201	3.62486950520176	DDMSO
56	0.637524762852253	2.93288752710054	DDMSO
57	0.556409303721786	2.41702302792507	DDMSO
58	0.513716557062452	1.9638327556807	DDMSO
59	0.500461717885217	1.74950891918241	DDMSO
60	0.442668175336669	1.57601215859984	DDMSO
61	0.450584978756157	1.39337422079912	DDMSO
62	0.426319241161481	1.26084586762065	DDMSO
63	0.438286798581195	1.17013961667959	DDMSO
64	0.415490276479572	1.1233385446766	DDMSO
65	0.397793468407294	1.04574479598583	DDMSO
66	0.342727233090602	0.964469356656405	DDMSO
67	0.354509856596646	0.955779793705906	DDMSO
68	0.346368865125373	0.924455260434337	DDMSO
69	0.385671478995147	0.886367867650735	DDMSO
70	0.36458975827837	0.856196197752302	DDMSO
71	0.370684589322319	0.817189552773443	DDMSO
72	0.33138260342384	0.806362885831714	DDMSO
73	0.342844144990002	0.793865995029001	DDMSO
74	0.402175379255903	0.776995273574084	DDMSO
75	0.357947860226026	0.783687841759182	DDMSO
76	0.385568137226927	0.801365850904279	DDMSO
77	0.371420479744944	0.796445638343446	DDMSO
78	0.352926103573381	0.762696169333639	DDMSO
79	0.342173310145554	0.747699439097631	DDMSO
80	0.335795212909115	0.741941802390611	DDMSO
81	0.33650258932651	0.727026968340703	DDMSO
82	0.326946311940773	0.701542581872445	DDMSO
83	0.324794135109147	0.712710407326936	DDMSO
84	0.340550873117159	0.710368244469816	DDMSO
85	0.361236892020582	0.728652109651218	DDMSO
86	0.401635094104383	0.766056069587425	DDMSO
87	0.385568137226927	0.761093446058755	DDMSO
88	0.372556983915895	0.749326175968352	DDMSO
89	0.348504916001384	0.737163752676744	DDMSO
90	0.387919162453921	0.730377231842584	DDMSO
91	0.336377455554449	0.734774888173063	DDMSO
92	0.345743305543548	0.754326636962231	DDMSO
93	0.340550873117159	0.780632531580518	DDMSO
94	0.36458975827837	0.78347296439803	DDMSO
95	0.372578417255255	0.770910075051233	DDMSO
96	0.346346155391232	0.75964247371104	DDMSO
97	0.353015480237787	0.740319428790449	DDMSO
98	0.366580239215286	0.764334963087391	DDMSO
99	0.356265657357793	0.74231732855069	DDMSO
100	0.365454739911297	0.710705056520275	DDMSO
101	0.380383487090899	0.705837817672743	DDMSO
102	0.423930898073741	0.706319599570701	DDMSO
103	0.410867802437342	0.707204858031744	DDMSO
104	0.390843608467986	0.714803547719948	DDMSO
105	0.362350102781817	0.701226065109107	DDMSO
106	0.354381709048814	0.692583753261947	DDMSO
107	0.364909416129894	0.702477487651736	DDMSO
108	0.385568137226927	0.728200248495304	DDMSO
109	0.387919162453921	0.740850527675201	DDMSO
110	0.380320545007561	0.750323295376623	DDMSO
111	0.382231198195066	0.763730750408967	DDMSO
112	0.387484978588471	0.754411350646381	DDMSO
113	0.380522831641305	0.798604171288138	DDMSO
114	0.397403610435031	0.786166452805442	DDMSO
115	0.368930112543589	0.787490412254556	DDMSO
116	0.424350338492043	0.815154389182515	DDMSO
