Gene,BurstMean,BurstSD,BurstMedian,BurstMAD
STOM,0.01478113925140507,0.044023810187194375,0.008045815110480132,0.007568518937859869
STON1,0.03359947299999461,0.09601352451502725,0.014808466610822586,0.016044812188644494
STON2,0.061431080615331,0.1377170075879586,0.03155133813811346,0.032155241666672496
STOX1,0.30965959436165635,1.2154032701584385,0.055566782802043066,0.058607727093100956
STOX2,0.11032993868361089,0.31311303572177795,0.03737730835678761,0.03949108435830766
STPG1,0.23169594642290384,0.9966416401634056,0.044786574267089284,0.04837145000559389
STPG2-AS1,0.08395240510981417,0.2584605612238501,0.026365153914102206,0.03116123839702931
STRA13,1.2086910847116623,0.10022461373202265,1.1875754591106986,0.07718512587296461
STRADA,0.01878655269564677,0.03323035356497459,0.009478473064313701,0.010374661570125352
STRADB,0.019198510067136514,0.059484692209835925,0.010933761154942163,0.009856018296089975
STRAP,0.4935346824464448,0.4009442875408281,0.3529076192689288,0.12967542395106416
STRBP,0.17385231434293835,1.1285676522109547,0.06211248328134342,0.03995968426612606
STRC,0.02091518128241581,0.0391423848552813,0.008802951711515242,0.010541229291079786
STRIP1,0.10619344248690403,0.7311159990481719,0.0260781439905036,0.025347522718571863
STRIP2,0.029302251545718846,0.03808110399756359,0.017497073642578635,0.019178487205901693
STRN3,1.053262895514561,2.9610507582252175,0.3600027600447271,0.27628339838569765
STRN4,0.2399955674128773,0.5858935517521702,0.12570497567428895,0.06019694865416841
STRN,0.27985784377508166,1.2728229988001045,0.05610304125990882,0.05668091854089586
STS,0.015625324625068045,0.04119666334781256,0.004364993462657636,0.005471925976411563
STT3A,0.07928025097916945,0.2565682592312795,0.04999223791649035,0.028386273348729233
STT3B,0.15392207389485613,0.7757153037958998,0.02831191580934565,0.027306797218399795
STUB1,0.8548256518764067,0.5219769745582796,0.7146478369284388,0.38222587246774214
STX11,0.06091667370133421,0.1632641549362768,0.024449671647166635,0.02661920989073008
STX12,0.18500619653321457,0.7157846363288299,0.07819955337728836,0.04856745225276579
STX17,0.3304210402350814,1.4718557157859105,0.07409424812636359,0.06881343782453715
STX18-AS1,0.06436169628562062,0.19980160034267433,0.024247416143718517,0.025178845477577084
STX18,0.2938351812552918,1.6097807556698178,0.0999046869170308,0.0655032948111126
STX19,0.04695382480489377,0.11862692164353537,0.0191888125225148,0.02187891872801347
STX1A,0.15240208526972793,0.49546325832336285,0.04694436299101785,0.044296390056146225
STX1B,0.02975844421130478,0.05809768738762206,0.013089704477795526,0.015164157774585473
STX2,0.330744589472737,1.1722196646386462,0.09765415096956667,0.06684159774266679
STX3,0.2898218296666479,2.079447569879837,0.056468516465907156,0.05565500095549717
STX4,0.06402501258389118,0.9981026079642514,0.011139560426566754,0.010553637595074241
STX5,0.5047429927860941,2.070230610014993,0.0961759934258549,0.09917119379213543
STX6,0.3309256714925255,1.157878997802307,0.0987705689808905,0.0792662939508076
STX7,0.5181559025646457,7.536372347635853,0.05729213008341959,0.06295409305241845
STX8,0.052421729574715324,0.07526620985473309,0.042509779416678994,0.024360975678646875
STXBP1,0.07669707160599071,0.2732692338597007,0.05140972492398644,0.028780487799213623
STXBP3,0.18912214147118364,0.6525612371063382,0.053559771884915675,0.04593904556896991
STXBP4,0.038899156577230434,0.11370275353399474,0.01805997667162502,0.017115452040533337
