pos	Md	Mn	gt
1	0.0801422043273585	0.131846852280493	DDMSO
2	0.0801422043273585	0.105994528303926	DDMSO
3	0.0801422043273585	0.103644317033329	DDMSO
4	0.0801422043273585	0.115395373386314	DDMSO
5	0.0801422043273585	0.108344739574523	DDMSO
6	0.0801422043273585	0.108344739574523	DDMSO
7	0.0801422043273585	0.108344739574523	DDMSO
8	0.0801422043273585	0.101294105762732	DDMSO
9	0.0801422043273585	0.115395373386314	DDMSO
10	0.0801422043273585	0.105994528303926	DDMSO
11	0.0801422043273585	0.101294105762732	DDMSO
12	0.0801422043273585	0.122446007198105	DDMSO
13	0.0801422043273585	0.11069495084512	DDMSO
14	0.0801422043273585	0.0942434719509406	DDMSO
15	0.0801422043273585	0.108344739574523	DDMSO
16	0.0801422043273585	0.108344739574523	DDMSO
17	0.0801422043273585	0.113045162115717	DDMSO
18	0.0801422043273585	0.108344739574523	DDMSO
19	0.0801422043273585	0.0918932606803436	DDMSO
20	0.0801422043273585	0.0895430494097466	DDMSO
21	0.0801422043273585	0.11069495084512	DDMSO
22	0.0801422043273585	0.108344739574523	DDMSO
23	0.0801422043273585	0.101294105762732	DDMSO
24	0.0801422043273585	0.103644317033329	DDMSO
25	0.0801422043273585	0.0918932606803436	DDMSO
26	0.0801422043273585	0.11069495084512	DDMSO
27	0.0801422043273585	0.124796218468702	DDMSO
28	0.0801422043273585	0.120095795927508	DDMSO
29	0.0801422043273585	0.0918932606803436	DDMSO
30	0.0801422043273585	0.108344739574523	DDMSO
31	0.0801422043273585	0.0989438944921347	DDMSO
32	0.0801422043273585	0.122446007198105	DDMSO
33	0.0801422043273585	0.11069495084512	DDMSO
34	0.0801422043273585	0.117745584656911	DDMSO
35	0.0801422043273585	0.115395373386314	DDMSO
36	0.0801422043273585	0.141247697362881	DDMSO
37	0.0801422043273585	0.145948119904075	DDMSO
38	0.0801422043273585	0.152998753715866	DDMSO
39	0.0801422043273585	0.143597908633478	DDMSO
40	0.0801422043273585	0.183551500233627	DDMSO
41	0.0801422043273585	0.188251922774822	DDMSO
42	0.0801422043273585	0.192952345316016	DDMSO
43	0.0801422043273585	0.247007204539747	DDMSO
44	0.0801422043273585	0.265808894704523	DDMSO
45	0.0801422043273585	0.270509317245717	DDMSO
46	0.0801422043273585	0.341015655363628	DDMSO
47	0.0801422043273585	0.420922838563927	DDMSO
48	0.0801422043273585	0.456176007622882	DDMSO
49	0.0801422043273585	0.536083190823181	DDMSO
50	0.0801422043273585	0.597188683858703	DDMSO
51	1.30222983587705	1.99268862056713	DDMSO
52	0.91688115120283	1.80339062624981	DDMSO
53	0.736547343483331	1.60859604339549	DDMSO
54	0.570456662746822	1.24156451556989	DDMSO
55	0.502916666831602	1.19152967361188	DDMSO
56	0.486412222796106	1.05892067502258	DDMSO
57	0.486412222796106	0.978868486056208	DDMSO
58	0.464913340020588	0.981875527101109	DDMSO
