Gene,BurstMean,BurstSD,BurstMedian,BurstMAD
A1BG,0.24749590646572403,7.688186154739674,0.009916111724047518,0.013017962664820111
A1CF,0.10611528143094857,1.0062965312612415,0.030509504793107683,0.03651869749866505
A4GALT,0.604778140548944,2.016002389532606,0.16343734393503648,0.17366324176913223
AADAC,0.1142229979678517,0.5887498812816743,0.03830495160191226,0.045922941994212624
AADAT,0.3539830246738721,1.6304865995635425,0.14430345857783117,0.12550116970913716
AAED1,5.404905217113262,36.34082833326029,0.7482562280020777,0.8995640946375058
AAGAB,0.186884820701835,0.3689322562141155,0.13702049714100847,0.10538869000693828
AAK1,2.8967204557157795,16.592350598089904,0.5663829807497516,0.6075953088573598
AAMP,0.6161204124443309,1.5338925704258835,0.322183939252136,0.2000329896655777
AANAT,0.09166146164939443,0.33607018679822603,0.02171698379713565,0.02739946586301717
AAR2,2.605664979154958,27.284903685490946,0.33806214666232537,0.4024827246576959
AARS2,0.23060434651865433,1.3369779315510462,0.08390477948964936,0.08811704674449845
AARSD1,0.9094264583976053,2.4453345118257666,0.36985019091801885,0.2801942716625365
AARS,1.7085384882638495,6.353370552203827,0.5019088898355275,0.42584818436574023
AASDHPPT,1.6896824864143867,2.785133339808756,0.9937575847057729,0.5833384621036133
AASDH,3.0832718983242873,13.119128600772694,0.4949014194084326,0.5946531011053854
AASS,0.049535787165948315,0.13567982547343413,0.016365498981732864,0.02016651967127079
AATF,7.075739711587098,18.039822492436855,2.890197849751358,2.9573624287257627
AATK,1.328959611603578,5.202510061014613,0.38177279006423465,0.38060675252662296
ABAT,0.08389496562424407,0.20909728870140937,0.0415721590065643,0.04511409799041085
ABCA10,0.17490272555868874,4.722870705278021,0.016584183138567136,0.021681497138671672
ABCA12,0.07799990778990923,1.0985525463664874,0.006053440269276565,0.008260232621579957
ABCA1,0.21108510697226385,1.7338656847836418,0.04547800850478821,0.05635712600698124
ABCA2,0.19272059669118283,0.5813933841660756,0.10733355977371117,0.09822187294834814
ABCA3,0.08453287659485717,0.13358493374018882,0.044801068240383435,0.05020008752623951
ABCA4,0.1281892989961194,1.8680400036715747,0.009779703255880876,0.012726852008215628
ABCA5,0.24881652057379233,0.3739076535344334,0.18459637401912277,0.14080671396161826
ABCA7,1.1738446554544812,1.0284943154883033,0.9145334441991306,0.3669581913853764
ABCB10,0.09855814081767929,0.22691788402822688,0.05567038973279316,0.054805363199492606
ABCB1,0.49121740722860674,0.6528718692750125,0.3530801356749425,0.22393925935747205
ABCB6,0.10336164765095648,0.384954268364691,0.03207132647443792,0.039025396029581425
ABCB7,0.49807084942815844,1.803743309916476,0.1665775086429117,0.15400698942678342
ABCB8,0.2241230020630909,1.143177074471738,0.10522443768501691,0.09349714736105066
ABCC10,0.27279876017645055,1.6818320915938696,0.06413354959488218,0.06650307185762229
ABCC1,0.4338293089917754,1.444577741045486,0.18904186799876319,0.16006748766920656
ABCC3,0.8678552623941852,0.8814967780485994,0.6862859275813565,0.23447058315441546
ABCC4,0.6890109176075419,5.7639792509663605,0.15088025575772873,0.14540195220731708
ABCC5,0.22706376632594075,0.6378944238766083,0.10027590439744027,0.10017686710806557
ABCC6,0.3173260859092442,0.833731583129543,0.137757787205123,0.15519773472980303
ABCD1,0.10585704591673892,0.2180959265131392,0.056039682907003945,0.05819725260797788
ABCD3,1.1483589048309661,3.8117779364064552,0.43585321974458086,0.28760032250786877
ABCD4,1.4684180807451173,5.973508458637256,0.32166497734077054,0.3251143257336855
ABCE1,3.679096105393277,2.6947856100939394,2.8622206408215667,1.5867128556463224
ABCF2,1.9432002652719318,12.031380256618085,0.41780339763560703,0.35242768633568095
ABCF3,2.6804916992251946,15.41007776856432,0.34330491392540097,0.42363126948121516
ABCG1,0.1232531483704882,0.6651275304862286,0.03168708365227159,0.0393850498138084
ABCG2,0.10687590582773274,0.850658245996732,0.035213184259939245,0.037145509064775366
ABHD10,1.5790932784352734,1.0254482937779528,1.3066445659993073,0.4829160789861437
ABHD11,3.6073273083250017,18.56804218706643,0.5345992356815946,0.5938024896363626
