"","Gene","Rate01","Rate10","Eject","Decay","Rate01Mean","Rate10Mean","EjectMean","Rate01SD","Rate10SD","EjectSD","Rate01Median","Rate10Median","EjectMedian","Rate01MAD","Rate10MAD","EjectMAD","Model","Condition","Expression","Variance","ThirdMoment","BurstMean","BurstSD","BurstMedian","BurstMAD","HK","HK_new","HK_both","TF","Type"
"1","ABCE1",0.00295168382562891,0.00455265420467126,0.016790025963787,0.00133539746148086,0.00319697370794577,0.00917346894764341,0.0227047261732307,0.000676470967118865,0.0382572570534144,0.0469913329694364,0.0031144661213524,0.00535551057276303,0.0179636898452031,0.00043843494129976,0.00211851296512429,0.00312706834512833,2,"HCTDMSOr2",9.89072609633357,21.2792166546676,50.2955699453658,3.53611784557658,1.28521511413094,3.35479268463262,1.20271668548185,"yes","yes","yes","no","HK"
"2","ADH5",0.00137141619077454,0.00148820906342436,0.00363156173629687,0.000310092328322618,0.00192460320333511,0.0148833886778712,0.0120968942865553,0.000567185950688307,0.0374176899835623,0.0228148341966693,0.00191499663255535,0.00447290643681759,0.00578475193759855,0.000437991853709119,0.00325311056780891,0.00234249945832483,2,"HCTDMSOr2",11.2336448598131,17.9159348817834,29.7276935773494,1.69809125710152,1.19601600920139,1.29777060865102,0.747214151922427,"yes","yes","yes","no","HK"
"3","AHSA1",0.00301923394936074,0.00361335668944973,0.0113072104868805,0.0011566372437131,0.00347718454428463,0.0101515419165217,0.0170772525708078,0.000970465788643629,0.0210254257484807,0.0178828090701289,0.00332903841384943,0.00474881674440544,0.012500552303386,0.000623353783054379,0.0023189487956715,0.00247396641882881,2,"HCTDMSOr2",8.90136789056876,15.9290766025975,29.8295055866163,2.9170992141881,1.49362825193164,2.63323363441897,1.27608908818934,"yes","yes","yes","no","HK"
"4","AKIRIN1",0.00392133495049757,0.00880653545238878,0.0108834021865254,0.00251004129922387,0.00415381226629788,0.0309669111299848,0.0222903910307414,0.00134005854071543,0.0902649133621415,0.0464872167568961,0.00410246558901163,0.0102857426358482,0.0117225077847466,0.000961807981409757,0.00681661206607206,0.00413067368936606,2,"HCTDMSOr2",2.67146974063401,3.98572781104403,6.95943277909923,1.48558416562152,1.22542269397257,1.14360933764825,0.614706321920495,"yes","yes","yes","no","HK"
"5","ANKRD10",0.00521723013303731,3.0133008550902,1.02170457006164,0.00253615517235937,0.00408407785608698,0.0577180049366064,0.0230118747211484,0.0011411924296278,0.120894317625588,0.0408504945383102,0.00409528134100832,0.0240090981856643,0.0117940235841062,0.000720059974771781,0.0171183073989177,0.00608479461780531,2,"HCTDMSOr2",1.39195979899497,1.86503226830491,3.07479813943802,0.66062563436253,0.808687349843153,0.503240595521041,0.179671094065271,"yes","yes","yes","no","HK"
"6","ANP32A",0.00214444315693354,0.00212213272674313,0.00980053093085183,0.000773592973204134,0.00246066215781971,0.00456981240151609,0.0126049605771356,0.000635063012902129,0.00782649219813634,0.00841951553944578,0.00235789456081698,0.00272963132056038,0.0106359722875658,0.000392168262085093,0.00113309052654006,0.0015630115702917,2,"HCTDMSOr2",12.735781137509,25.0410595230136,46.2986518320487,4.17657541787903,1.8341090314343,3.89608751194024,1.69778415004438,"yes","yes","yes","no","HK"
"7","ANP32B",0.00154135917554869,0.00081402526918979,0.0235349969589161,0.00113278179381456,0.00159215283652106,0.0009641246069655,0.024026164923822,0.000278927495737896,0.00197841094091748,0.00538477063531682,0.00157081854787675,0.000843669798253595,0.0236765829905963,0.000129704373695302,0.000125878669779926,0.00061537989829127,2,"HCTDMSOr2",27.1914739884393,89.8614590990346,5.94756106205344,28.4344901107762,5.47984610854435,28.0597384631583,5.22910702054438,"yes","yes","yes","no","HK"
"8","ARF1",0.00338527269712329,0.00476042728368561,0.00992163876162547,0.000720726560112289,0.00397634645459032,0.0210771536073913,0.021188146743107,0.00115548081864645,0.0468756771245156,0.031498642473368,0.00392360962817074,0.00786318936826632,0.0123542630069366,0.000865879519183385,0.00524164983997562,0.00421058641438003,2,"HCTDMSOr2",11.4429190751445,18.9259325194627,35.6936079533519,1.98870981820857,1.34194898334277,1.57498714648565,0.897013521389883,"yes","yes","yes","no","HK"
"9","ARHGDIA",0.00130374731795917,0.00133255329771974,0.00678568570201548,0.00109130507444444,0.00149914819001004,0.0026337658511586,0.00824913795905214,0.000464549388579047,0.00532543229179934,0.00548893563073234,0.00144509207961135,0.00168406436907039,0.00726688854922568,0.000297199710718273,0.00075114145554946,0.00104213945530086,2,"HCTDMSOr2",9.22471098265896,17.6872217372782,30.732021796328,4.92790249056208,2.70505236332516,4.31578557286084,2.05787618577049,"yes","yes","yes","no","HK"
"10","ATG3",0.00238312515874482,0.00133843178502711,0.00635488602949975,0.00219966733938165,0.00320647587809611,0.00530546487101872,0.00831740081337641,0.00168384790396668,0.020068745675222,0.00867701691326932,0.00285606022877322,0.00190123478728573,0.0067825605543672,0.000933971603552303,0.00113407043778063,0.000909393826072113,2,"HCTDMSOr2",3.70007209805335,5.09245132861586,6.1173765426106,5.2174184868125,7.20521198196125,3.56812331682811,2.64825234893564,"yes","yes","yes","no","HK"
