"","Gene","Rate01","Rate10","Eject","Decay","Rate01Mean","Rate10Mean","EjectMean","Rate01SD","Rate10SD","EjectSD","Rate01Median","Rate10Median","EjectMedian","Rate01MAD","Rate10MAD","EjectMAD","Model","Condition","Expression","Variance","ThirdMoment","BurstMean","BurstSD","BurstMedian","BurstMAD","HK","HK_new","HK_both","TF","Type"
"413","SRSF3",0.00310383851969433,0.00221118993467485,0.0436073956021093,0.00167820273309465,0.00315505155636409,0.00237454966097458,0.0441946230035695,0.000392162893268298,0.00143979606378816,0.00429575349768764,0.00313224940388039,0.00225580488715545,0.043815913756017,0.000229544412705684,0.00033969598443139,0.00151364025934565,2,"HCTDMSOr1",30.3466054109239,109.438312876969,107.118726285618,19.6875877917207,3.54851039552983,19.4203504308902,3.3969777697404,"yes","yes","yes","no","HK"
"414","SRSF4",0.00765895331291127,0.0240021901845095,0.0414494404172008,0.00416957281645537,0.00769287725976074,0.0368275937693124,0.0531748973416925,0.00133179524396589,0.0460057609154839,0.0428727888720886,0.00761226613140992,0.0235188184039892,0.0409928782537208,0.000925346921759909,0.0100122537424161,0.0100618007607822,2,"HCTDMSOr1",4.8098878695209,9.01737419741656,20.8251391054908,1.83223602773694,0.552576630931498,1.74411404660384,0.518807360604254,"yes","yes","yes","no","HK"
"415","SS18L2",0.013353301393438,0.0673000358699058,0.0322962495268256,0.00355936542676382,0.0106136116101806,0.0577245942275804,0.0280751075009672,0.00339897427577546,0.116734485461624,0.0376492902298402,0.0104532696289963,0.0227488093531912,0.0168889699521551,0.00243575609018773,0.0154231520581758,0.00597230080203953,2,"HCTDMSOr1",3.00456389452333,3.96296091528869,6.08417843195994,0.984320087716082,0.783138248475672,0.746237703648114,0.419658689583448,"yes","yes","yes","no","HK"
"416","SSB",0.00076122088238289,0.000645243108404805,0.00412944944377732,0.000397470595550102,0.000835565903215657,0.00107130676273604,0.00468660400118623,0.000173310703611728,0.00387748230615949,0.00439126141243715,0.000815830277249246,0.000760552171083683,0.00431868574099885,9.91684188621409e-05,0.00021206222034427,0.000351118327766498,2,"HCTDMSOr1",11.2454081632653,23.0321217721783,38.9329999885783,5.90831160010709,1.88468608047843,5.67907926349985,1.72654521630243,"yes","yes","yes","no","HK"
"417","SSBP1",0.00345623625376021,0.00482161998350299,0.0295578066642479,0.0011676524383522,0.00358493641089828,0.00606710726904135,0.032192370893811,0.000527434090697405,0.00416665779894479,0.00873626414148768,0.0035373900696337,0.00517592079281292,0.030395009650957,0.000334250666033844,0.00137637938765921,0.00324910212214245,2,"HCTDMSOr1",21.1372448979592,59.7449393481882,155.02130970328,6.01625038809434,1.50279337232252,5.87386446011158,1.44385242298071,"yes","yes","yes","no","HK"
"418","SSNA1",0.00397258606362144,0.00651441888376084,0.0122518390000492,0.0014906104600362,0.00435222015913047,0.0186620366344684,0.0204682189151136,0.00110061351963841,0.0682264434041185,0.0452886871479333,0.00423828389877876,0.00799778825794946,0.0133994282742683,0.000753631125383779,0.00411707328703597,0.00326441618267091,2,"HCTDMSOr1",6.22704081632653,10.170391243232,18.4819331828681,1.86937801166124,0.895566750866715,1.67643309397291,0.762772914544248,"yes","yes","yes","no","HK"
"419","SSR2",0.00194247257242637,0.0018653405049694,0.00508253447478334,0.000774403564399653,0.00245380344826252,0.00881583706614705,0.00927678785872558,0.000807692203587373,0.0273030428760441,0.0155183803769065,0.00231967970593287,0.00297576978341148,0.00592168423297578,0.000522798540482544,0.00164159233214697,0.00125609629794743,2,"HCTDMSOr1",6.69638308711156,10.3204504941001,16.2709662192598,2.32874125384035,1.47609555604053,1.99011289838082,1.15955299310706,"yes","yes","yes","no","HK"
"420","SSR3",0.00283058620525462,0.00261140580081405,0.016564061847163,0.00156408790796231,0.00296138256116821,0.00321386511641195,0.017454910869404,0.000514189811230306,0.00335271787522147,0.00450178938053872,0.00291415861213754,0.00279982974090028,0.0168961553474597,0.000323654204293851,0.000710855220182674,0.00126354100177204,2,"HCTDMSOr1",11.0168195718654,23.4895234220839,41.7459367204791,6.24031491639361,1.75291392331057,6.03579849248148,1.65478326682364,"yes","yes","yes","no","HK"
"421","SSU72",0.00461568265750371,0.00610088460834236,0.0145201925711178,0.00160660137308319,0.00508523226054861,0.0143385333437045,0.020566499015297,0.00133128504214092,0.0345937627449842,0.0246834742866591,0.0049125980530002,0.0073196185914542,0.0155721423128166,0.000887199153519519,0.00354760225968371,0.00314181183944348,2,"HCTDMSOr1",7.78491335372069,12.9965511902498,23.7375924989084,2.35790884503693,1.14669737342474,2.12818003915012,0.998203976845708,"yes","yes","yes","no","HK"
"422","STAU1",0.00348701353093141,0.0027314439318485,0.00986708014806606,0.00192180636251325,0.00406204493649491,0.00730471423576681,0.0127385146492557,0.00143168204381647,0.0263202660480692,0.0149936195136951,0.00381017035565208,0.00334237239654699,0.0103915669160251,0.000834423035008338,0.00157980456612713,0.00139877767043749,2,"HCTDMSOr1",5.75826972010178,8.80823313844698,13.1737853171457,3.58100379499542,2.15936183783082,3.10952179726954,1.68961008173305,"yes","yes","yes","no","HK"
"423","STIP1",0.00406150575291806,0.00856045485186621,0.0344800090779102,0.00182515784253709,0.00417046530030458,0.0108884117370221,0.0386531431896429,0.000559437757753121,0.00714677849420405,0.0130194402281483,0.00412400301170268,0.00904168463807811,0.0354202821028836,0.000368663477989745,0.00258089432403644,0.00501988744866062,2,"HCTDMSOr1",12.1560428352881,31.8359260032646,89.2621973599547,3.99579876168086,0.907088447611265,3.91770505131169,0.887202588822683,"yes","yes","yes","no","HK"
"424","STOML2",0.00152758921642941,0.00184279416539449,0.00903648234733428,0.000616080074965566,0.00163721481602003,0.00274985417926982,0.0103620364196962,0.000289897469929803,0.00496831076310493,0.00668617120776369,0.00160492165590894,0.0021121968384442,0.0094868991682253,0.000179918923880309,0.000625072500008603,0.00105220253820228,2,"HCTDMSOr1",13.2957674655788,29.7666776491403,62.7747289251158,4.63568967315677,1.36214543563365,4.49242492058531,1.29435850098484,"yes","yes","yes","no","HK"
