Gene,Rate01,Rate10,Eject,LL,Convergence
A1BG-AS1,0.13020318029112835,0.001766652673567445,9.001999567413558e-6,177.11838164026184,false
A1CF,0.00010688616665143204,0.0023227268268062136,0.0021252858880363716,1004.5790032785777,true
A2M-AS1,0.000970301844125611,0.0018705054627751838,0.0002863784201799032,712.1282398292974,true
A3GALT2,0.00021338543742728687,0.0009749267231002295,0.0015922487623202665,1622.4781250476049,true
A4GALT,0.0022366763570222073,0.003819237710692444,0.005313886300491204,4246.330348804627,true
AAAS,0.0005440436033295193,0.0021403591866956937,0.001011203313867431,4581.863158056375,true
AACS,0.00032536894630066346,0.001897015268661851,0.0018384044007477586,4965.901092752726,true
AADAC,6.62938621878718e-5,51836.57138676795,67851.25830605658,3124.7487709657034,true
AAED1,0.0011600080049453988,0.002043951550044706,0.00350016678542481,4682.3489168437745,true
AAK1,0.002582411221352356,0.02140657665937433,0.04931575037421458,7444.661067091431,true
AAMDC,0.0006405575121473817,0.015493003891369685,0.010029034229684954,7098.254741044708,true
AAMP,0.00011687748170892497,1.031348209909588e38,4.414674801937974e37,7664.035679336957,true
AANAT,0.00015576583744273027,0.0022220102923857566,0.0012370601564151696,1442.8649655578192,true
AAR2,0.0039262882855106845,0.007948619673840095,0.006336527952494106,4347.801318495775,true
AARS2,0.0012229196363204044,0.0028763029468906695,0.0015132266792788234,2076.6255997558696,true
AARSD1,0.0007439515217697486,0.00061129570116598,0.0016623362441904879,3991.218305049887,true
AARS,0.0019766505998274216,1.1529714137428864e11,8.852394187539517e10,6343.9967314775795,true
AASDHPPT,0.00306463590158717,0.004676927007501933,0.011592703602949663,8195.068799541132,true
AASDH,0.0042134769207922826,0.0753746811340104,0.07295534782858078,5908.991816695756,true
AATF,0.003021533713535026,284601.74589193886,881830.3575497847,10867.336625769643,true
AATK-AS1,2.0203280180296328e-6,7.756920120727709e-5,6.01979649517413e-5,253.8267683171702,false
AATK,4.5965310110861e-6,4.40184831250352e-6,0.00381768951903554,2978.157099658906,false
ABAT,0.0005112719855496051,0.008367865694502987,0.007733958599496436,3790.206649480361,true
ABCA10,1.4594063744012304e-5,0.0003967524062075481,0.0009046959309516934,2266.5002531214673,false
ABCA12,8.481396567465191e-5,0.006645501918624141,0.004247576598385041,803.8699155427886,true
ABCA1,5.293801389091878e-6,4.305237557151425e-5,0.001598777288372252,610.1895417924231,false
ABCA3,0.00019406112963670126,0.0035736835236236334,0.0034787137977482165,3248.3309693268793,true
ABCA4,2.2034346829236134e-6,3.4985786267949266e-5,0.0007259325325549234,561.2814682324488,false
ABCA7,0.0018271234157625988,0.04561332641326252,0.03958193470486223,7684.267417080486,true
ABCA9,0.0002767810737015045,0.008248203401049143,0.021452505123410508,1668.3823212640414,true
ABCB10,8.980782626901648e-5,0.0008569059658102027,0.0011646782381565923,5019.525297872459,true
ABCB1,6.430189377415228e-5,0.002433478265793608,0.0032833982773320474,1724.6293910363856,true
ABCB6,0.0012858345703447318,0.1215116038043125,0.0023332724930493092,510.89761003466276,false
ABCB7,0.001324095804695783,0.008668536794791178,0.007525749491827346,5533.432717676308,true
ABCB9,0.0012032698087289936,0.017120546312307378,0.012378014368218056,3954.2051392478206,true
ABCC10,0.001285548702966338,0.0032194555937673395,0.0017466485105626965,3849.0309613339964,true
ABCC11,0.0002465923330320093,0.0010064242448212194,0.0007017463593898412,717.6538799128336,true
ABCC1,0.0008996834601461061,0.0035427174918793106,0.016976738740510287,9345.777230132264,true
ABCC2,8.31973641716856e-5,0.0011330096329717281,0.001487420436427464,4872.824032334748,true
ABCC4,0.0003385787365772642,0.0030440556005444045,0.015502998917900215,8578.98774403918,true
ABCC5,0.00034514039788125346,7.879721964662771e8,5.957915001713419e8,4457.656705137057,true
ABCC6,0.0014694458495690585,110334.42573255925,40688.09480095558,2002.783539484027,true
ABCD1,0.002150867379356445,0.006833426460245683,0.003294396527505437,4911.733173573325,true
ABCD3,0.0015114896218115508,0.022415091715188382,0.03452195602726736,7587.635209927871,true
ABCD4,0.0013016765901642186,0.0012055351717814322,0.0020299060501258654,5473.874925129447,true
ABCE1,0.0015527644738363945,0.003950970221208761,0.00982348179727636,8277.390297964055,true
ABCF2,0.000789360836988132,0.0008038608541316718,0.002052916664240399,6974.675539191249,true
ABCF3,0.00496467536324857,0.011785479357469758,0.004900624246068512,4774.1472441673295,true
ABCG1,0.0005458652891026792,0.017711183153648558,0.0006441349834318482,248.9483025666337,true
ABCG2,0.00017205809084394963,0.000953014557719169,0.0003999429875798136,692.6932360818339,true
ABCG4,0.0002709601272301474,0.0018951618003555403,0.00040894868876183843,433.1253583902734,true
ABHD10,0.002165456740792815,0.020140353006832697,0.05027115683847571,8582.894901005902,true
ABHD11,0.0010265696754813121,0.005409866748788277,0.006593523980779076,6814.435985988722,true
ABHD12B,7.621641234367856e-5,0.006778944693268115,0.002560260830605437,2275.267373457462,true
ABHD13,0.004133141463318083,0.002962908811347412,0.007620692990333751,5446.100288869696,true
ABHD15,0.0008069079711176601,0.0009983138644270625,0.000745156306948257,1996.3853537714697,true
ABHD16B,2.358109095410431,309.08623903907136,0.0020078221886430207,74.18588329916426,false
ABHD17A,0.003769524457064936,0.006604989248621126,0.007502631247262524,8061.3357847733005,true
ABHD17B,0.007696338562745606,0.03361670179341546,0.06706920620258333,6487.903463381294,true
ABHD17C,0.0014789322739415653,0.007427958867676791,0.015489531210619903,5634.774454825325,true
ABHD2,0.0007587572420373411,0.01610305652553841,0.021553164151837473,5492.163649544076,true
ABHD4,0.003206979795560298,12600.300232204172,1541.8403278432452,1717.9457612248755,true
ABHD5,0.003731502741522749,0.03965461123548042,0.04872263196583313,7926.10084330558,true
ABHD6,0.0018111029444969294,0.020157347849148955,0.019268168292807804,4340.247360819627,true
ABHD8,0.002582107252851761,477639.9996651523,164274.77928416702,3952.137030081229,true
ABI1,0.002192832879954121,0.11112272992235495,0.1600543960459291,8574.272778198489,true
ABI2,0.0018620797448040583,0.010038294305031444,0.03312319007579457,9681.92999247925,true
ABI3BP,2.4045585938676787e-5,151265.85994785198,274743.74060288613,3848.3747372008656,true
ABI3,0.7106151802403399,94.0883335982326,0.0015253915935718094,96.51031599439717,false
ABL1,0.001973171494587914,0.009405403625849544,0.062029511928165595,9560.07817663895,true
ABL2,0.006113991883885658,0.046386539307632126,0.24836977904011517,10311.33996913879,true
ABLIM1,0.0006040377483706309,2.5007360817253846e6,7.692554579531568e6,10274.146995695437,true
ABLIM2,0.0009260287326606922,0.008290259076322727,0.008609201320444852,3830.5788528873445,true
ABLIM3,0.00037733794709379347,185356.9360002039,173725.70974888545,3243.515663059803,true
ABRACL,0.0006084095818950594,0.0016121484966268094,0.005230371901134062,9755.52247345974,true
ABR,0.0008831580838720212,0.004136045497174947,0.010709443101884967,8508.644503214038,true
ABT1,0.011499388801070608,0.01227983885222863,0.020732337805342553,7233.929864907494,true
ABTB1,0.0006734576391317116,0.0012652052705525994,0.0007008710492363882,4145.170252095572,true
ABTB2,0.001747963176798042,0.030049195388196243,0.11756483401644587,6865.294441756994,true
ACAA2,0.0005035312317843502,0.0005102160831790051,0.0009485496903214565,4184.388165594981,true
ACACA,0.0005690128572041161,0.0035333469621890395,0.02972427498511288,11511.62362889196,true
