Gene,Rate01,Rate10,Eject,LL,Convergence
0610009B22Rik,0.08538339011393162,2909.6887337312787,31.575255642737694,3059.740948764289,true
0610009O20Rik,0.003848793504767731,4863.311879828226,233.06082418512568,3224.2335722677217,true
0610010F05Rik,0.00028568460309731457,0.0016952003711345348,0.00020722573445658776,1572.2567361994306,true
0610010K14Rik,0.0021414841715719822,0.0038716642892059295,0.0008813285299944516,3455.729066589245,true
0610012G03Rik,0.006802059530113358,0.030941953673804756,0.00783686464576888,8806.418197421915,true
0610030E20Rik,0.000790893946661067,0.0003691527800422167,0.001885928705619249,4793.092069387079,true
0610037L13Rik,0.000387742511269679,0.00017908852325910986,0.000573172704088209,4821.727339344785,true
0610039K10Rik,0.00016790321865083443,0.0045384042015475575,0.0007555076629619486,389.6437593089442,true
0610040B10Rik,0.0016896982720301151,0.007064712031201043,0.001503331741611552,2523.581718152609,true
1010001B22Rik,1.4731341373367184,0.0033230889954769275,4.570758919474971e-6,196.68429559504787,false
1110002L01Rik,4.661926655536693,188.19601805157345,0.007627466089937338,1411.7291245948447,false
1110004E09Rik,0.0008061786316587371,0.0008176418431396875,0.0006743272075237543,4056.8401554882084,true
1110004F10Rik,0.005788133430707653,0.03493922759589399,0.027372360267046203,12610.275124497015,true
1110006O24Rik,0.0012731967310686805,0.008414521223442996,0.0004241780320841977,841.1370278297253,true
1110008F13Rik,0.0034101076093354453,0.0031483617126309782,0.004984761334111078,9172.306979603867,true
1110008L16Rik,0.0004608921162139967,0.0006962103148360576,0.0008037022237115311,1778.2290666067158,true
1110032A03Rik,0.005332646320496824,23551.08891701798,2402.8042902884076,3911.223618511049,true
1110032F04Rik,0.0006346031454989087,0.0014792259925229193,0.0003775133186077881,1080.524161019321,true
1110034G24Rik,0.0007055601507243088,0.0004561561507054017,0.0007943555282660676,2030.9385819198565,true
1110035H17Rik,0.0006598704994278702,0.005770213360056307,0.0003525597864972613,929.1750550890318,true
1110038F14Rik,0.0009641111855801844,0.00032080223481301785,0.0018374363201572417,6580.224135643764,true
1110059E24Rik,0.009020623008640836,0.01240901614344237,0.004728567115139298,5800.559785093161,true
1110059G10Rik,1.6018404126405122e-5,2.005988117510345e-6,0.0016328107175165444,4767.055206838519,false
1110065P20Rik,0.0032631362154746375,0.014432857851068518,0.0011928371052186777,4384.336350644865,true
1190001M18Rik,3.186625754408722,0.004275583750491558,8.694709510918396e-6,26.047098548244264,false
1190002N15Rik,0.00044722923916776984,0.001520750861461073,0.0010925353239954426,1083.4769841709715,true
1190007I07Rik,1.1561575309833356e-5,2.046311058802842e-6,0.00047724186261871137,4705.341142632164,false
1300002E11Rik,0.004680829385156354,4238.089843156427,234.76870988523854,3149.2910604766794,true
1300014J16Rik,0.0006861291229704964,0.005049346834473683,0.0016255868487023105,431.28344801525066,true
1500002C15Rik,12.90512876931847,687.4480449905221,0.003340344026373151,273.40129355569377,true
1500011B03Rik,0.0005755080909429622,0.0004694668518598,0.0006722356580267382,2058.6136338001556,true
1500011K16Rik,0.0006041471426418855,0.0021365529298526904,0.0006820555718526495,5063.148430257016,true
1500015A07Rik,0.003569614926266819,0.04258625377435708,0.007521662189246806,2654.107416959774,true
1600002K03Rik,0.00041217151290357375,0.0002496168397704964,0.0010926066458781184,6075.92397815217,true
1600012H06Rik,0.0005564376649806374,0.0007162922236628513,0.0006196777104286145,1649.044903511185,true
1600014C10Rik,1.4747873262289988,101.78657194761777,0.008355273956548429,1405.9622387481481,false
1600014C23Rik,8.977303103846712,1244.8150729455106,0.0014726659568986516,283.23792032503064,false
1700001L05Rik,7.320614168385665,987.448918852678,0.0027977602638161497,288.14359415244996,false
1700003F12Rik,0.016119234193059308,4562.332267929183,0.00483006837841858,40.81431517409817,false
1700008B11Rik,0.02711319627487759,0.00034098783705200356,2.3607007610966086e-6,81.19962040544728,false
1700008J07Rik,0.0010642397437708978,0.014232829877942586,0.000543380218783086,1164.3249643747379,true
1700010I14Rik,0.00045047329657057773,0.0018512985277834857,0.0006112059845770661,858.7216353554596,true
1700016K19Rik,2.435046873090795e-6,1.5555494986537363e-5,0.000934062361398431,936.0925998189213,false
1700017B05Rik,0.017993231347291097,0.07174272304883954,0.03357323726133062,6704.383759651321,true
1700018L02Rik,0.5634124250972024,0.0067137635825422525,5.5219234298821245e-6,99.96531925304349,false
1700020D05Rik,0.22303893126751315,0.0007090214811696601,7.019836389902522e-6,191.32432107958635,false
1700020I14Rik,0.0008336365011737591,0.0003406528706631003,0.004098958223484943,8488.016686316329,true
1700021F05Rik,0.014755672363885782,9.223611168661354e6,498898.03703037294,3463.6292453209617,true
1700022I11Rik,0.07179282908624667,0.0006902000495041595,1.5126263569828903e-6,112.10743992809932,false
1700022N22Rik,27.47874912526064,1327.7308497119911,0.006164961684129382,702.9348897660359,false
1700028J19Rik,4.4282492861969756,8314.758677034188,0.027139356891574866,158.26195722197056,false
1700029I15Rik,0.06928121837899728,0.00016825212340829866,9.37334606082925e-6,112.10495849917196,false
1700030K09Rik,0.0006000798298483038,0.0003586862284952817,0.0006758175137685736,2280.925793171083,true
1700037C18Rik,0.0003230297357262623,0.00038559457769338635,0.0003474567830686301,2329.5109410673294,true
1700037H04Rik,0.003265744635176896,0.5523797934373565,0.01157659669359113,3366.0647817200725,true
1700041G16Rik,0.0003839304706363731,0.0014227345764323514,0.0007864667148243223,1073.5925023639616,false
1700047I17Rik2,0.09886311586753183,0.030085753393391996,1.6069193092462658e-6,18.17647780921554,false
1700048O20Rik,0.00018796905080937655,0.0022321081819165036,0.0007133657458207259,2488.6815246261617,true
1700052K11Rik,0.0006886218220108948,0.0005711995977486983,0.0014335263364076557,2066.2583304742134,true
1700055D18Rik,0.0003677872262931199,0.0024136473915238733,0.000567567796607621,681.0187512654552,true
1700056E22Rik,0.00046243858695721115,0.0005747873439902899,0.0009363339844325469,2042.9373797573971,true
1700058P15Rik,4.073155616401613,212.52025655847495,0.0016748994949844426,146.98775867107472,false
1700065D16Rik,10.937035197337606,940.3838599648444,0.003991111741280493,222.7794675835147,false
1700066M21Rik,0.000397958115119038,0.0018103968125442293,0.0009453304605086973,911.1823599466733,true
1700067K01Rik,5.815108842611798,2419.065188730531,0.005070431537085494,174.8645440492087,false
1700084E18Rik,0.00014609117193511151,0.0024196157260116783,0.0005332887047648358,640.1167221967854,true
1700086O06Rik,46.247367740703154,773.520200173238,0.0010675266744012753,878.0568938084092,false
1700092M07Rik,0.3028866095190866,2268.1699529525067,0.004937341019332823,18.158308651028534,false
1700096K18Rik,0.001242353512706585,0.0028719782915961048,0.0012018775125208752,2867.2452757940428,true
1700099I09Rik,0.0030837556061596902,0.10615044525419987,0.0016705084203102363,607.2574792359408,true
1700105P06Rik,2.693561926801915,504.8518921275634,0.002736747102467385,238.23487247356175,false
1700109H08Rik,0.0009825120390435232,0.09349345182619122,0.0018832176482878654,562.8959079841418,true
1700113A16Rik,0.000291138500532115,0.001414557788831829,0.00043029685786279983,1010.3750138541976,false
1700123O20Rik,0.013493696519904837,0.02331208079254229,0.005840477109317419,5646.451587121363,true
1810009A15Rik,5.6785791020907865,377.34798220840935,0.006609855404722153,1930.6089410348823,false
1810010D01Rik,0.3572333835148388,0.018246196821646694,2.802066600878991e-6,61.60444592939773,false
1810010H24Rik,0.000431306655908968,0.015526466687020882,0.0006181678177160998,466.31595232732843,true
1810012K08Rik,0.12266713817915716,172.88251917000557,0.001611149001983991,47.883273610291255,false
1810013L24Rik,3.5508800853875703e-6,3.121034820227252e-6,0.0022760333226380333,3502.783618417085,true
1810022K09Rik,0.00454401175007616,0.010062602030751272,0.0061849399930086375,10294.353796176863,true
1810024B03Rik,4.967536187085132e-6,1.566707353761118e-5,0.00034158093201787446,1135.8589415049048,false
1810032O08Rik,0.017604559523569933,9.511698396856011e7,4.91274874602121e7,5045.4145546030095,true
1810043G02Rik,0.0003453619577432544,0.14823808272988043,0.00394383936367511,841.1232300014871,false
1810044D09Rik,0.0001252231367289664,0.0005172518624146984,0.0002556546825747502,2592.6323009822695,true
1810055G02Rik,8.390393810683265e-6,-2.223638483929264e-6,0.00012996952314815456,730.6314644163026,true
1810058I24Rik,0.001177366694082461,0.000700542151627179,0.0010884815861497265,9560.657502883307,true
2010007H06Rik,0.0008186211816470088,0.0015039071167610813,0.0008453795528656793,5252.2664020599195,true
2010015M23Rik,3.6967167794595455e-6,4.1424840216036424e-5,0.0010879770869369114,871.9535017082796,false
2010103J01Rik,1.771012920190283,147752.80913079233,0.09177991429254717,26.021065319659485,false
2010107E04Rik,0.001143394210940163,0.0009200283675711243,0.0012940787648029464,11863.680210513869,true
2010109I03Rik,2.3714100422808648e-6,1.8317373593712675e-5,0.0010321537905676516,750.4641558365574,false
2010110K18Rik,0.00011895826706890732,-33444.75312695802,-989.4659723425427,599.1582475326564,true
2010315B03Rik,0.0005914939336355006,0.00023989440562344208,0.0005782754234073883,2564.7384720501695,true
2010320M18Rik,8.991944345823274e-6,-2.5446631107339098e-6,0.00020882775300728193,1983.153646321279,false
2200002D01Rik,4.1397775502405995e-6,2.7261641878069592e-5,0.00021639603276934889,409.37586832933044,false
2210016F16Rik,0.0007078664701941366,0.0003287047954829137,0.0010250986297509065,4749.377653734154,true
2210016L21Rik,0.008217279395363871,0.03068200380163644,0.007587585355886248,7255.41068929885,true
2300009A05Rik,0.0007207284300261691,0.00019128583075625653,0.0005743533131182982,3151.0242516815542,true
2310001H17Rik,0.00044222293059189975,0.000550171608178838,0.00125911425521745,3885.3701675592997,true
2310009B15Rik,5.605860860707569e-5,58266.944411838835,4761.525111563376,5660.720742350294,true
2310011J03Rik,1.8319676849163406e-5,-9.229990991915628e-6,0.0009078333147844636,4915.154011821593,false
2310022A10Rik,0.000390422058677429,0.0005325038830100465,0.0009582453881913806,2188.06362564368,true
2310022B05Rik,0.0005956947530122295,0.0004293554825972307,0.00041557448859591274,2026.2040561452222,true
2310033P09Rik,0.00197605075043056,0.008111692769974784,0.004058750233402063,5450.03357144603,true
2310035C23Rik,5.818173728602627e-6,2.395935230735852e-6,0.0007068871894702469,4420.653384962288,false
2310039H08Rik,0.0021499947964527958,0.0028164653299309578,0.0018998509133171379,6406.889546354006,true
2310040G24Rik,0.0001749086749830738,0.0012148121106585741,0.00040520063618568246,1091.7776347646552,true
2310057M21Rik,0.0009357810244834286,0.00024229085917839047,0.0014230967504554348,2458.7159366133696,true
2310061I04Rik,0.0004964400856642735,0.0003621430489388883,0.0009914166278368354,3021.284927286641,true
2310068J16Rik,0.00024214936470197914,0.0015372075716685706,0.0005520367794230512,938.2440244268809,true
2310074N15Rik,0.5293763564521792,0.001412372401841309,7.978532991767431e-6,158.42025953380562,false
2410002F23Rik,0.0027804981007462206,0.006041690984413365,0.00391610234247106,3167.086741023147,true
2410004B18Rik,0.012973629702611457,6657.964814243367,557.1813279639417,3714.420291910102,true
2410089E03Rik,0.0004966191043762065,0.0009322621231579003,0.0007537410618112707,2588.5843363414615,true
2410131K14Rik,0.0009356127685514333,0.000305786853067765,0.0005915376731538543,2019.2626604234147,true
2510002D24Rik,0.004747765296447691,0.010921509887847151,0.004085868276186994,7154.344126829024,true
2510017J16Rik,0.030437384001545307,391.8740782124971,0.49072611335419875,872.4319578300048,true
2510039O18Rik,0.23876562860144923,90.18776671747561,0.24788324979125337,3160.7131817943396,true
2510046G10Rik,0.00023597889028818657,0.00040910615305764095,0.00033019600141393174,2307.8674159437874,true
2610001J05Rik,0.0004381864614430634,0.00012344230594982933,0.00070168132705653,4956.17889724218,true
2610008E11Rik,0.02819365760492335,2.2365104046200314e9,1.1037273371113734e8,2692.8573618894047,true
2610020C07Rik,0.0030614506138385757,-0.0032206908076064435,-0.0002446040039879912,1824.5058920557242,false
2610021A01Rik,0.000518852529520275,0.0013291847881024541,0.0016287982648601359,1304.0177002189394,true
2610044O15Rik8,0.00037795805786185985,0.0006084549552362838,0.0009610984529070213,2028.8409265687985,true
2610301B20Rik,0.00035887484493117013,0.0005598220437496164,0.0007322489257102186,2043.0175177077454,true
2610318N02Rik,0.0001641077660854459,0.0009085617398917425,0.0005813451667165794,2199.823660001811,true
2610507B11Rik,6.340677001931838e-6,1.6826449932041267e-6,0.0004494741426521193,4763.866214735408,false
2610524H06Rik,0.0005322128750491033,0.00033556212990377163,0.0012853636135930443,4621.490248798542,true
2700012I20Rik,4.835567730824687,261.94815717459613,0.0017797055978830514,335.9820647109989,false
2700038G22Rik,0.0017721509174665711,0.013678248838217208,0.0029908275833023224,2674.881009972807,true
2700046G09Rik,0.0024171394880852107,0.12366347394497808,0.001856226146612178,422.883145081048,false
2700049A03Rik,0.0004877589005523609,0.001020811606933855,0.0018702548421117835,2790.323465961858,true
2700062C07Rik,0.0009724850232483046,0.00026066730317392966,0.0015543915926842613,4367.1366825924415,true
2700081O15Rik,0.00040062576216954546,0.00045962147806568536,0.0007255359952757671,2253.0000163701397,true
2700097O09Rik,0.005328050038048892,0.0497587371481423,0.0063820900303387836,2925.0068328264956,true
2810001G20Rik,0.00046571872824280363,0.00041151143988586166,0.0005952552237837589,2250.0467135905897,true
2810004N23Rik,0.002067118746095647,0.0045939585187088445,0.005130011112253298,7495.45041177258,true
2810006K23Rik,0.0005269322524056485,0.0003140345318519339,0.0014656127442988281,4290.051759836046,true
2810021J22Rik,0.4925728237512593,61.191690746774334,0.040384765840206276,1072.6686545272505,false
2810402E24Rik,0.003651400858543864,0.007899284127958697,0.0016328965220023034,3906.138592721307,true
2810403A07Rik,0.008866870411285312,0.03519968275117647,0.0035708388025859038,4411.139103118225,true
2810405F17Rik,0.00042005553891833716,0.0007666127250011659,0.001509277270019416,1895.2624941534955,true
2810408A11Rik,4.466206372073698,435.44693026514256,0.0018741187456094094,317.06478975982867,false
2810414N06Rik,6.746985172952157,2378.9859987557206,0.007397803401994315,258.45738405616015,false
2810429I04Rik,0.00032461369374925234,0.0030935569557986645,0.0003952839000634892,606.6727745882805,false
2810455O05Rik,20.703161929689674,1286.3304552613092,0.002969320525906827,321.82051233153527,false
2810474O19Rik,0.011376270730019221,0.5089546370554946,0.2303837577554729,7564.366837242019,true
2900060B14Rik,0.005165011562123453,0.10503521825039897,0.03547557499647736,2805.2186655172018,true
2900076A07Rik,0.0008585743167953619,0.001093053151475178,0.0010417989657597164,1321.987357429382,true
