Gene,Rate01,Rate10,Eject,Decay
0610009B22Rik,0.08509199074212932,8.298190588570167,0.09128577270718281,0.011152969120990008
0610009O20Rik,0.0038258917986376717,3.3772746700158645,0.16298551694091337,0.0020624267306175994
0610010F05Rik,1.9518272909522555e-5,3.878560614591085e-5,8.931874243152826e-5,0.000924700807497163
0610010K14Rik,0.0016562444202393581,0.0023175277466382428,0.0007531314092487053,0.0031641525164974055
0610012G03Rik,0.006762722374644069,0.030001180386302142,0.007678125516013659,0.0026891033228897527
0610030E20Rik,1.0003829773549095e-5,4.0606588719550994e-6,0.0018066505777550295,0.007678875202222458
0610037L13Rik,2.4473938857064765e-5,9.143085446040033e-6,0.0005386248049012843,0.0023164359948747064
0610039K10Rik,6.06448390946393e-6,8.632882562615081e-5,0.0004108762704534751,0.004899336781911967
0610040B10Rik,0.0016015599269372655,0.0062236490854942796,0.0014176107489807758,0.00466347466018793
1010001B22Rik,1.47313413734167,0.0033230868006253627,4.092297771447795e-6,0.0016999302180200743
1110002L01Rik,1.0809683440312547,1.798561377941002e-5,0.0001843803470514161,0.006573416887625785
1110004E09Rik,0.00016498266770975867,0.00011326971264887215,0.0005646290333274221,0.002633275844695018
1110004F10Rik,0.00578078656476762,0.03465704785831523,0.027211336903647063,0.0031840187623768616
1110006O24Rik,1.3909225013202368e-5,2.6785861070231453e-5,0.00016313847368153056,0.003909908650841853
1110008F13Rik,0.0034013656359032627,0.0031349500516837303,0.004980592891359067,0.004570356678927509
1110008L16Rik,1.2003920078237943e-5,1.5912746395709548e-5,0.0007441502313235862,0.008377669643405371
1110032A03Rik,0.005333313317364966,3.6544544049737593,0.37332479554622594,0.004542459993891889
1110032F04Rik,1.711497587403873e-5,2.905567403432743e-5,0.00030550527321349824,0.005758178456541741
1110034G24Rik,2.1032466454719232e-5,1.2307178280757677e-5,0.0007648988784985245,0.0104964484391465
1110035H17Rik,1.3361333979197396e-5,3.0768549653667315e-5,0.00011952837877557152,0.00223397098686276
1110038F14Rik,3.1769606493847996e-5,8.287123099412173e-6,0.0017381803130057194,0.004699392871160168
1110059E24Rik,0.008938475448815566,0.012156971956660304,0.004697057316790662,0.008600570639028799
1110059G10Rik,1.720297177418594e-5,3.464334702144735e-6,0.001632910069885387,0.008163976687572594
1110065P20Rik,0.002226963325792417,0.0038787633367449157,0.0006030309582562869,0.0015218779414600913
1190001M18Rik,3.1866257544097816,0.0042755829616625135,7.6412145879525e-6,0.03283653113444339
1190002N15Rik,8.444475423244336e-6,2.4986366408492822e-5,0.000983374537028269,0.012565821088174845
1190007I07Rik,1.2007195625123136e-5,3.086142868326555e-6,0.00047739189558871443,0.0023359951159323275
1300002E11Rik,0.0046893655087959915,6.0511285216095985,0.3349314227552184,0.003006677731735747
