Gene,Rate01,Rate10,Eject,Decay
A1CF,0.022051706315337646,0.0002587525421521254,1.4455807825761916e-6,0.0021673846846251977
A2M-AS1,0.5866586970877552,0.0020071041959374212,1.4544030360866837e-5,0.0037535679540591504
A4GALT,1.958109394829669,0.00046546459527915763,0.00024588085383908285,0.004772622011159922
AAAS,5.4512860171323955e-5,1.0350582882392002e-5,6.877898956547774e-5,0.0004204004348582443
AACS,1.0057539642188642,0.0016932718869333548,1.312501183088517e-5,0.0004813731562767961
AADAC,0.08879452682632386,1.424828318674787,3.979868207822779e-6,0.00035438840091621166
AAED1,2.4255426385408217e-5,5.9614939669648806e-6,0.000607804179689417,0.0025411165827101917
AAK1,7.574046948982482e-6,1.0918603096830935e-5,0.00042095400511440333,0.0037127214664299415
AAMDC,0.00010373682957745809,9.319447939121371e-5,9.987672532023736e-5,0.0002745681175220499
AAMP,2.069757467372354e-5,1.3608435587167024e-5,2.539761709686441e-5,2.4777000090798225e-5
AANAT,0.37278086945150446,0.0009666181853924611,3.0816629517201695e-6,0.0017484579779097511
AAR2,2.050715591755053,4.6441454841987165e-5,0.0003006065648132559,0.004798949840084059
AARS2,3.6439339648756426,0.0002880858977389064,3.395014752737393e-5,0.003794880695706363
AARSD1,1.315773473412914e-5,5.9170768148723885e-6,0.00020031902741833298,0.0024744679549160917
AARS,0.0021790111028045767,4.1327712732968385,0.33122432463957296,0.0015248854733465984
AASDHPPT,4.0914898052080354e-5,6.7625716121579905e-6,0.0007609239385773435,0.0019841867641632103
AASDH,6.853754842429445e-5,9.526711166886165e-6,0.000770918881283598,0.004736852220213539
AATF,0.005704253642699295,2.877731257569802,0.20679695743225843,0.0017611975788148493
AATK,5.6375382075948814e-6,6.555354464795793e-6,0.0007547887147474911,0.012742710868204988
ABAT,0.7107711185016549,0.0001485208835835561,2.5804349471011885e-5,0.0013696959642707427
ABCA10,0.014248732297362857,0.0004475111410049377,3.61373129974883e-7,0.0003101723391791797
ABCA12,0.025388058523031852,0.00031232311464689027,1.417346826983276e-6,0.0016515124116240677
ABCA1,0.6420478087866996,0.0003137605088243702,2.365661667643523e-5,0.007385811770024206
ABCA3,6.148422802325312e-5,7.091425325459476e-5,1.7429739505714943e-5,0.0007168766969003466
