Gene,Rate01,Rate10,Eject,Decay
A1CF,0.07459269580618694,0.007171560610593496,2.2809280073338535e-6,0.0021673846846251977
A2M-AS1,0.03232350463527091,5.840888979055658e-5,9.845818438783943e-6,0.0037535679540591504
A4GALT,8.080054978760379e-5,8.461623843044845e-6,0.000295531974847715,0.004772622011159922
AAAS,2.4284133132820286e-5,1.3241183626784848e-5,0.000101131801729697,0.0004204004348582443
AACS,1.3923002060944747,0.003426689285044184,1.3737843798317392e-5,0.0004813731562767961
AADAC,0.007475348337862516,0.0012665331502165445,4.703149465132436e-7,0.00035438840091621166
AAED1,0.005021414293442352,2.096865067978313,0.20625477250372265,0.0025411165827101917
AAK1,0.0036819959379789727,3.6585988182612863,0.27657080408004603,0.0037127214664299415
AAMDC,5.473553063877168e-5,1.661507928275196e-5,6.5419186788213e-5,0.0002745681175220499
AAMP,8.712021701601976e-6,3.837027740990425e-6,2.3839709514397938e-5,2.4777000090798225e-5
AANAT,0.036361226201554506,0.0008663107056322303,2.3954425144434724e-6,0.0017484579779097511
AAR2,18.099184138036268,0.011540603330206928,0.0003039510533698107,0.004798949840084059
AARS2,7.765539389524392e-5,6.70285965322158e-5,5.5557628130736535e-5,0.003794880695706363
AARSD1,2.931890675360727,0.0005643256203437812,0.000157306893897901,0.0024744679549160917
AARS,0.002681172333861927,0.03799398716346486,0.002714877009854234,0.0015248854733465984
AASDHPPT,1.5064455958159951e-5,2.7861704916111913e-6,0.0008245026088595414,0.0019841867641632103
AASDH,1.676598929942533e-5,4.4667836800380905e-6,0.0007926137876575645,0.004736852220213539
AATF,0.000628260230506059,0.0002859009743918388,0.000634849406984058,0.0017611975788148493
AATK,9.16796208477871e-6,2.6260528043595926e-5,0.0013395664926217463,0.012742710868204988
ABAT,5.925501161734842e-5,6.358280957094234e-5,3.7921342208950296e-5,0.0013696959642707427
ABCA10,0.04244844790518096,0.298276065472543,5.797015250929955e-7,0.0003101723391791797
ABCA12,0.013322650338318363,1.0866730760708495e-5,1.0099530088559082e-6,0.0016515124116240677
ABCA1,7.646100138271838e-6,6.239002064109967e-5,0.0004014123115941289,0.007385811770024206
ABCA3,1.8238446292093518,0.002875996619523694,8.33577896997853e-6,0.0007168766969003466
ABCA4,0.05664791068664445,0.0008771602745311452,2.5949810290456524e-6,0.00195198571279612
ABCA7,9.432327944496294e-5,5.965747542102783e-5,0.00060126703872528,0.0008435115663862503
ABCA9,0.3353381372519201,0.006363318445790482,3.204601981417688e-6,0.010811130271384022
ABCB10,0.7275088207638956,5.9018931360605856e-5,6.246305274013268e-6,0.0001971115699104756
ABCB1,1.4023696195666506e-5,1.6189824377351122e-5,3.7048902955068316e-5,0.0008609414257489627
ABCB6,1.9291222420224806e-7,0.3617823795056754,4.194174539572389e-6,0.0014473889620767483
ABCB7,3.249849313374896e-5,1.0678952468612451e-5,0.00019160508023344954,0.0013898561611817284
ABCB9,2.9991285079150226e-5,1.127098876670935e-5,6.12267549413948e-5,0.0023082826787020868
ABCC10,1.601598791497382,0.002510831246126677,2.867755447253363e-5,0.0014514314626398802
ABCC11,0.011582071969693086,0.00022619038073331372,2.3360004488111044e-6,0.005238560726787672
ABCC1,3.6079094460644606e-5,2.5884547187444506e-5,6.15050782148997e-5,0.0012165993692092455
ABCC2,4.204163801309303e-6,5.364914675062524e-6,0.00012282531458601112,0.0002893747417620803
ABCC4,3.690499333724875e-5,4.518011982301607e-5,6.961426137894202e-5,0.0007602481184960448
ABCC5,1.9657675845160003e-5,2.898964142262272e-5,4.7879224364186755e-5,0.0005872169972584776
ABCC6,3.8776296712152907,0.0035188620162538656,4.909039782033284e-5,0.004802258218489456
ABCD1,0.0750648467598505,4.603505235417559e-6,2.605316530077731e-5,0.001375144616784453
ABCD3,8.001306154095938e-6,7.620553845216984e-6,0.00021409588189716798,0.0013946558576978451
ABCD4,1.7610157393711643e-5,5.159279122590795e-6,0.00027825095159704196,0.0014125736984584244
ABCE1,0.0005989744184888551,0.0003950395225708623,0.0011129980502495172,0.0012683610095297027
ABCF2,4.275362880691315e-5,1.2669599140440433e-5,0.00016431146587898653,0.0007208937344792662
ABCF3,5.060653004074855e-5,8.003513636270136e-6,0.0003229705883555549,0.002671681973477937
ABCG1,0.0594596780753766,0.00022231091460154102,6.660604162641907e-6,0.002815815949431738
ABCG2,5.327441624001432,0.014453740594961599,9.317277866209551e-6,0.0024194356367429645
ABCG4,0.6056662953538862,0.00018634127373948127,1.2733801538869228e-5,0.0037394966791444465
ABHD10,0.0013989788697460269,0.0017099613482573308,0.0020136022693765746,0.0022176320294300185
ABHD11,0.0004626600744146976,0.0005683951387086709,0.0006895218142895283,0.000862378045528443
ABHD12B,0.20484437750229673,0.011857564267456626,6.904509018942326e-7,0.00020763942232337844
ABHD13,4.956088407524716,0.0003290833706886764,0.0003678823243242315,0.006046347701955358
ABHD15,1.7174829372024988e-5,2.5698415233535995e-5,0.0002133721684151399,0.002967782132800495
ABHD17A,0.0031278540374282153,2.561253104713965,0.2179985896340335,0.0010888790176860708
ABHD17B,1.3938769890142426e-5,1.2153616129453069e-5,0.000999874218794386,0.012257696370765672
ABHD17C,5.75452307209557e-6,3.5500875662225267e-6,0.00031191626098685455,0.0035623243333774454
ABHD2,8.879242768606495e-6,2.300292402315382e-6,5.5231953812442894e-5,0.0014271244626680264
ABHD4,1.6103488438701528e-5,1.8511799321351217e-5,0.00012311342421414084,0.004403612355842087
ABHD5,0.0009436192685720509,0.0021804891931856306,0.0004687269194837847,0.00218211969195692
ABHD6,0.9138970243519813,8.011195744228955e-5,0.0001477905947786041,0.0037860138475952223
ABHD8,1.6804797314594932e-5,4.253822053330262e-5,0.00017646205574792354,0.0024862555423832747
ABI1,2.2411044720153137e-5,1.4264988074770284e-5,0.0002902042721622276,0.0012986147829390248
ABI2,0.002108816253311814,0.0032946204937735943,0.0009510031619030618,0.0015118034863269311
ABI3BP,1.849190699470982e-6,268.49530478364966,1.0059564684103086e-5,0.00012065724961471312
ABL1,6.485098420545623e-5,1.2602299472455354e-5,0.00011993042395017404,0.0037234981981453742
ABL2,8.623602457236537e-6,7.475161635716244e-6,0.0005502277388158414,0.007561484064188461
ABLIM1,1.2195746564116794e-5,9.980632590297547e-6,0.000184082108368158,0.0006940445050093068
ABLIM2,2.621555157233505e-5,5.311894457991949e-5,0.00010525957168586377,0.002601481520248423
