Gene,Rate01,Rate10,Eject,Decay
0610009B22Rik,1.8920447666158763e-5,1.007363626712303e-5,0.00043491911118636136,0.011152969120990008
0610009O20Rik,2.1685564134226237e-5,6.965842756922039e-5,0.00024188850270280581,0.0020624267306175994
0610010F05Rik,4.556273927360534e-6,4.20382496683101e-5,9.631484851997631e-5,0.000924700807497163
0610010K14Rik,0.005047892001751759,2.9387182864997574,0.1902916931150227,0.0031641525164974055
0610012G03Rik,5.7277656809232e-6,5.007035487195636e-6,0.000802231817506129,0.0026891033228897527
0610030E20Rik,0.00425075637809357,0.03083311083424484,0.006670284712802643,0.007678875202222458
0610037L13Rik,0.0023915225967984853,0.017851305615291267,0.0013913106166323684,0.0023164359948747064
0610039K10Rik,1.0413809017628613e-6,2.9606261870917475e-5,0.0008858143056845227,0.004899336781911967
0610040B10Rik,0.0007549414466033374,0.018962467853885532,0.006329833006234674,0.00466347466018793
1010001B22Rik,0.022400712857665307,0.0007870238655289814,2.3557660304754123e-6,0.0016999302180200743
1110002L01Rik,9.736183841361122e-6,6.674062079196676e-5,0.0009272702580788398,0.006573416887625785
1110004E09Rik,3.02573662345627e-6,2.142215886281362e-5,0.0010272981288212452,0.002633275844695018
1110004F10Rik,0.0032726755058233798,0.010812182507201886,0.004846074483976006,0.0031840187623768616
1110006O24Rik,0.33033179072789504,0.0009600867178535732,1.0502264372680154e-5,0.003909908650841853
1110008F13Rik,0.008490087688146344,4.725871578061493,0.49388088683093107,0.004570356678927509
1110008L16Rik,6.324951775063516e-6,4.734908060454961e-5,0.000950790850931798,0.008377669643405371
1110032A03Rik,0.0017947460608086557,0.00825000535001381,0.0021585730969066598,0.004542459993891889
1110034G24Rik,1.6693085099163848e-5,2.2747545216011316e-6,0.000380362753063832,0.0104964484391465
1110035H17Rik,3.890428512414358e-6,5.77162654163863e-5,0.0005610700375821121,0.00223397098686276
1110038F14Rik,7.144141172854474e-6,5.216278462704094e-6,0.0012153520537671963,0.004699392871160168
1110059E24Rik,1.6096527171102086e-5,5.909216438033292e-6,0.00345565432717217,0.008600570639028799
1110059G10Rik,8.691850219234336e-6,1.1937085947656384e-5,0.001976498475758224,0.008163976687572594
1110065P20Rik,1.0160807523515776e-5,1.4128772535677779e-5,0.00012370289847317282,0.0015218779414600913
