Gene,BurstMean,BurstSD,BurstMedian,BurstMAD
Rnf114,0.5496617022975262,2.3020938142879133,0.19439525420806222,0.1376651763942852
Rnf115,1.1147716439699369,4.539674969198553,0.13583659739984624,0.16841600073257612
Rnf11,0.32339416083174166,4.283799637419583,0.04552250301792182,0.04630966369872675
Rnf121,0.34259645233364583,1.0999262492937367,0.08802656361680283,0.0919348543988469
Rnf122,2.821567294402346,8.257304553422413,0.884450922049451,0.78666631745537
Rnf123,0.052311630334128376,0.225228994650254,0.02712984711115439,0.02447531512364496
Rnf126,0.2639165841370562,1.7632269680234047,0.0376160882341781,0.041369331122452065
Rnf130,0.13793320577971488,0.18262068258747458,0.11041119741032088,0.04103452381126115
Rnf135,0.271766511756531,1.247288446802973,0.05925233465437441,0.0674871405655636
Rnf138,0.4118092788475679,1.6672692236590256,0.08048431370028264,0.08803762626116707
Rnf139,1.5027426397434231,6.324353676032321,0.27811045378219024,0.3528764122082286
Rnf13,0.459106537361758,1.4262718236645637,0.18802466319231959,0.10507631108208625
Rnf141,0.4029527252522647,1.1116307612681684,0.15776928747095081,0.11107616529068323
Rnf144a,0.331868319447754,0.7821262213557472,0.15727578476513937,0.10584675573117161
Rnf145,1.1446955912961168,5.658877411088961,0.20355534213894422,0.23861428131549023
Rnf146,1.8222799284253894,10.933002094104653,0.34064707639921504,0.3752339547529098
Rnf149,0.29730807352531835,0.8672564771534449,0.14752860141377272,0.09732511832838385
Rnf14,0.25269630968376955,1.595857131704838,0.05507630387117915,0.0520451020652076
Rnf157,1.0367833329029874,2.049092628410259,0.5316270964857763,0.3217596468556333
Rnf166,0.11449634855447631,0.16943875405434353,0.08091867123818036,0.04342633066061096
Rnf167,3.022473097582113,15.53881227860582,0.5407076671355573,0.6616033988546259
Rnf168,3.7600711232169717,7.405331158180874,1.728319134136032,1.4603235026355421
Rnf169,0.3607000218107617,0.9255341370124971,0.12584989249257364,0.11178555042934743
Rnf170,0.09761627416406257,0.25663048604125244,0.04440696963438526,0.04178494387517074
Rnf181,1.0711742948804,6.232373348827203,0.11691038555444005,0.1501719493976445
Rnf185,0.21670429947920433,0.8030139119125842,0.06850319577311717,0.06656757510792652
Rnf187,0.5165428981752195,0.04404995018778566,0.5149451295516789,0.04353568585739985
Rnf19a,1.1363771115675092,4.218582480978923,0.22558401507367748,0.27466068441529345
Rnf19b,0.4421501626107961,0.9988549317993161,0.1666630050832746,0.1384923142616811
Rnf20,0.6833041297269892,2.4639975400476364,0.18920179863589007,0.14243073090246955
Rnf213,0.7384538286428124,0.6712750982722417,0.6110449350096732,0.16796559839444275
Rnf214,0.7933927010947858,2.9638402049614094,0.28291897388887144,0.2603142358362842
Rnf215,0.22935584723494937,1.8096279052943849,0.06505583395969791,0.057073157044104476
Rnf216,1.403099623971293,4.472772475425539,0.34280192127730147,0.3697355681957604
Rnf219,3.223359606347107,7.838681238778554,1.2479331680345895,1.1904707271154578
Rnf220,1.1530860203027509,3.4665832320017116,0.2853846144879417,0.32522413388619564
Rnf223,0.0185851794131494,0.09847231431266487,0.0033206386735999908,0.004358425682191943
Rnf225,0.07628695603611071,0.2755211046027639,0.020036135667962772,0.024799155170602657
Rnf24,0.08180020727670921,0.3030120729327123,0.028474816268683097,0.03367743582573702
Rnf25,0.3824843617530967,1.9933647099061886,0.0943116185884298,0.10178332513425005
Rnf26,0.22141794892270852,0.8320570091050592,0.05578051839080991,0.057359072381792796
Rnf2,0.5944730888467772,3.051518443056751,0.11730532777868033,0.1324769975694964
Rnf31,0.5734463786393564,2.157637188546998,0.12194862833031705,0.12996673541816758
Rnf34,0.8472701826149166,2.2043331435339164,0.24805774588885446,0.23999369547504074
Rnf38,0.4958586310879834,2.3056715936725896,0.05981075970711931,0.07302235459583147
Rnf40,0.21713708293610484,0.5489216189643271,0.0800316001765191,0.06848470445654234
Rnf41,1.1130529348181248,8.30411943771885,0.16713757867535742,0.21005135034821568
Rnf43,0.10467407061646926,0.5807745404902986,0.02462690445539132,0.030799245130225382
Rnf44,0.35326200630978993,1.0159631389897001,0.12004239052415991,0.104948514452293
Rnf4,1.2040141289313744,3.497864622967964,0.3204604824991011,0.34368818425229025
Rnf5,0.11099978994696529,0.7734815774746595,0.01908052097575516,0.01841673386083401
Rnf6,1.6747261084875087,4.627087214818436,0.5460431470491047,0.5599179015645807
Rnf7,0.7370971240127713,3.585553304903188,0.1956669965739542,0.1432212833948685
Rnf8,0.646717294331145,3.06281889239488,0.14896635809693887,0.17096275743501935
Rnft1,0.24142532880952275,0.7412801655983062,0.09771813750830996,0.08326655362982664
Rngtt,0.6401159477239943,1.6112547227648604,0.22552795847538007,0.2012601769382555
Rnh1,0.6048779075048285,2.785430284613766,0.094098488942886,0.10468784202659935
Rnmt,0.6621524984620685,2.30058813057238,0.2374233501648949,0.15567202365594776
Rnpc3,1.9211886812846743,4.916206259596394,0.7466013427286954,0.6190568346881739
Rnpep,0.10231401660548463,0.22109203932658875,0.060480323911923525,0.04249076114001622
Rnpepl1,0.5729018708449832,3.4573286283613425,0.07598861948862004,0.09187159941253968
Rnps1,0.5624278771169977,1.9022471960705754,0.240639309331551,0.13305280699132782
Rock1,1.1786784989940065,2.155831674458385,0.6752893823690485,0.3806598560916003
Rock2,0.570456833568286,0.6748067684317024,0.44145577021271454,0.14639252701964287
Rogdi,0.10311378274015774,0.1910833608958283,0.08244345348503915,0.04357002136254152
Rom1,0.04674917739384044,0.1391058450535935,0.01974692019354453,0.02158162237257299
Rp9,1.1525839741812396,2.992155934573437,0.4555777721711894,0.3595530660696461
Rpa1,0.09421765878223118,0.26061855704655407,0.04677267386574843,0.037816276522510385
Rpa2,0.4351944224208182,0.5444042309741575,0.33207716114838237,0.10182500742790603
Rpa3,0.04804520279742484,0.03454482470106046,0.04341436025673753,0.03592001088286043
Rpain,0.6485962831636173,2.6585284877365822,0.11387009109382444,0.1256109271932769
Rpap1,0.17215743845650885,0.4376154347290424,0.08326154440084635,0.0618341327664537
Rpap2,0.5765844631298656,1.4793370243482769,0.1846436313296931,0.17223594454608318
Rpap3,1.260865527470708,2.2767117312407583,0.6681323331576727,0.4623875145021406
Rpe,0.1133846663534781,0.22211452081239622,0.06938996390274753,0.04505416659376563
Rpf1,1.619285565411378,5.698872208628854,0.3579809633291148,0.42318845648363584
