FC	cat
1.43552172558263	no
0.593806081817374	promoter
0.53669423619044	promoter
0.593458643936725	promoter
0.681346992978645	promoter
1.81079623678467	no
0.718127755110736	REnh
0.626347083550701	promoter
1.14645294778387	no
0.959658170140875	promoter
0.582973237591596	promoter
0.475244288291944	promoter
0.448011137806268	promoter
0.369245800518109	REnh
0.55166238545864	promoter
0.584466009790403	promoter
0.338833308970135	promoter
0.27506648106131	REnh
0.867140730425278	SE
0.309602693237182	SE
0.494300571373567	promoter
0.518786603968095	SE
0.658082089737458	promoter
0.937864267715268	REnh
0.526393286553779	SE
0.721608938747174	SE
0.691311677824518	SE
0.868989322638754	SE
0.505050471112427	REnh
0.873590172818823	promoter
1.07444001022607	promoter
0.576143551737619	promoter
0.657713739043199	promoter
0.475870824973614	REnh
0.454574922698309	REnh
0.992593671475611	promoter
1.1508251363044	no
0.996493888607259	promoter
0.73561346115857	promoter
0.660931891497801	promoter
0.522829415595953	SE
0.747746271371596	promoter
0.475033318307503	promoter
0.292826209015796	no
0.313538211505984	promoter
1.05538467090306	REnh
1.02488883344513	promoter
0.822634056097303	promoter
0.994533694192027	promoter
1.02529826385776	no
0.711538401065015	promoter
0.710989474546465	promoter
0.360353710663519	promoter
1.09975425337312	SE
0.678042905765449	promoter
0.355968648794121	promoter
0.502341331508279	promoter
0.582444099266047	promoter
0.78375341390324	promoter
0.65671234913261	promoter
0.706375955147682	no
0.640256056024396	promoter
0.415038073583431	promoter
0.426783870718885	promoter
0.620716595311863	SE
0.780450295231281	no
0.40641842682241	no
0.711684482765972	promoter
1.65874690335608	promoter
0.505879350634682	promoter
0.549353014261166	promoter
0.720204116170983	promoter
0.656499784848711	promoter
0.702988823000671	promoter
0.678663416312229	promoter
0.908150183819996	REnh
0.61771955026109	promoter
1.04678666807844	REnh
1.08922497979086	REnh
0.805186030077957	REnh
0.574785399735922	promoter
0.570202721280374	promoter
0.358977944419314	REnh
0.894301200551258	REnh
0.450626756609981	REnh
0.649036275206009	promoter
0.984455538878365	promoter
0.396363773837333	promoter
0.439896149324813	promoter
0.463084147083623	REnh
0.374001449724722	REnh
0.918426884635359	no
0.660032514878336	promoter
0.767952072697927	promoter
0.618596293621368	promoter
0.514318337122785	promoter
0.849501594230038	promoter
0.3485161340787	no
0.597864326543938	promoter
0.578063841336873	REnh
0.939816857181381	REnh
0.493463092070606	promoter
0.607558763453747	promoter
0.56684235561391	REnh
0.866487474010693	no
0.787264486882035	no
0.974187438424613	no
0.750482279785873	promoter
0.523890080773172	REnh
0.972436574536892	REnh
1.01599818012958	no
1.1562590756755	no
0.658720068006106	promoter
0.572147745143372	promoter
1.5743858236119	REnh
0.320068276056669	no
1.10126493758504	no
0.416891214706204	promoter
1.2060753892926	no
0.942551963899505	no
1.06902092457288	no
0.49108228545079	promoter
0.566677756487773	promoter
1.25046367624417	REnh
0.790803360145413	promoter
1.02099599623936	promoter
0.203360137630553	no
0.749194828925132	promoter
0.770500843569086	promoter
0.973546132082132	REnh
0.959658170140875	no
1.23328779095497	no
0.982452901023081	no
1.35235716559494	no
1.1338775051135	no
0.514141086286631	promoter
0.402616987859812	promoter
0.882057779024362	no
0.410825346573356	promoter
0.926979685346067	no
0.85127624758718	promoter
0.749961682746662	promoter
0.570378841865035	SE
0.288292372099934	SE
0.539718244867892	promoter
0.679124722109438	promoter
1.3211113415687	promoter
0.808332308883444	no
0.937392319325541	REnh
0.597924491817263	promoter
0.652422974427224	no
0.858906656215324	no
1.02342283260871	no
0.568507715532925	promoter
0.576178381872793	promoter
0.421659155510188	promoter
1.33436201097679	REnh
0.770920557253865	promoter
0.586803006903902	promoter
0.41671153922666	SE
0.627393630580898	SE
1.05687390372968	promoter
0.521475096722522	promoter
0.975256027436948	promoter
0.476077163466933	promoter
0.470114989384746	promoter
0.668652246734958	promoter
0.526036856324044	promoter
0.654083823340677	promoter
0.777656787016504	promoter
0.868370829342694	no
0.606474443695181	promoter
0.58468319772693	promoter
0.41423033150474	REnh
1.54688861241709	no
0.288855740227853	no
0.408763698188593	REnh
0.500463770134036	REnh
0.860082743926517	REnh
0.86575815349304	no
0.902193609054595	no
1.15116423513573	no
1.16333094033307	no
0.798291316605812	no
0.481504146935171	REnh
0.521571322445213	REnh
0.41215113170868	no
0.765031708177827	REnh
0.384305846766638	REnh
1.15550677629207	no
0.375691036785025	REnh
1.11551912584821	no
0.730908776577216	no
1.02049228552223	no
0.462832414482111	REnh
0.515243388020644	no
1.19919843101847	no
0.460968381526696	promoter
1.19922041525681	REnh
0.799168016259467	REnh
0.894375301423809	promoter
1.14275793324295	no
0.918426884635359	no
0.750386918085232	SE
0.802746392042776	SE
0.992711838458012	SE
1.4849680299126	SE
1.13827475003173	SE
0.700990199752499	SE
1.55695578641113	SE
0.835108115612533	SE
0.829645208902484	SE
0.611167357798806	promoter
0.445972531622645	SE
0.341346363407797	SE
0.300481728563289	SE
0.321818902977756	SE
0.291507619340939	SE
0.247638653041707	SE
0.263351957960274	SE
0.476320992653188	SE
0.26125465009226	SE
0.347833598858617	SE
0.609417962060264	SE
0.328258210869707	SE
0.461359817781495	SE
0.40192561591344	SE
0.569949268560824	SE
0.332671663899719	SE
0.298040638993101	SE
0.355968648794121	SE
0.373343388722836	SE
0.511219772878784	SE
0.441960455978964	SE
0.422193019582979	SE
0.276629682968648	SE
0.472522043165812	SE
0.348241607447243	SE
0.314334888701241	SE
0.522207152412841	SE
0.273662676795065	SE
0.153646058736466	SE
0.431648172814396	SE
0.232477467163863	SE
0.275077114917164	SE
0.313340013848614	SE
0.355149086587568	SE
0.260301093528934	SE
0.259177753979652	SE
0.365728619097836	SE
0.19276071236091	SE
0.227645312429231	SE
0.231289119567907	SE
0.190742150683157	SE
0.122051288471782	SE
0.267121346327872	SE
0.288044016390321	SE
0.576646040151169	SE
0.567906570555458	REnh
0.446182945340069	REnh
0.492075303018871	no
0.483322215405166	REnh
0.512706913137931	REnh
0.466065441680682	promoter
0.401793094985469	promoter
0.374704565910108	no
0.905389093601334	no
0.576384553801969	no
0.528647626264588	promoter
1.17075049183007	no
0.975625860159858	no
1.03194880442644	no
0.930295859988681	REnh
0.646800084907138	promoter
1.4287375201079	no
1.38381647738546	SE
0.959658170140875	promoter
0.571061463476755	promoter
0.534837867808365	SE
0.386157271650312	SE
0.426114183736482	SE
0.39633681240619	SE
0.543320569212079	SE
1.49382490591987	no
1.17912261653484	REnh
1.2333574700028	REnh
1.35235716559494	no
1.30610516297152	no
0.620316525819491	promoter
1.19245934349041	no
0.588616690493637	REnh
1.59846239837383	no
0.759545457569334	promoter
1.03535425718091	REnh
0.815948959970028	REnh
1.27061851330083	no
0.76264568788613	promoter
0.509069418925879	REnh
0.789178554423769	REnh
1.09786276710086	no
1.27933111156022	no
0.991888503311013	REnh
0.492183765757707	promoter
0.502104713862917	promoter
0.954299944735286	no
0.330215374387526	no
0.598116189580021	REnh
1.4503276269311	REnh
0.935726544950329	REnh
1.05355818678871	no
0.284284989845333	no
0.33961471219376	no
0.30904246157079	REnh
1.27865811589407	promoter
0.750769708010339	promoter
1.24135822008438	no
1.10877264718829	no
0.369855453537008	promoter
0.897258289123858	promoter
1.32959442620425	REnh
0.576888529628845	no
0.582045050275402	promoter
0.71809661701617	promoter
0.599847135229079	promoter
0.646564101166897	promoter
0.778055204768267	promoter
0.587808506598956	promoter
0.690503660412429	promoter
1.00731344860845	promoter
0.987800638473452	no
0.535834372602318	REnh
0.47375529918347	no
0.734298130186071	REnh
0.514341153834204	no
0.571656214558311	no
0.607360750852742	REnh
0.26650931626885	REnh
0.918908353999012	REnh
0.619956163011362	REnh
0.80083504841164	REnh
0.509665552133941	REnh
0.997218176800009	no
0.64053193778999	no
0.581350721618382	promoter
0.718680490784969	promoter
1.462261467105	promoter
0.838806845707817	promoter
0.701113179770116	promoter
1.17438375037894	promoter
0.668194360684771	promoter
1.94140565877604	no
1.01441755217459	promoter
1.72547017623833	no
1.09439956688452	REnh
0.571427304850003	promoter
0.573105842413377	promoter
0.819305969754641	promoter
0.567750481098927	promoter
0.620608432610305	promoter
1.09853778955345	no
0.622225620864899	promoter
0.915126468510208	REnh
0.599406573027837	promoter
0.70744840137849	promoter
0.678181896589014	no
1.0301176539985	no
1.21122472967791	SE
0.636808761366032	promoter
0.577088096698976	promoter
0.952554852819329	REnh
0.918024410047995	REnh
1.56115331951692	no
1.0418676079028	no
0.588576600591235	no
0.81999897698108	no
1.07118149031994	no
1.05320730126752	promoter
0.908339551416764	no
1.32734329280021	no
1.48393698043161	REnh
2.5094167057721	REnh
0.595715949927769	REnh
1.61805150932276	REnh
1.25461348039274	no
1.49599407361282	no
0.907924576063199	no
0.941238627527806	no
1.63851603969391	REnh
0.93837971847478	no
0.657403628364221	promoter
0.744246684138434	promoter
0.776230891747311	promoter
0.93837971847478	no
1.78585394575885	no
1.39767642207239	no
0.334219036851506	REnh
2.01177510086011	no
0.959658170140875	no
0.622313022450281	promoter
0.588233315810923	no
1.018957336164	REnh
1.08157481607529	no
0.870965178445785	no
1.11102381211893	no
0.753694193649289	promoter
0.784069764626007	REnh
0.796658905573423	REnh
0.618018109570413	REnh
0.447665439149163	REnh
0.634640251554839	promoter
0.524807875127196	REnh
1.41003926082071	no
0.772863392497882	REnh
1.08982142379747	no
1.13007471533792	REnh
0.35452213254945	REnh
0.528530539628336	REnh
0.436940815285664	REnh
0.56697401666658	promoter
1.63973088913835	no
1.1304158516606	no
0.474982326635383	promoter
0.760577738805663	promoter
0.441204269470494	promoter
0.401408265072776	promoter
0.502153126363203	REnh
0.645016147143867	no
0.416455432325285	no
0.279055637342324	REnh
0.391673063275746	SE
0.481847537190243	SE
0.609350672875234	promoter
0.641110187608619	promoter
0.515688198189581	REnh
0.897650610686694	promoter
0.435379359850136	no
0.999588468482381	no
0.832627606102973	no
0.493751158495348	REnh
0.557335386111408	promoter
0.70203181574064	promoter
0.445238818309352	REnh
0.621618110208669	REnh
0.613284732935039	REnh
1.12133343346184	REnh
0.898220387161305	no
0.39003913756741	SE
0.360834459090468	SE
0.418017785816109	promoter
0.645828475946785	SE
0.656352806632381	SE
0.434241458630573	SE
0.317738655709554	SE
0.25353624552805	SE
0.334352787038073	SE
0.848447179878292	SE
0.35848019812687	REnh
0.482303665279585	REnh
0.480654952686738	promoter
0.548742985780821	promoter
0.571357176442255	promoter
1.39389263626797	no
0.643287344819707	promoter
0.550252901758585	no
1.14498258586917	promoter
0.630945571424686	REnh
1.28408939865494	REnh
1.10860733180354	no
1.43852951252654	no
1.07239334431308	REnh
0.837447642265565	promoter
1.26633987564528	SE
0.495389730572456	SE
0.501319293117636	SE
1.00528375667689	SE
0.681496381694245	SE
1.41427047871982	SE
2.17003784419243	no
1.49132474639621	REnh
1.46682681497173	REnh
0.704701164258602	REnh
0.767874062349462	REnh
1.99402026969391	REnh
0.505056954717556	REnh
0.545389116852613	promoter
0.987869581316011	REnh
1.32139184846449	no
1.02327650880396	REnh
0.910106113162861	no
1.62418724926083	no
1.21026015005477	no
1.08328563167271	no
0.55960526091426	promoter
1.15988491204806	REnh
1.05475229104666	no
0.520356235389088	promoter
0.521137269369609	REnh
1.06106297198093	no
